Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Dara O'Shea,ie IRL,DF,26-070,32.7,47,30,33,11,3,20,31,64.5,11,61,49,12,31,78,211,4,Matches
Liam Delap,eng ENG,FW,22-094,28.4,11,8,3,3,5,2,14,14.3,12,8,0,8,2,13,28,0,Matches
Leif Davis,eng ENG,DF,25-121,28.5,45,26,32,9,4,29,46,63.0,17,24,8,16,25,70,72,3,Matches
Sam Morsy,eg EGY,MF,33-245,28.6,65,38,38,23,4,26,58,44.8,32,32,13,19,29,94,44,4,Matches
Omari Hutchinson,eng ENG,"MF,FW",21-195,26.7,31,12,14,10,7,13,47,27.7,34,25,1,24,10,41,13,1,Matches
Jacob Greaves,eng ENG,DF,24-243,22.5,38,20,20,17,1,21,33,63.6,12,38,25,13,19,57,133,3,Matches
Jens Cajuste,se SWE,MF,25-276,20.1,42,20,19,22,1,21,49,42.9,28,24,9,15,25,67,33,2,Matches
Arijanet Muric,xk KVX,GK,26-187,18.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5,Matches
Axel Tuanzebe,cd COD,DF,27-180,17.0,29,17,20,3,6,16,24,66.7,8,18,9,9,22,51,54,1,Matches
Cameron Burgess,au AUS,DF,29-204,17.1,17,12,14,3,0,9,11,81.8,2,20,15,5,14,31,128,3,Matches
Ben Johnson,eng ENG,"DF,FW",25-109,15.0,38,22,23,12,3,20,41,48.8,21,22,5,17,13,51,54,1,Matches
Kalvin Phillips,eng ENG,MF,29-162,13.7,35,19,8,20,7,15,39,38.5,24,35,6,29,19,54,37,2,Matches
Sammie Szmodics,ie IRL,"FW,MF",29-231,10.9,15,9,4,9,2,6,23,26.1,17,10,2,8,6,21,14,0,Matches
Luke Woolfenden,eng ENG,DF,26-204,13.2,9,6,5,4,0,2,5,40.0,3,21,14,7,19,28,76,0,Matches
Alex Palmer,eng ENG,GK,28-276,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,0,Matches
Wes Burns,wls WAL,"FW,DF",30-171,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2,Matches
Jack Clarke,eng ENG,"FW,MF",24-171,12.1,28,17,11,9,8,16,32,50.0,16,6,0,6,7,35,29,1,Matches
Julio Enciso,py PAR,"FW,MF",21-110,8.9,12,9,3,6,3,4,11,36.4,7,5,1,4,1,13,6,0,Matches
Conor Chaplin,eng ENG,"MF,FW",28-086,8.5,12,5,4,6,2,6,13,46.2,7,8,1,7,3,15,3,0,Matches
Nathan Broadhead,wls WAL,"MF,FW",27-038,6.7,7,3,2,5,0,3,9,33.3,6,6,1,5,4,11,5,0,Matches
Christian Walton,eng ENG,GK,29-185,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",23-094,5.3,14,7,6,6,2,8,15,53.3,7,11,1,10,10,24,9,1,Matches
Jack Taylor,ie IRL,MF,26-324,9.2,20,10,6,11,3,12,25,48.0,13,10,3,7,9,29,24,0,Matches
Harry Clarke,eng ENG,DF,24-072,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3,Matches
George Hirst,sct SCO,FW,26-087,5.8,3,3,1,0,2,1,3,33.3,2,1,1,0,2,5,10,0,Matches
Conor Townsend,eng ENG,DF,32-070,3.7,11,8,9,2,0,8,11,72.7,3,8,6,2,4,15,16,0,Matches
Chiedozie Ogbene,ie IRL,FW,28-012,2.6,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0,Matches
Massimo Luongo,au AUS,MF,32-230,2.2,8,5,6,1,1,4,7,57.1,3,4,2,2,2,10,2,0,Matches
Ben Godfrey,eng ENG,DF,27-118,1.8,1,0,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0,Matches
Ali Al Hamadi,iq IRQ,FW,23-073,1.5,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0,Matches
Marcus Harness,eng ENG,MF,29-078,0.5,1,0,0,0,1,0,3,0.0,3,2,1,1,0,1,1,0,Matches
George Edmundson,eng ENG,DF,27-255,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,36.0,565,323,287,205,73,272,576,47.2,304,413,180,233,293,858,1060,37,
Opponent Total,,,27.0,36.0,587,337,252,237,98,265,524,50.6,259,344,96,248,224,811,694,21,
