Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Jamie Vardy,eng ENG,FW,38-122,30.5,19,13,7,7,5,4,13,30.8,9,8,4,4,5,24,23,0,Matches
James Justin,eng ENG,DF,27-079,30.7,50,30,25,20,5,28,51,54.9,23,43,14,29,45,95,132,3,Matches
Wout Faes,be BEL,DF,27-040,29.3,39,23,25,12,2,23,43,53.5,20,45,33,12,26,65,173,4,Matches
Victor Bernth Kristiansen,dk DEN,DF,22-148,26.6,85,50,54,26,5,47,87,54.0,40,37,14,23,40,125,72,3,Matches
Mads Hermansen,dk DEN,GK,24-306,26.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,13,4,Matches
Wilfred Ndidi,ng NGA,MF,28-148,24.9,81,50,45,29,7,27,54,50.0,27,47,19,28,29,110,78,0,Matches
Bilal El Khannouss,ma MAR,MF,21-003,23.2,47,27,15,27,5,15,29,51.7,14,22,4,18,6,53,10,3,Matches
Boubakary Soumaré,fr FRA,MF,26-075,22.1,33,18,21,11,1,18,30,60.0,12,22,10,12,25,58,31,3,Matches
Harry Winks,eng ENG,MF,29-100,17.1,24,11,12,10,2,13,30,43.3,17,19,7,12,9,33,20,0,Matches
Conor Coady,eng ENG,DF,32-077,17.0,12,8,6,5,1,3,6,50.0,3,28,20,8,13,25,67,2,Matches
Jordan Ayew,gh GHA,"FW,MF",33-244,16.5,26,14,7,14,5,6,19,31.6,13,19,1,18,12,38,17,0,Matches
Stephy Mavididi,eng ENG,FW,26-347,17.9,34,19,16,10,8,14,42,33.3,28,26,2,24,11,45,15,0,Matches
Jannik Vestergaard,dk DEN,DF,32-283,15.5,22,10,16,6,0,9,15,60.0,6,21,14,7,16,38,74,1,Matches
Facundo Buonanotte,ar ARG,"FW,MF",20-141,16.7,53,32,17,22,14,21,67,31.3,46,33,6,27,12,65,14,0,Matches
Caleb Okoli,it ITA,DF,23-304,12.5,25,14,8,15,2,11,18,61.1,7,24,14,10,15,40,79,3,Matches
Luke Thomas,eng ENG,DF,23-337,10.5,27,21,21,4,2,19,35,54.3,16,13,5,8,18,45,41,1,Matches
Oliver Skipp,eng ENG,MF,24-239,11.7,20,4,5,12,3,9,15,60.0,6,19,6,13,10,30,11,2,Matches
Bobby De Cordova-Reid,jm JAM,FW,32-100,8.3,9,4,3,6,0,4,14,28.6,10,6,1,5,0,9,10,0,Matches
Jakub Stolarczyk,pl POL,GK,24-145,8.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,6,0,Matches
Kasey McAteer,ie IRL,"FW,MF",23-172,7.6,18,14,10,5,3,10,23,43.5,13,15,1,14,3,21,15,0,Matches
Abdul Fatawu Issahaku,gh GHA,FW,21-066,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,Matches
Patson Daka,zm ZAM,"FW,MF",26-216,7.3,17,9,4,9,4,7,17,41.2,10,7,1,6,1,18,10,0,Matches
Ricardo Pereira,pt POR,DF,31-219,3.8,11,6,4,4,3,6,12,50.0,6,6,2,4,2,13,10,0,Matches
Danny Ward,wls WAL,GK,31-325,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Hamza Choudhury,bd BAN,"MF,DF",27-224,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0,Matches
Woyo Coulibaly,fr FRA,DF,25-358,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0,Matches
Jeremy Monga,,"FW,MF",,0.7,1,1,0,1,0,1,1,100.0,0,3,2,1,0,1,1,0,Matches
Odsonne Édouard,fr FRA,FW,27-117,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Jake Evans,,FW,,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Will Alves,eng ENG,FW,20-099,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Michael Golding,eng ENG,MF,18-355,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,36.0,685,401,343,259,83,311,649,47.9,338,478,183,295,312,997,940,29,
Opponent Total,,,27.1,36.0,612,392,216,275,121,294,547,53.7,253,339,93,246,259,871,780,22,
