Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Onana,CMR,GK,29-042,33.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,11,4,Matches
Fernandes,POR,MF,30-248,31.6,77,47,25,37,15,30,78,38.5,48,33,5,28,25,102,35,2,Matches
Mazraoui,MAR,DF,27-181,30.3,109,63,55,40,14,55,89,61.8,34,33,8,25,34,143,91,1,Matches
Dalot,POR,DF,26-057,31.0,67,39,39,22,6,34,52,65.4,18,22,9,13,37,104,72,0,Matches
Matthijs de Ligt,NED,DF,25-275,23.6,30,22,17,12,1,23,32,71.9,9,29,21,8,33,63,96,0,Matches
Garnacho,ARG,"MF,FW",20-317,24.2,29,18,10,6,13,12,36,33.3,24,19,0,19,13,42,11,2,Matches
Manuel Ugarte Ribeiro,URU,MF,24-033,19.6,75,47,32,34,9,29,67,43.3,38,32,4,28,27,102,17,2,Matches
Højlund,DEN,FW,22-099,20.4,3,1,0,2,1,0,4,0.0,4,5,0,5,1,4,6,0,Matches
Martínez,ARG,DF,27-116,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32,72,57,1,Matches
Mainoo,ENG,MF,20-025,17.7,44,27,17,14,13,23,38,60.5,15,16,2,14,19,63,13,1,Matches
Diallo,CIV,"FW,MF",22-307,19.1,36,29,7,20,9,18,30,60.0,12,12,0,12,11,47,17,0,Matches
Maguire,ENG,DF,32-070,17.5,27,14,21,5,1,14,20,70.0,6,15,12,3,39,66,73,1,Matches
Casemiro,BRA,MF,33-080,14.8,77,46,45,23,9,41,66,62.1,25,33,10,23,12,89,48,3,Matches
Zirkzee,NED,"FW,MF",23-357,15.6,14,8,3,8,3,5,10,50.0,5,15,4,11,6,20,8,1,Matches
Yoro,FRA,DF,19-182,12.9,29,11,19,9,1,13,19,68.4,6,5,3,2,18,47,43,0,Matches
Rashford,ENG,"FW,MF",27-195,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0,Matches
Eriksen,DEN,MF,33-089,11.5,19,9,4,12,3,11,26,42.3,15,14,4,10,7,26,7,0,Matches
Dorgu,DEN,DF,20-200,7.4,25,19,12,11,2,14,19,73.7,5,10,0,10,4,29,19,2,Matches
Mount,ENG,MF,26-124,5.4,12,4,5,7,0,8,10,80.0,2,9,1,8,3,15,3,0,Matches
Lindelöf,SWE,DF,30-301,5.8,6,2,5,0,1,3,4,75.0,1,5,3,2,7,13,33,2,Matches
Amass,ENG,DF,18-059,3.8,6,2,5,1,0,2,8,25.0,6,11,1,10,2,8,11,0,Matches
Evans,NIR,DF,37-131,3.2,7,5,4,3,0,2,4,50.0,2,2,1,1,4,11,13,0,Matches
Bayındır,TUR,GK,27-030,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Matches
Shaw,ENG,DF,29-306,3.0,4,3,2,2,0,2,2,100.0,0,5,1,4,2,6,7,0,Matches
Fredricson,ENG,DF,20-080,1.8,5,3,3,2,0,1,2,50.0,1,2,0,2,1,6,11,0,Matches
Malacia,NED,DF,25-270,1.1,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,1,Matches
Obi-Martin,DEN,FW,17-166,1.7,2,1,0,0,2,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Heaven,ENG,DF,18-234,1.1,3,3,1,2,0,2,2,100.0,0,2,2,0,1,4,6,0,Matches
Collyer,ENG,MF,21-131,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0,Matches
Antony,BRA,"DF,MF",25-079,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
McTominay,SCO,MF,28-157,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Total,,,26.2,36.0,774,465,371,294,109,377,683,55.2,306,363,100,263,347,1121,727,24,
Total,,,27.3,36.0,649,394,308,249,92,310,558,55.6,248,457,162,295,314,963,820,19,
