Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Sels,BEL,GK,33-077,36.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,25,1,Matches
Milenković,SRB,DF,27-214,35.0,44,27,31,11,2,22,28,78.6,6,40,24,16,25,69,196,1,Matches
Murillo,BRA,DF,22-314,33.4,53,36,38,12,3,27,46,58.7,19,67,44,23,32,85,236,3,Matches
Aina,NGA,DF,28-218,31.4,54,41,39,14,1,35,63,55.6,28,32,12,20,31,85,107,4,Matches
Wood,NZL,FW,33-158,30.9,5,4,1,2,2,2,9,22.2,7,12,7,5,5,10,27,1,Matches
Gibbs-White,ENG,MF,25-107,29.2,42,21,14,22,6,16,32,50.0,16,17,4,13,21,63,28,1,Matches
Anderson,ENG,MF,22-189,28.4,86,52,51,28,7,44,103,42.7,59,44,9,35,30,116,70,4,Matches
Elanga,SWE,"FW,MF",23-017,25.8,18,13,8,8,2,5,17,29.4,12,11,1,10,6,24,25,0,Matches
Williams,WAL,DF,24-031,26.8,79,48,57,16,6,45,75,60.0,30,40,9,31,25,104,129,2,Matches
Hudson-Odoi,ENG,"FW,MF",24-188,23.9,20,14,7,8,5,11,17,64.7,6,11,0,11,13,33,11,1,Matches
Domínguez,ARG,"MF,FW",26-320,20.1,78,40,35,32,11,30,67,44.8,37,37,11,26,29,107,49,1,Matches
Yates,ENG,MF,27-174,21.0,42,21,24,14,4,17,37,45.9,20,36,9,27,26,68,61,1,Matches
Moreno,ESP,"DF,MF",31-340,10.6,25,18,20,5,0,15,39,38.5,24,11,5,6,15,40,43,0,Matches
Morato,BRA,DF,23-318,10.0,21,13,18,2,1,13,21,61.9,8,12,4,8,10,31,77,2,Matches
Silva,POR,"FW,MF",25-286,9.4,25,13,12,11,2,5,25,20.0,20,9,1,8,12,37,17,0,Matches
Sangaré,CIV,MF,27-163,5.0,24,13,6,15,3,6,14,42.9,8,8,3,5,4,28,7,1,Matches
Ward-Prowse,ENG,MF,30-194,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0,Matches
Danilo,BRA,"MF,FW",24-015,3.0,6,3,5,1,0,2,4,50.0,2,2,1,1,3,9,3,0,Matches
Awoniyi,NGA,FW,27-275,4.6,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0,Matches
Sosa,PAR,"FW,MF",25-256,3.3,5,3,3,0,2,1,5,20.0,4,9,0,9,4,9,5,0,Matches
Boly,CIV,DF,34-100,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0,Matches
Toffolo,ENG,DF,29-268,1.5,5,3,3,1,1,3,4,75.0,1,2,2,0,2,7,12,0,Matches
Eric da Silva Moreira,GER,"MF,DF",19-011,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0,Matches
Total,,,26.9,36.0,651,391,381,209,61,312,624,50.0,312,408,150,258,302,953,1155,23,
Total,,,27.0,36.0,523,341,238,197,88,220,475,46.3,255,343,116,227,254,777,827,35,
