Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Max Kilman,eng ENG,DF,27-355,35.2,36,22,15,18,3,22,26,84.6,4,56,38,18,38,74,202,5,Matches
Aaron Wan-Bissaka,eng ENG,DF,27-168,33.0,67,47,32,30,5,23,31,74.2,8,34,9,25,61,128,119,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-144,31.0,38,25,13,11,14,17,37,45.9,20,21,3,18,16,54,23,0,Matches
Mohammed Kudus,gh GHA,"FW,MF",24-284,27.7,35,21,7,17,11,10,27,37.0,17,24,1,23,4,39,8,2,Matches
Tomáš Souček,cz CZE,MF,30-075,26.9,43,20,20,20,3,23,40,57.5,17,38,20,18,19,62,79,1,Matches
Lucas Paquetá,br BRA,"MF,FW",27-259,26.0,66,37,25,30,11,27,54,50.0,27,28,4,24,17,83,37,6,Matches
Emerson Palmieri,it ITA,DF,30-283,23.5,60,31,37,18,5,27,48,56.3,21,32,8,24,21,81,59,0,Matches
Alphonse Areola,fr FRA,GK,32-075,24.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,2,Matches
Konstantinos Mavropanos,gr GRE,DF,27-153,21.7,33,22,22,10,1,15,26,57.7,11,24,17,7,39,72,118,1,Matches
Edson Álvarez,mx MEX,MF,27-201,18.4,44,23,24,12,8,15,33,45.5,18,21,8,13,17,61,39,1,Matches
Jean-Clair Todibo,fr FRA,DF,25-134,18.3,41,24,26,14,1,25,34,73.5,9,24,12,12,23,64,72,3,Matches
Guido Rodríguez,ar ARG,MF,31-031,12.0,32,17,20,12,0,16,32,50.0,16,22,9,13,12,44,30,1,Matches
Carlos Soler,es ESP,"MF,FW",28-131,15.3,15,11,8,6,1,7,23,30.4,16,19,6,13,8,23,21,2,Matches
Łukasz Fabiański,pl POL,GK,40-025,11.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
Michail Antonio,jm JAM,FW,35-046,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Matches
Vladimír Coufal,cz CZE,DF,32-264,10.6,19,12,12,5,2,8,19,42.1,11,13,11,2,8,27,38,1,Matches
James Ward-Prowse,eng ENG,MF,30-193,10.0,18,13,8,6,4,6,15,40.0,9,6,3,3,6,24,13,0,Matches
Aaron Cresswell,eng ENG,DF,35-149,8.5,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,36,0,Matches
Crysencio Summerville,nl NED,"FW,MF",23-195,8.7,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0,Matches
Oliver Scarles,eng ENG,DF,19-152,6.6,17,11,13,3,1,13,21,61.9,8,14,2,12,10,27,24,0,Matches
Niclas Füllkrug,de GER,FW,32-093,7.6,3,2,0,1,2,3,4,75.0,1,1,0,1,1,4,12,0,Matches
Danny Ings,eng ENG,"FW,MF",32-294,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0,Matches
Andy Irving,sct SCO,MF,25-000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0,Matches
Evan Ferguson,ie IRL,FW,20-206,1.7,3,1,0,1,2,0,0,,0,2,1,1,1,4,1,0,Matches
Luis Guilherme,br BRA,"MF,FW",19-093,1.5,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,2,0,Matches
Lewis Orford,eng ENG,MF,19-084,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Kaelan Casey,eng ENG,DF,20-197,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,28.9,36.0,610,363,297,233,80,275,508,54.1,233,425,161,264,315,925,972,26,
Opponent Total,,,26.9,36.0,708,409,299,296,113,334,657,50.8,323,411,136,275,274,982,767,22,
