player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Aït-Nouri,ALG,DF,23,32.8,85,55,51,26,8,41,68,60.3,27,41,6,35,25,110,70,1
Gomes,BRA,MF,24,31.5,105,62,53,48,4,42,103,40.8,61,42,4,38,25,130,32,0
Semedo,POR,DF,31,30.6,59,34,31,21,7,31,54,57.4,23,29,10,19,23,82,101,3
Jørgen Strand Larsen,NOR,FW,25,27.7,9,6,2,3,4,4,27,14.8,23,18,4,14,6,15,28,0
André,BRA,MF,23,26.0,88,53,40,40,8,35,61,57.4,26,42,8,34,35,123,30,1
Sá,POR,GK,32,28.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,15,1
Cunha,BRA,"MF,FW",25,27.6,35,21,16,15,4,11,36,30.6,25,21,1,20,17,52,23,0
Gomes,POR,DF,26,27.0,57,41,40,14,3,33,42,78.6,9,28,17,11,24,81,142,5
Doherty,IRL,DF,33,22.5,37,20,25,12,0,16,24,66.7,8,27,15,12,22,59,95,3
Bellegarde,FRA,"MF,FW",26,17.6,37,22,17,17,3,13,19,68.4,6,19,3,16,10,47,18,1
Bueno,URU,DF,26,18.7,40,21,21,18,1,17,22,77.3,5,35,20,15,15,55,70,0
Lemina,GAB,"MF,DF",31,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3
Agbadou,CIV,DF,27,13.7,27,18,18,9,0,11,17,64.7,6,19,13,6,11,38,82,0
Munetsi,ZIM,"MF,FW",28,10.8,22,10,6,10,6,12,21,57.1,9,13,1,12,6,28,16,0
Dawson,ENG,DF,35,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1
Guedes,POR,"MF,FW",28,9.3,14,4,2,5,7,3,15,20.0,12,9,0,9,5,19,3,0
Johnstone,ENG,GK,32,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
Sarabia,ESP,"MF,FW",33,8.3,15,8,4,8,3,9,15,60.0,6,10,0,10,4,19,7,1
Gomes,POR,"DF,FW",21,7.8,21,13,12,9,0,10,19,52.6,9,8,1,7,5,26,20,1
Hee-chan,KOR,"MF,FW",29,7.2,6,4,2,1,3,2,6,33.3,4,9,0,9,2,8,11,0
Mosquera,COL,DF,24,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
Doyle,ENG,MF,23,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1
Forbs,POR,"MF,FW",21,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1
Bentley,ENG,GK,31,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lima,BRA,DF,18,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0
Podence,POR,"MF,FW",29,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Djiga,BFA,"DF,FW",22,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,1
Chiquinho,POR,MF,25,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mane,,MF,na,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Pond,ENG,DF,21,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Traoré,MLI,MF,23,0.0,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
