Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Unnamed: 21_level_0 Matches
Emiliano Martínez,ar ARG,GK,32-253,34.0,6,0.18,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Youri Tielemans,be BEL,MF,28-006,33.3,119,3.57,78,31,3,4,2,1,12,0.36,9,3,0,0,0,0,Matches
Morgan Rogers,eng ENG,"FW,MF",22-291,32.7,102,3.12,77,0,13,7,5,0,15,0.46,13,0,1,0,1,0,Matches
Ezri Konsa,eng ENG,DF,27-202,30.6,23,0.75,18,2,1,2,0,0,3,0.1,3,0,0,0,0,0,Matches
Ollie Watkins,eng ENG,FW,29-134,26.9,51,1.89,34,0,4,7,6,0,11,0.41,7,0,1,1,2,0,Matches
Lucas Digne,fr FRA,DF,31-297,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0,Matches
John McGinn,sct SCO,"MF,FW",30-207,23.0,68,2.95,52,6,0,4,5,1,7,0.3,6,1,0,0,0,0,Matches
Matty Cash,pl POL,DF,27-279,21.0,23,1.1,20,1,1,0,0,1,3,0.14,2,0,0,0,0,1,Matches
Pau Torres,es ESP,DF,28-117,20.4,12,0.59,9,0,0,3,0,0,2,0.1,1,0,0,1,0,0,Matches
Jacob Ramsey,eng ENG,"FW,MF",23-350,17.7,51,2.88,40,0,4,1,6,0,8,0.45,7,0,0,0,1,0,Matches
Boubacar Kamara,fr FRA,MF,25-171,17.3,25,1.45,18,1,1,2,1,2,2,0.12,2,0,0,0,0,0,Matches
Amadou Onana,be BEL,MF,23-270,16.3,29,1.78,22,2,1,4,0,0,4,0.25,2,1,0,1,0,0,Matches
Leon Bailey,jm JAM,"FW,MF",27-277,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
Tyrone Mings,eng ENG,DF,32-061,12.4,18,1.45,15,0,0,1,1,1,2,0.16,1,0,0,1,0,0,Matches
Ian Maatsen,nl NED,DF,23-064,10.7,49,4.59,36,3,4,5,0,1,7,0.66,6,0,1,0,0,0,Matches
Diego Carlos,br BRA,DF,32-059,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Marco Asensio,es ESP,MF,29-112,6.8,28,4.14,17,7,0,1,2,1,3,0.44,2,0,0,1,0,0,Matches
Axel Disasi,fr FRA,DF,27-063,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Lamare Bogarde,nl NED,"DF,MF",21-128,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
Andrés García,es ESP,"DF,MF",22-095,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jáder Durán,co COL,FW,21-151,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches
Marcus Rashford,eng ENG,FW,27-194,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0,Matches
Ross Barkley,eng ENG,MF,31-159,6.3,18,2.84,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0,Matches
Jaden Philogene Bidace,eng ENG,"FW,MF",23-094,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Donyell Malen,nl NED,FW,26-124,3.3,5,1.53,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Robin Olsen,se SWE,GK,35-125,2.0,2,1.0,0,2,0,0,0,0,1,0.5,0,1,0,0,0,0,Matches
Kosta Nedeljković,rs SRB,DF,19-148,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emi Buendía,ar ARG,"MF,FW",28-139,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,36.0,812,22.56,574,82,48,56,38,14,98,2.72,77,6,3,6,4,2,
Opponent Total,,,27.2,36.0,765,21.25,593,48,38,44,26,16,82,2.28,63,3,5,4,4,3,
