Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Collins,IRL,DF,24-014,36.0,30,0.83,22,2,1,3,2,0,8,0.22,4,1,0,1,2,0
Mbeumo,CMR,FW,25-280,35.9,138,3.84,93,23,10,8,4,0,19,0.53,10,3,2,3,1,0
Flekken,NED,GK,31-335,34.4,10,0.29,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0
Lewis-Potter,ENG,"DF,FW",24-081,32.5,70,2.15,55,0,5,3,6,1,8,0.25,6,0,0,0,2,0
Damsgaard,DEN,"MF,FW",24-315,30.5,116,3.81,88,14,6,2,1,5,21,0.69,15,3,1,0,1,1
Wissa,COD,FW,28-253,30.4,64,2.1,37,1,4,11,10,1,8,0.26,7,0,0,0,1,0
Nørgaard,DEN,MF,31-065,29.3,51,1.74,42,0,0,6,2,1,11,0.38,10,0,0,0,1,0
Sepp van den Berg,NED,DF,23-145,26.7,21,0.79,19,0,0,1,1,0,2,0.07,1,0,0,0,1,0
Janelt,GER,MF,27-004,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
Schade,GER,FW,23-168,23.8,54,2.27,33,6,6,4,4,1,9,0.38,5,0,1,3,0,0
Pinnock,JAM,DF,31-350,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0
Ajer,NOR,DF,27-027,15.6,18,1.15,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
Yarmoliuk,UKR,MF,21-074,14.3,24,1.68,19,0,2,1,1,1,2,0.14,2,0,0,0,0,0
Roerslev,DEN,DF,25-324,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
Jensen,DEN,MF,29-133,9.3,38,4.09,27,10,1,0,0,0,5,0.54,2,2,1,0,0,0
Kayode,ITA,DF,20-308,4.2,16,3.78,9,4,1,1,1,0,3,0.71,3,0,0,0,0,0
Carvalho,POR,"FW,MF",22-257,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
Mee,ENG,DF,35-235,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thiago,BRA,FW,23-322,1.6,2,1.22,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Hákon Rafn Valdimarsson,ISL,GK,23-213,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maghoma,ENG,"MF,FW",24-006,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Henry,ENG,DF,27-310,0.9,1,1.08,1,0,0,0,0,0,1,1.08,1,0,0,0,0,0
Yunus Emre Konak,TUR,"FW,MF",19-124,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jisoo,KOR,DF,20-141,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Onyeka,NGA,MF,27-133,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nunes,BRA,"FW,MF",19-175,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Meghoma,ENG,DF,18-320,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Trevitt,ENG,MF,22-063,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
