Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Unnamed: 21_level_0 Matches
Moisés Caicedo,ec ECU,"MF,DF",23-192,35.2,94,2.67,82,0,2,0,3,7,9,0.26,6,0,0,0,2,1,Matches
Cole Palmer,eng ENG,MF,23-007,33.5,194,5.8,128,21,16,20,7,2,15,0.45,11,0,2,1,1,0,Matches
Levi Colwill,eng ENG,DF,22-076,33.0,38,1.15,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1,Matches
Marc Cucurella,es ESP,DF,26-295,31.2,48,1.54,42,3,0,2,1,0,5,0.16,4,1,0,0,0,0,Matches
Enzo Fernández,ar ARG,MF,24-116,30.7,144,4.69,113,16,2,4,4,5,16,0.52,13,2,0,1,0,0,Matches
Robert Sánchez,es ESP,GK,27-176,30.0,7,0.23,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
Nicolas Jackson,sn SEN,FW,23-327,24.7,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0,Matches
Noni Madueke,eng ENG,FW,23-064,20.6,77,3.73,55,0,10,7,4,1,8,0.39,5,0,0,1,1,1,Matches
Pedro Neto,pt POR,FW,25-065,23.4,88,3.77,64,8,6,6,4,0,8,0.34,5,1,2,0,0,0,Matches
Malo Gusto,fr FRA,DF,21-359,20.5,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0,Matches
Jadon Sancho,eng ENG,FW,25-049,18.9,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0,Matches
Wesley Fofana,fr FRA,DF,24-147,13.0,15,1.15,12,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Tosin Adarabioyo,eng ENG,DF,27-231,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,Matches
Trevoh Chalobah,eng ENG,DF,25-312,10.1,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1,Matches
Roméo Lavia,be BEL,MF,21-127,8.4,14,1.66,13,0,0,0,0,1,2,0.24,2,0,0,0,0,0,Matches
Reece James,eng ENG,"DF,MF",25-156,9.8,16,1.63,10,5,0,1,0,0,1,0.1,0,0,0,1,0,0,Matches
Christopher Nkunku,fr FRA,FW,27-180,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches
Filip Jørgensen,dk DEN,GK,23-027,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Axel Disasi,fr FRA,DF,27-063,4.0,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Félix,pt POR,"FW,MF",25-184,4.1,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0,Matches
Benoît Badiashile,fr FRA,DF,24-048,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-249,2.9,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
Joshua Acheampong,eng ENG,DF,19-008,1.9,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato Veiga,pt POR,"DF,MF",21-288,2.0,1,0.49,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mykhailo Mudryk,ua UKR,FW,24-128,1.7,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Tyrique George,eng ENG,FW,19-098,1.1,6,5.24,5,0,1,0,0,0,1,0.87,1,0,0,0,0,0,Matches
Marc Guiu,es ESP,FW,19-129,0.8,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mathis Amougou,fr FRA,MF,19-115,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Shumaira Mheuka,eng ENG,MF,17-205,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,24.5,36.0,1031,28.64,789,58,57,67,38,22,106,2.94,74,5,8,8,7,4,
Opponent Total,,,27.3,36.0,673,18.69,497,53,38,30,39,16,73,2.03,48,5,9,4,5,2,
