Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Vardy,ENG,FW,38-123,30.5,46,1.51,33,0,5,2,6,0,10,0.33,5,0,2,1,2,0,Matches
Justin,ENG,DF,27-080,30.7,32,1.04,20,2,1,4,5,0,1,0.03,1,0,0,0,0,0,Matches
Faes,BEL,DF,27-041,29.3,17,0.58,15,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Victor Bernth Kristiansen,DEN,DF,22-149,26.6,41,1.54,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
Hermansen,DEN,GK,24-307,26.5,3,0.11,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ndidi,NGA,MF,28-149,24.9,29,1.17,27,0,1,1,0,0,3,0.12,3,0,0,0,0,0,Matches
Bilal El Khannouss,MAR,MF,21-004,23.2,71,3.06,49,8,7,4,3,0,6,0.26,4,1,0,1,0,0,Matches
Soumaré,FRA,MF,26-076,22.1,35,1.58,27,0,5,1,2,0,3,0.14,3,0,0,0,0,0,Matches
Winks,ENG,MF,29-101,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
Coady,ENG,DF,32-078,17.0,6,0.35,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ayew,GHA,"FW,MF",33-245,16.5,36,2.18,22,8,2,3,0,1,2,0.12,1,0,0,1,0,0,Matches
Mavididi,ENG,FW,26-348,17.9,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0,Matches
Vestergaard,DEN,DF,32-284,15.5,7,0.45,6,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Buonanotte,ARG,"FW,MF",20-142,16.7,51,3.05,27,11,9,1,3,0,5,0.3,1,2,2,0,0,0,Matches
Okoli,ITA,DF,23-305,12.5,4,0.32,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Thomas,ENG,DF,23-338,10.5,14,1.33,10,3,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Skipp,ENG,MF,24-240,11.7,15,1.28,13,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Bobby De Cordova-Reid,JAM,FW,32-101,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0,Matches
Stolarczyk,POL,GK,24-146,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
McAteer,IRL,"FW,MF",23-173,7.6,20,2.62,18,0,0,0,2,0,2,0.26,1,0,0,0,1,0,Matches
Abdul Fatawu Issahaku,GHA,FW,21-067,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
Daka,ZAM,"FW,MF",26-217,7.3,10,1.38,7,0,2,1,0,0,1,0.14,0,0,1,0,0,0,Matches
Pereira,POR,DF,31-220,3.8,3,0.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ward,WAL,GK,31-326,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Choudhury,BAN,"MF,DF",27-225,1.5,3,2.05,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Coulibaly,FRA,DF,25-359,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Monga,,"FW,MF",,0.7,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Édouard,FRA,FW,27-118,0.3,2,6.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Evans,,FW,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alves,ENG,FW,20-100,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Golding,ENG,MF,18-356,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Total,,,27.4,36.0,565,15.69,413,48,41,25,33,5,53,1.47,34,4,6,5,4,0,
Total,,,27.1,36.0,1063,29.53,775,84,63,73,44,24,132,3.67,103,7,5,12,5,0,
