Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Sels,BEL,GK,33-077,36.0,5,0.14,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0
Milenković,SRB,DF,27-214,35.0,19,0.54,15,0,0,3,0,1,3,0.09,3,0,0,0,0,0
Murillo,BRA,DF,22-314,33.4,40,1.2,27,7,0,3,1,2,2,0.06,1,1,0,0,0,0
Aina,NGA,DF,28-218,31.4,61,1.94,48,5,3,1,3,1,4,0.13,3,0,0,0,0,1
Wood,NZL,FW,33-158,30.9,42,1.36,34,0,2,4,0,2,5,0.16,4,0,0,0,0,1
Gibbs-White,ENG,MF,25-107,29.2,108,3.69,90,0,3,7,4,4,18,0.62,13,0,0,4,1,0
Anderson,ENG,MF,22-189,28.4,81,2.85,40,18,7,7,4,5,10,0.35,4,3,0,1,1,1
Elanga,SWE,"FW,MF",23-017,25.8,95,3.69,53,21,5,7,9,0,16,0.62,10,3,1,0,2,0
Williams,WAL,DF,24-031,26.8,48,1.79,35,5,0,5,3,0,6,0.22,4,1,0,1,0,0
Hudson-Odoi,ENG,"FW,MF",24-188,23.9,94,3.93,74,3,10,3,4,0,11,0.46,7,0,2,0,2,0
Domínguez,ARG,"MF,FW",26-320,20.1,36,1.8,27,1,0,3,3,2,0,0.0,0,0,0,0,0,0
Yates,ENG,MF,27-174,21.0,38,1.81,26,1,1,6,2,2,3,0.14,2,0,0,1,0,0
Moreno,ESP,"DF,MF",31-340,10.6,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0
Morato,BRA,DF,23-318,10.0,3,0.3,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Silva,POR,"FW,MF",25-286,9.4,29,3.09,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0
Sangaré,CIV,MF,27-163,5.0,7,1.39,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ward-Prowse,ENG,MF,30-194,4.4,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0
Danilo,BRA,"MF,FW",24-015,3.0,7,2.37,7,0,0,0,0,0,2,0.68,2,0,0,0,0,0
Awoniyi,NGA,FW,27-275,4.6,9,1.95,5,0,1,2,1,0,1,0.22,0,0,0,1,0,0
Sosa,PAR,"FW,MF",25-256,3.3,14,4.23,11,0,2,1,0,0,0,0.0,0,0,0,0,0,0
Boly,CIV,DF,34-100,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Toffolo,ENG,DF,29-268,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Eric da Silva Moreira,GER,"MF,DF",19-011,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
