Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Porro,ESP,DF,25-243,28.0,107,3.82,71,23,3,5,4,1,8,0.29,4,3,1,0,0,0,Matches
Kulusevski,SWE,"MF,FW",25-019,26.5,128,4.82,95,12,15,3,3,0,9,0.34,7,1,1,0,0,0,Matches
Solanke,ENG,FW,27-242,23.5,37,1.57,25,0,0,9,2,1,8,0.34,6,0,0,1,1,0,Matches
Johnson,WAL,FW,23-356,23.1,46,1.99,30,0,6,4,5,1,7,0.3,5,0,1,0,1,0,Matches
Vicario,ITA,GK,28-219,23.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Heung-min,KOR,FW,32-310,22.6,116,5.13,86,8,10,7,5,0,15,0.66,13,0,0,1,1,0,Matches
Udogie,ITA,DF,22-167,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches
Maddison,ENG,MF,28-172,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0,Matches
Pape Matar Sarr,SEN,MF,22-242,20.2,44,2.18,34,2,2,4,0,2,6,0.3,4,0,1,1,0,0,Matches
Bentancur,URU,MF,27-323,17.4,45,2.59,36,0,1,5,1,2,3,0.17,3,0,0,0,0,0,Matches
Spence,ENG,DF,24-278,18.8,29,1.54,23,1,4,1,0,0,5,0.27,3,1,1,0,0,0,Matches
Romero,ARG,DF,27-017,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
Gray,ENG,"DF,MF",19-063,17.5,5,0.29,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bissouma,MLI,MF,28-257,14.9,16,1.07,15,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Drăgușin,ROU,DF,23-100,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Davies,WAL,DF,32-020,13.5,8,0.59,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Bergvall,SWE,MF,19-101,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0,Matches
Micky van de Ven,NED,DF,24-025,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0,Matches
Tel,FRA,FW,20-017,8.2,24,2.93,16,1,2,2,3,0,1,0.12,1,0,0,0,0,0,Matches
Odobert,FRA,FW,20-167,8.0,14,1.75,12,0,0,2,0,0,1,0.13,1,0,0,0,0,0,Matches
Danso,AUT,DF,26-237,7.4,8,1.09,7,0,0,1,0,0,2,0.27,2,0,0,0,0,0,Matches
Forster,ENG,GK,37-058,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kinský,CZE,GK,22-062,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Werner,GER,"FW,MF",29-069,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
Richarlison,BRA,FW,28-004,5.3,8,1.51,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches
Moore,ENG,FW,17-276,3.1,11,3.54,7,2,0,1,1,0,2,0.64,1,0,0,1,0,0,Matches
Austin,ENG,GK,26-126,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Reguilón,ESP,DF,28-149,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Scarlett,ENG,"FW,MF",21-051,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
Dorrington,ENG,DF,20-024,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lankshear,ENG,"FW,MF",20-024,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Total,,,25.8,36.0,862,23.94,639,67,52,59,34,11,104,2.89,78,7,8,7,3,1,
Total,,,27.1,36.0,839,23.31,616,63,53,65,27,15,99,2.75,72,6,7,8,3,3,
