player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Kilman,ENG,DF,27,35.2,29,0.82,26,0,2,0,0,1,3,0.09,2,0,1,0,0,0
Wan-Bissaka,ENG,DF,27,33.0,88,2.66,70,4,7,3,2,2,9,0.27,8,0,0,1,0,0
Bowen,ENG,"FW,MF",28,31.0,105,3.38,64,13,5,12,9,2,13,0.42,9,2,1,1,0,0
Kudus,GHA,"FW,MF",24,27.7,105,3.79,72,1,16,12,2,2,9,0.33,5,0,1,3,0,0
Souček,CZE,MF,30,26.9,43,1.6,35,0,0,5,2,1,3,0.11,2,0,0,0,1,0
Paquetá,BRA,"MF,FW",27,26.0,79,3.04,65,2,2,4,5,1,6,0.23,3,0,0,2,1,0
Palmieri,ITA,DF,30,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0
Areola,FRA,GK,32,24.1,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mavropanos,GRE,DF,27,21.7,16,0.74,12,0,1,2,0,1,0,0.0,0,0,0,0,0,0
Álvarez,MEX,MF,27,18.4,25,1.36,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0
Todibo,FRA,DF,25,18.3,5,0.27,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Rodríguez,ARG,MF,31,12.0,10,0.83,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Soler,ESP,"MF,FW",28,15.3,47,3.08,29,7,2,5,3,1,2,0.13,2,0,0,0,0,0
Fabiański,POL,GK,40,11.9,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Antonio,JAM,FW,35,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0
Coufal,CZE,DF,32,10.6,13,1.22,9,4,0,0,0,0,1,0.09,0,1,0,0,0,0
Ward-Prowse,ENG,MF,30,10.0,29,2.89,15,10,0,3,0,1,1,0.1,0,1,0,0,0,0
Cresswell,ENG,DF,35,8.5,14,1.64,6,8,0,0,0,0,0,0.0,0,0,0,0,0,0
Summerville,NED,"FW,MF",23,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0
Scarles,ENG,DF,19,6.6,5,0.76,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Füllkrug,GER,FW,32,7.6,19,2.49,17,0,0,2,0,0,2,0.26,1,0,0,1,0,0
Ings,ENG,"FW,MF",32,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0
Irving,SCO,MF,25,1.8,5,2.68,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Ferguson,IRL,FW,20,1.7,4,2.31,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Guilherme,BRA,"MF,FW",19,1.5,10,6.52,6,1,1,1,1,0,0,0.0,0,0,0,0,0,0
Orford,ENG,MF,19,0.5,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Casey,ENG,DF,20,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
