Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Aït-Nouri,ALG,DF,23-342,32.8,81,2.47,49,13,7,7,4,1,12,0.37,10,1,0,0,0,1,Matches
Gomes,BRA,MF,24-091,31.5,63,2.0,50,1,5,2,2,3,3,0.1,3,0,0,0,0,0,Matches
Semedo,POR,DF,31-179,30.6,55,1.8,40,1,7,1,3,3,6,0.2,6,0,0,0,0,0,Matches
Jørgen Strand Larsen,NOR,FW,25-097,27.7,40,1.44,31,1,1,3,2,2,5,0.18,5,0,0,0,0,0,Matches
André,BRA,MF,23-302,26.0,46,1.77,38,3,1,0,0,4,3,0.12,2,1,0,0,0,0,Matches
Sá,POR,GK,32-117,28.0,4,0.14,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cunha,BRA,"MF,FW",25-352,27.6,123,4.46,70,13,17,8,12,3,16,0.58,10,0,4,0,1,1,Matches
Gomes,POR,DF,26-118,27.0,20,0.74,19,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Doherty,IRL,DF,33-118,22.5,24,1.07,18,3,1,1,1,0,3,0.13,3,0,0,0,0,0,Matches
Bellegarde,FRA,"MF,FW",26-321,17.6,53,3.02,33,3,4,4,7,2,10,0.57,8,0,0,0,1,1,Matches
Bueno,URU,DF,26-186,18.7,12,0.64,10,1,0,0,0,1,4,0.21,3,0,0,0,0,1,Matches
Lemina,GAB,"MF,DF",31-255,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches
Agbadou,CIV,DF,27-331,13.7,15,1.1,14,1,0,0,0,0,2,0.15,2,0,0,0,0,0,Matches
Munetsi,ZIM,"MF,FW",28-326,10.8,16,1.49,12,0,0,1,2,1,1,0.09,1,0,0,0,0,0,Matches
Dawson,ENG,DF,35-008,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
Guedes,POR,"MF,FW",28-166,9.3,23,2.46,21,0,1,0,1,0,8,0.86,7,0,1,0,0,0,Matches
Johnstone,ENG,GK,32-050,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sarabia,ESP,"MF,FW",33-003,8.3,25,3.01,17,6,2,0,0,0,4,0.48,3,0,1,0,0,0,Matches
Gomes,POR,"DF,FW",21-311,7.8,21,2.69,18,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Hee-chan,KOR,"MF,FW",29-108,7.2,9,1.24,8,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Mosquera,COL,DF,24-012,4.9,5,1.02,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Doyle,ENG,MF,23-209,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches
Forbs,POR,"MF,FW",21-056,2.7,5,1.89,3,0,2,0,0,0,1,0.38,1,0,0,0,0,0,Matches
Bentley,ENG,GK,31-305,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lima,BRA,DF,18-317,0.8,4,5.14,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches
Podence,POR,"MF,FW",29-205,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Djiga,BFA,"DF,FW",22-180,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chiquinho,POR,MF,25-098,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mane,,MF,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pond,ENG,DF,21-074,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Traoré,MLI,MF,23-267,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Total,,,27.7,36.0,698,19.39,504,50,53,34,34,23,90,2.5,74,2,7,1,2,4,
Total,,,27.0,36.0,785,21.81,560,83,39,44,47,12,107,2.97,72,10,6,8,10,1,
