Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raya,ESP,GK,29-241,36.0,2,0,0,1,9,0,0,2,0,0,1,0,39,10,0,100.0
Saliba,FRA,DF,24-051,33.3,2,1,0,28,17,1,3,21,37,0,1,0,150,60,35,63.2
Rice,ENG,MF,26-120,29.4,7,1,1,20,16,2,157,25,24,0,0,0,143,31,24,56.4
Partey,GHA,"MF,DF",31-335,29.1,4,0,0,44,30,1,12,34,51,0,0,0,130,26,22,54.2
Magalhães,BRA,DF,27-146,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
Trossard,BEL,FW,30-161,27.0,4,1,1,25,45,6,82,9,19,0,0,0,98,6,22,21.4
Timber,NED,DF,23-331,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4
Ødegaard,NOR,MF,26-148,24.7,4,0,0,10,23,1,84,5,11,0,0,0,93,8,7,53.3
Martinelli,BRA,"FW,MF",23-330,23.7,1,0,0,15,20,8,85,4,15,0,0,0,74,15,34,30.6
Havertz,GER,"FW,MF",25-337,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9
Saka,ENG,"FW,MF",23-251,18.1,3,0,0,14,38,6,111,3,13,1,0,0,68,9,19,32.1
Merino,ESP,"MF,FW",28-326,16.6,4,1,1,39,22,7,13,15,26,0,0,0,82,58,55,51.3
Lewis-Skelly,ENG,DF,18-230,14.0,3,2,0,11,43,0,8,6,14,0,1,0,48,8,10,44.4
White,ENG,DF,27-218,11.3,2,0,0,8,5,1,14,16,11,0,0,0,28,15,6,71.4
Calafiori,ITA,DF,22-360,10.4,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9
Nwaneri,ENG,"FW,MF",18-054,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4
Jorginho,ITA,MF,33-145,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3
Kiwior,POL,DF,25-088,10.5,0,0,0,9,4,1,1,4,7,0,0,0,22,8,7,53.3
Jesus,BRA,FW,28-041,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3
Sterling,ENG,"FW,MF",30-157,4.9,1,0,0,12,4,4,14,1,4,0,0,0,14,1,3,25.0
Zinchenko,UKR,"DF,MF",28-150,5.1,1,0,0,8,3,1,10,4,1,0,0,0,17,11,11,50.0
Tierney,SCO,"DF,FW",27-343,2.2,0,0,0,0,2,2,10,2,5,0,0,0,4,3,5,37.5
Butler-Oyedeji,ENG,FW,22-130,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tomiyasu,JPN,DF,26-190,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nelson,ENG,FW,25-155,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
