Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Unnamed: 21_level_0 Matches
Milos Kerkez,hu HUN,DF,21-187,35.2,4,0,0,29,47,1,132,44,26,0,0,0,159,27,48,36.0,Matches
Antoine Semenyo,gh GHA,FW,25-126,33.6,9,0,0,68,37,14,57,10,34,1,0,0,152,62,72,46.3,Matches
Illia Zabarnyi,ua UKR,DF,22-254,32.5,4,1,0,19,6,0,6,39,33,0,0,0,147,72,42,63.2,Matches
Lewis Cook,eng ENG,"MF,DF",28-099,32.3,8,0,0,48,10,3,132,40,42,0,1,0,186,41,34,54.7,Matches
Kepa Arrizabalaga,es ESP,GK,30-222,29.0,3,0,0,2,5,0,0,0,0,0,2,0,54,7,1,87.5,Matches
Justin Kluivert,nl NED,"MF,FW",26-008,24.5,8,0,0,43,31,5,81,13,9,1,0,0,74,7,25,21.9,Matches
Ryan Christie,sct SCO,MF,30-080,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
Evanilson,br BRA,FW,25-219,23.9,1,1,0,35,50,19,0,0,10,5,0,0,62,40,60,40.0,Matches
Dean Huijsen,es ESP,DF,20-029,25.8,9,0,0,30,10,2,12,50,26,0,0,0,101,66,43,60.6,Matches
Dango Ouattara,bf BFA,FW,23-091,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7,Matches
Tyler Adams,us USA,MF,26-088,19.8,7,0,0,42,20,0,3,32,48,0,1,0,105,29,18,61.7,Matches
Marcus Tavernier,eng ENG,"FW,MF",26-052,19.6,5,0,0,29,23,4,99,5,24,0,0,0,107,25,33,43.1,Matches
Adam Smith,eng ENG,DF,34-014,16.4,7,0,0,17,11,0,30,14,10,0,0,0,46,13,14,48.1,Matches
Marcos Senesi,ar ARG,DF,28-003,11.4,5,0,0,20,7,0,11,11,21,0,0,0,69,24,28,46.2,Matches
David Brooks,wls WAL,"FW,MF",27-309,9.5,3,0,0,8,16,0,45,5,5,0,0,0,45,7,10,41.2,Matches
Alex Scott,eng ENG,MF,21-265,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0,Matches
James Hill,eng ENG,DF,23-123,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
Julian Araujo,mx MEX,DF,23-273,4.8,1,0,0,5,1,0,7,6,3,0,0,0,28,2,7,22.2,Matches
Mark Travers,ie IRL,GK,25-360,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Enes Ünal,tr TUR,"FW,MF",28-003,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,Matches
Neto,br BRA,GK,35-298,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,,Matches
Luis Sinisterra,co COL,"FW,MF",25-330,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,Matches
Philip Billing,dk DEN,MF,28-336,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
Max Aarons,eng ENG,DF,25-129,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
Daniel Jebbison,eng ENG,FW,21-273,0.9,1,0,0,2,2,0,1,1,2,0,0,0,8,2,10,16.7,Matches
Ben Winterburn,eng ENG,"FW,MF",20-251,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0,Matches
Julio Soler,ar ARG,FW,20-086,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
Remy Rees-Dottin,eng ENG,FW,19-068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Zain Silcott-Duberry,ms MSR,FW,19-308,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Squad Total,,,25.9,36.0,94,2,0,493,377,65,792,339,385,7,4,0,1744,545,589,48.1,
Opponent Total,,,27.2,36.0,91,4,3,387,479,38,586,266,381,3,7,1,1596,589,545,51.9,
