Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Verbruggen,NED,GK,22-269,34.0,5,0,0,0,2,0,0,0,0,0,0,0,58,10,1,90.9
Jan Paul van Hecke,NED,DF,24-340,30.9,8,1,1,23,24,0,11,23,27,0,0,0,122,78,48,61.9
Baleba,CMR,MF,21-131,27.6,8,1,1,39,45,0,9,43,42,0,2,0,184,38,24,61.3
Mitoma,JPN,"FW,MF",27-359,28.1,1,0,0,39,23,5,72,13,26,0,0,0,93,25,27,48.1
Estupiñán,ECU,DF,27-113,25.7,5,0,0,35,19,3,116,36,40,0,0,0,140,45,26,63.4
Dunk,ENG,DF,33-174,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
Welbeck,ENG,FW,34-169,22.6,5,0,0,11,22,4,3,5,15,0,0,0,43,16,31,34.0
Pedro,BRA,"FW,MF",23-230,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8
Hinshelwood,ENG,"DF,MF",20-033,19.4,5,0,0,16,7,0,26,15,18,0,0,0,58,19,15,55.9
Ayari,SWE,MF,21-220,20.5,3,0,0,35,23,3,64,20,31,0,1,0,113,15,20,42.9
Veltman,NED,DF,33-119,18.5,4,0,0,27,42,0,23,18,28,0,1,0,68,21,18,53.8
Rutter,FRA,"MF,FW",23-024,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
Minteh,GAM,"FW,MF",20-296,18.5,6,0,0,20,10,5,79,11,34,0,0,0,78,16,33,32.7
O'Riley,DEN,MF,24-174,10.1,1,0,0,15,13,1,46,13,9,1,0,1,28,5,8,38.5
Adingra,CIV,"FW,MF",23-133,11.0,0,0,0,12,3,2,36,8,14,0,0,0,43,6,4,60.0
Lamptey,GHA,DF,24-226,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
Igor,BRA,DF,27-096,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1
Webster,ENG,DF,30-130,7.9,0,0,0,6,2,1,1,18,6,0,1,0,26,17,6,73.9
Wieffer,NED,"MF,DF",25-179,9.3,6,0,0,21,8,1,7,14,27,1,0,0,60,27,22,55.1
Gruda,GER,"MF,FW",20-348,6.0,0,0,0,6,9,1,20,2,6,0,0,0,20,3,4,42.9
Kadioglu,TUR,"DF,MF",25-219,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
Gómez,PAR,MF,22-048,5.0,0,0,0,7,2,1,9,7,10,0,0,0,32,8,4,66.7
Milner,ENG,MF,39-130,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
Enciso,PAR,"MF,FW",21-111,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
Ferguson,IRL,FW,20-207,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
Steele,ENG,GK,34-269,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
March,ENG,"FW,MF",30-298,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3
Gilmour,SCO,MF,23-337,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,
Cashin,IRL,DF,23-186,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
Moder,POL,MF,26-037,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
Sarmiento,ECU,MF,22-332,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
