Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Caicedo,ECU,"MF,DF",23,35.2,10,0,0,66,55,0,10,49,67,2,1,0,211,35,15,70.0
Palmer,ENG,MF,23,33.5,6,0,0,14,58,6,138,11,17,1,0,0,100,2,7,22.2
Colwill,ENG,DF,22,33.0,9,0,0,43,20,4,13,32,32,0,1,0,115,77,52,59.7
Cucurella,ESP,DF,26,31.2,10,1,1,34,34,3,31,25,39,0,0,0,121,30,54,35.7
Fernández,ARG,MF,24,30.7,8,0,0,48,50,1,108,13,32,0,0,0,148,14,28,33.3
Sánchez,ESP,GK,27,30.0,5,0,0,2,4,0,0,2,0,0,2,0,42,9,0,100.0
Jackson,SEN,FW,23,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8
Madueke,ENG,FW,23,20.6,3,0,0,21,24,5,59,8,15,0,0,0,73,10,16,38.5
Neto,POR,FW,25,23.4,8,0,0,19,31,3,140,9,9,0,0,0,75,11,27,28.9
Gusto,FRA,DF,21,20.5,4,0,0,20,19,2,52,24,28,0,0,0,116,9,15,37.5
Sancho,ENG,FW,25,18.9,2,0,0,6,11,6,24,2,7,2,0,0,97,6,10,37.5
Fofana,FRA,DF,24,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2
Adarabioyo,ENG,DF,27,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1
Chalobah,ENG,DF,25,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7
Lavia,BEL,MF,21,8.4,4,0,0,15,6,0,0,16,13,0,1,0,39,12,3,80.0
James,ENG,"DF,MF",25,9.8,1,0,0,6,11,0,41,13,9,0,0,0,57,22,6,78.6
Nkunku,FRA,FW,27,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1
Jørgensen,DEN,GK,23,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,
Disasi,FRA,DF,27,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
Félix,POR,"FW,MF",25,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4
Badiashile,FRA,DF,24,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0
Dewsbury-Hall,ENG,"MF,FW",26,2.9,0,0,0,4,6,0,2,1,5,0,0,0,9,0,1,0.0
Acheampong,ENG,DF,19,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
Veiga,POR,"DF,MF",21,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0
Mudryk,UKR,FW,24,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
George,ENG,FW,19,1.1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,3,0.0
Guiu,ESP,FW,19,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
Amougou,FRA,MF,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mheuka,ENG,MF,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
