Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pickford,ENG,GK,31-068,36.0,7,0,0,0,7,0,0,1,0,0,0,0,33,4,1,80.0
Tarkowski,ENG,DF,32-176,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6
Mykolenko,UKR,DF,25-350,32.2,3,0,0,21,30,3,93,39,33,0,1,0,81,47,37,56.0
Idrissa Gana Gueye,SEN,MF,35-230,32.0,8,0,0,52,43,0,7,44,74,0,0,0,182,23,15,60.5
Doucouré,MLI,MF,32-133,27.6,5,1,1,47,5,10,23,9,27,0,0,0,145,29,43,40.3
Branthwaite,ENG,DF,22-321,27.1,4,0,0,12,18,1,5,25,20,0,0,0,89,55,41,57.3
Ndiaye,SEN,FW,25-069,25.4,3,0,0,24,48,5,38,17,25,0,0,0,163,6,19,24.0
Harrison,ENG,FW,28-175,21.8,0,0,0,13,27,4,126,9,22,1,0,0,68,4,26,13.3
Calvert-Lewin,ENG,FW,28-059,17.7,2,0,0,27,23,27,6,6,7,0,0,0,34,84,80,51.2
Young,ENG,"DF,FW",39-309,19.0,6,1,0,26,19,0,70,24,30,0,0,0,66,10,11,47.6
Garner,ENG,"MF,DF",24-062,15.7,3,0,0,19,15,0,53,20,28,0,0,0,66,10,8,55.6
O'Brien,IRL,DF,23-364,15.5,5,0,0,13,4,3,18,4,16,0,0,0,51,33,27,55.0
Lindstrøm,DEN,FW,25-074,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3
McNeil,ENG,"MF,FW",25-173,14.4,1,0,0,6,16,1,98,5,7,0,0,0,72,3,15,16.7
Mangala,BEL,MF,27-057,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9
Beto,GNB,FW,27-103,15.1,2,0,0,31,20,14,4,3,6,0,0,0,33,86,95,47.5
Keane,ENG,DF,32-123,10.5,5,0,0,9,0,0,1,15,7,0,0,0,25,23,18,56.1
Alcaraz,ARG,"FW,MF",22-165,7.4,4,0,0,11,11,1,10,4,5,0,0,0,32,13,6,68.4
Iroegbunam,ENG,MF,21-318,6.4,4,0,0,15,12,0,1,16,14,0,0,0,51,11,4,73.3
Broja,ALB,FW,23-246,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2
Patterson,SCO,DF,23-210,3.9,1,0,0,6,1,0,14,2,6,0,0,0,12,1,7,12.5
Coleman,IRL,DF,36-215,2.2,1,0,0,0,1,0,3,1,2,0,0,0,7,2,1,66.7
Dixon,ENG,DF,20-139,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
Armstrong,ENG,MF,18-115,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0
Chermiti,POR,"FW,MF",20-355,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7
Holgate,ENG,"FW,DF",28-204,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
