Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Unnamed: 21_level_0 Matches
Bernd Leno,de GER,GK,33-070,36.0,4,0,0,0,3,0,0,0,2,0,0,0,48,9,1,90.0,Matches
Alex Iwobi,ng NGA,"FW,MF",29-010,32.1,1,0,0,18,18,5,124,13,24,0,0,0,133,6,31,16.2,Matches
Antonee Robinson,us USA,DF,27-278,33.2,8,0,0,31,17,6,165,57,57,0,0,0,148,45,25,64.3,Matches
Calvin Bassey,ng NGA,DF,25-133,33.2,7,0,0,26,31,2,8,19,33,0,0,0,163,41,32,56.2,Matches
Raúl Jiménez,mx MEX,FW,34-008,25.7,4,0,0,39,38,14,23,10,23,1,0,0,77,81,95,46.0,Matches
Joachim Andersen,dk DEN,DF,28-347,26.7,5,1,0,17,17,0,11,31,18,0,0,1,111,67,38,63.8,Matches
Saša Lukić,rs SRB,MF,28-273,24.1,12,0,0,62,26,0,55,26,37,0,0,0,107,18,24,42.9,Matches
Sander Berge,no NOR,MF,27-088,24.1,6,0,0,31,10,0,3,21,28,0,0,0,122,28,21,57.1,Matches
Andreas Pereira,br BRA,MF,29-132,21.7,7,0,0,28,24,1,171,8,13,1,0,0,100,12,21,36.4,Matches
Emile Smith Rowe,eng ENG,MF,24-289,21.6,2,0,0,18,14,4,15,11,18,0,0,0,73,6,17,26.1,Matches
Kenny Tete,nl NED,DF,29-216,17.7,4,0,0,29,14,1,33,29,34,0,0,0,66,18,15,54.5,Matches
Timothy Castagne,be BEL,DF,29-159,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,Matches
Adama Traoré,es ESP,"FW,MF",29-108,18.0,3,0,0,20,29,1,94,1,12,0,0,0,78,25,26,49.0,Matches
Issa Diop,fr FRA,DF,28-124,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches
Harry Wilson,wls WAL,"FW,MF",28-052,12.0,2,0,0,11,21,1,41,5,11,1,0,0,53,5,18,21.7,Matches
Rodrigo Muniz,br BRA,FW,24-009,10.7,1,0,0,11,31,3,1,5,5,0,0,0,14,67,63,51.5,Matches
Ryan Sessegnon,eng ENG,"FW,DF",24-360,6.1,1,0,0,19,4,1,14,3,13,0,0,0,29,8,11,42.1,Matches
Reiss Nelson,eng ENG,FW,25-154,5.4,1,0,0,6,9,1,23,5,6,0,0,0,29,0,4,0.0,Matches
Jorge Cuenca,es ESP,DF,25-177,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
Tom Cairney,sct SCO,MF,34-113,5.7,3,1,0,8,18,0,19,4,5,0,0,0,45,4,8,33.3,Matches
Willian,br BRA,"FW,MF",36-277,2.9,0,0,0,1,0,0,16,1,2,0,0,0,14,1,3,25.0,Matches
Joshua King,eng ENG,MF,18-130,1.0,0,0,0,3,2,0,2,1,3,0,0,0,3,0,1,0.0,Matches
Harrison Reed,eng ENG,MF,30-106,1.2,2,0,0,6,2,0,6,1,3,0,1,0,10,1,2,33.3,Matches
Martial Godo,eng ENG,"FW,DF",22-060,0.3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches
Carlos Vinícius,br BRA,"MF,FW",30-049,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
Jay Stansfield,eng ENG,MF,22-170,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.8,36.0,76,2,0,413,342,41,864,285,390,3,2,2,1535,502,507,49.8,
Opponent Total,,,27.1,36.0,63,3,1,354,406,83,595,318,290,2,4,1,1503,507,502,50.2,
