player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Vardy,ENG,FW,38,30.5,5,0,0,22,22,27,11,5,13,2,0,0,39,49,52,48.5
Justin,ENG,DF,27,30.7,6,0,0,28,39,2,54,45,30,0,0,0,80,63,50,55.8
Faes,BEL,DF,27,29.3,4,0,0,21,11,1,5,26,23,0,0,0,87,44,34,56.4
Victor Bernth Kristiansen,DEN,DF,22,26.6,1,0,0,17,17,3,97,40,50,0,1,1,97,19,42,31.1
Hermansen,DEN,GK,24,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0
Ndidi,NGA,MF,28,24.9,8,0,0,39,18,3,30,29,50,0,0,1,125,59,56,51.3
Bilal El Khannouss,MAR,MF,21,23.2,4,0,0,28,13,1,87,6,27,0,0,0,89,19,23,45.2
Soumaré,FRA,MF,26,22.1,8,0,0,21,21,0,9,25,18,0,0,0,130,21,9,70.0
Winks,ENG,MF,29,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1
Coady,ENG,DF,32,17.0,2,0,0,7,2,1,0,13,8,0,2,0,52,13,20,39.4
Ayew,GHA,"FW,MF",33,16.5,5,0,0,29,50,6,58,12,14,0,0,0,90,34,63,35.1
Mavididi,ENG,FW,26,17.9,2,0,0,18,18,3,69,11,19,0,0,0,83,9,15,37.5
Vestergaard,DEN,DF,32,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8
Buonanotte,ARG,"FW,MF",20,16.7,8,0,0,37,34,3,43,12,32,0,0,0,79,18,35,34.0
Okoli,ITA,DF,23,12.5,4,0,0,16,9,0,1,15,14,0,0,0,44,23,21,52.3
Thomas,ENG,DF,23,10.5,2,0,0,9,6,0,26,18,21,0,1,0,36,13,11,54.2
Skipp,ENG,MF,24,11.7,8,0,0,20,13,0,5,10,4,0,0,0,42,11,6,64.7
Bobby De Cordova-Reid,JAM,FW,32,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0
Stolarczyk,POL,GK,24,8.0,1,0,0,0,0,0,0,0,1,0,0,0,8,4,0,100.0
McAteer,IRL,"FW,MF",23,7.6,2,0,0,15,14,2,18,3,14,0,0,0,35,12,16,42.9
Abdul Fatawu Issahaku,GHA,FW,21,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9
Daka,ZAM,"FW,MF",26,7.3,0,0,0,12,17,3,3,1,9,0,0,0,18,10,27,27.0
Pereira,POR,DF,31,3.8,1,0,0,4,6,0,3,2,6,0,0,0,16,4,2,66.7
Ward,WAL,GK,31,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Choudhury,BAN,"MF,DF",27,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,
Coulibaly,FRA,DF,25,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0
Monga,,"FW,MF",na,0.7,0,0,0,0,2,0,2,0,1,0,0,0,9,0,1,0.0
Édouard,FRA,FW,27,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0
Evans,,FW,na,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Alves,ENG,FW,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Golding,ENG,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
