Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Onana,CMR,GK,29-042,33.0,0,0,0,0,2,0,0,0,1,0,0,0,33,6,0,100.0
Fernandes,POR,MF,30-248,31.6,4,2,1,26,38,2,181,25,47,0,0,0,196,21,28,42.9
Mazraoui,MAR,DF,27-181,30.3,2,0,0,37,23,3,22,34,63,0,1,0,144,48,28,63.2
Dalot,POR,DF,26-057,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4
Matthijs de Ligt,NED,DF,25-275,23.6,3,0,0,16,12,2,6,33,22,0,2,0,68,58,29,66.7
Garnacho,ARG,"MF,FW",20-317,24.2,3,0,0,12,42,10,56,13,18,0,0,0,108,3,24,11.1
Manuel Ugarte Ribeiro,URU,MF,24-033,19.6,10,0,0,39,33,0,7,27,47,0,0,1,122,18,18,50.0
Højlund,DEN,FW,22-099,20.4,2,0,0,15,27,11,7,1,1,1,0,0,31,26,87,23.0
Martínez,ARG,DF,27-116,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2
Mainoo,ENG,MF,20-025,17.7,5,0,0,27,20,2,6,19,27,0,0,0,84,19,30,38.8
Diallo,CIV,"FW,MF",22-307,19.1,3,0,0,19,26,9,40,11,29,1,0,0,101,9,15,37.5
Maguire,ENG,DF,32-070,17.5,7,0,0,17,11,1,3,39,14,0,0,0,59,55,23,70.5
Casemiro,BRA,MF,33-080,14.8,3,0,0,17,18,3,19,12,46,0,0,0,89,31,17,64.6
Zirkzee,NED,"FW,MF",23-357,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0
Yoro,FRA,DF,19-182,12.9,5,0,0,9,2,1,1,18,11,0,0,0,46,16,16,50.0
Rashford,ENG,"FW,MF",27-195,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7
Eriksen,DEN,MF,33-089,11.5,4,0,0,8,3,0,83,7,9,0,0,0,61,2,6,25.0
Dorgu,DEN,DF,20-200,7.4,3,1,0,14,23,3,31,4,19,0,0,0,27,12,7,63.2
Mount,ENG,MF,26-124,5.4,3,0,0,15,7,0,9,3,4,0,0,0,16,4,7,36.4
Lindelöf,SWE,DF,30-301,5.8,1,0,0,7,1,0,1,7,2,0,0,0,16,12,13,48.0
Amass,ENG,DF,18-059,3.8,0,0,0,2,4,1,9,2,2,0,0,0,26,7,6,53.8
Evans,NIR,DF,37-131,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7
Bayındır,TUR,GK,27-030,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Shaw,ENG,DF,29-306,3.0,1,0,0,3,0,0,10,2,3,0,0,1,9,3,2,60.0
Fredricson,ENG,DF,20-080,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3
Malacia,NED,DF,25-270,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,
Obi-Martin,DEN,FW,17-166,1.7,1,0,0,3,1,0,0,0,1,0,0,0,9,1,4,20.0
Heaven,ENG,DF,18-234,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3
Collyer,ENG,MF,21-131,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0
Antony,BRA,"DF,MF",25-079,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0
McTominay,SCO,MF,28-157,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
