Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Porro,ESP,DF,25,28.0,4,0,0,24,31,1,194,34,46,0,0,0,148,11,22,33.3
Kulusevski,SWE,"MF,FW",25,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0
Solanke,ENG,FW,27,23.5,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7
Johnson,WAL,FW,23,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9
Vicario,ITA,GK,28,23.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0
Heung-min,KOR,FW,32,22.6,1,0,0,6,28,12,76,5,9,1,0,0,81,6,12,33.3
Udogie,ITA,DF,22,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0
Maddison,ENG,MF,28,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
Pape Matar Sarr,SEN,MF,22,20.2,6,0,0,31,35,2,14,27,35,0,1,0,109,31,42,42.5
Bentancur,URU,MF,27,17.4,8,0,0,32,10,1,4,36,20,0,0,0,115,36,29,55.4
Spence,ENG,DF,24,18.8,4,1,1,20,23,2,25,20,33,0,0,1,108,21,13,61.8
Romero,ARG,DF,27,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
Gray,ENG,"DF,MF",19,17.5,0,0,0,12,11,0,16,15,8,0,0,1,65,10,9,52.6
Bissouma,MLI,MF,28,14.9,7,0,0,26,18,0,2,17,30,0,1,0,81,7,7,50.0
Drăgușin,ROU,DF,23,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Davies,WAL,DF,32,13.5,4,0,0,16,7,0,4,12,11,0,0,0,40,51,42,54.8
Bergvall,SWE,MF,19,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
Micky van de Ven,NED,DF,24,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4
Tel,FRA,FW,20,8.2,1,0,0,9,12,1,31,1,5,0,0,0,35,4,3,57.1
Odobert,FRA,FW,20,8.0,0,0,0,1,3,1,25,3,4,0,0,0,30,3,7,30.0
Danso,AUT,DF,26,7.4,0,0,0,7,11,0,1,3,5,0,0,0,24,20,9,69.0
Forster,ENG,GK,37,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Kinský,CZE,GK,22,5.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0
Werner,GER,"FW,MF",29,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
Richarlison,BRA,FW,28,5.3,2,0,0,6,13,3,7,0,3,0,0,0,10,9,22,29.0
Moore,ENG,FW,17,3.1,0,0,0,3,5,3,15,1,0,0,0,0,10,1,5,16.7
Austin,ENG,GK,26,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Reguilón,ESP,DF,28,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4
Scarlett,ENG,"FW,MF",21,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0
Dorrington,ENG,DF,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Lankshear,ENG,"FW,MF",20,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
