Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Unnamed: 5_level_0 Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Unnamed: 20_level_0 Matches
Milos Kerkez,hu HUN,DF,21-187,35.2,1661,1362,294,18,2,3,132,268,7,5,1,0,1250,5,48,Matches
Antoine Semenyo,gh GHA,FW,25-126,33.6,1050,990,51,4,9,5,57,44,3,0,1,0,768,9,39,Matches
Illia Zabarnyi,ua UKR,DF,22-254,32.5,1589,1556,31,27,5,5,6,1,0,0,0,0,1300,2,10,Matches
Lewis Cook,eng ENG,"MF,DF",28-099,32.3,1551,1324,225,71,3,2,132,73,77,65,3,0,1192,2,26,Matches
Kepa Arrizabalaga,es ESP,GK,30-222,29.0,961,676,281,95,0,0,0,0,0,0,0,0,698,4,1,Matches
Justin Kluivert,nl NED,"MF,FW",26-008,24.5,739,647,85,7,5,6,81,9,32,28,0,0,550,7,17,Matches
Ryan Christie,sct SCO,MF,30-080,23.5,1056,990,60,21,8,9,48,3,26,17,3,2,837,6,19,Matches
Evanilson,br BRA,FW,25-219,23.9,317,313,3,0,4,3,0,0,0,0,0,0,224,1,11,Matches
Dean Huijsen,es ESP,DF,20-029,25.8,1535,1478,52,32,1,15,12,5,0,0,0,0,1281,5,12,Matches
Dango Ouattara,bf BFA,FW,23-091,22.3,612,579,30,0,5,5,88,26,3,1,0,0,367,3,22,Matches
Tyler Adams,us USA,MF,26-088,19.8,973,931,37,33,2,0,3,4,0,0,0,0,817,5,13,Matches
Marcus Tavernier,eng ENG,"FW,MF",26-052,19.6,819,698,117,28,4,7,99,28,49,36,4,1,594,4,23,Matches
Adam Smith,eng ENG,DF,34-014,16.4,604,489,114,8,1,2,30,106,0,0,0,0,455,1,13,Matches
Marcos Senesi,ar ARG,DF,28-003,11.4,654,621,28,21,0,2,11,6,0,0,0,0,500,5,1,Matches
David Brooks,wls WAL,"FW,MF",27-309,9.5,354,322,32,9,3,0,45,9,13,6,3,0,268,0,13,Matches
Alex Scott,eng ENG,MF,21-265,8.4,342,317,23,10,2,4,7,1,5,3,0,0,286,2,6,Matches
James Hill,eng ENG,DF,23-123,5.0,245,212,33,3,0,0,10,30,0,0,0,0,159,0,5,Matches
Julian Araujo,mx MEX,DF,23-273,4.8,204,178,26,1,0,0,7,25,0,0,0,0,160,0,2,Matches
Mark Travers,ie IRL,GK,25-360,5.0,142,95,47,8,0,0,0,0,0,0,0,0,100,0,0,Matches
Enes Ünal,tr TUR,"FW,MF",28-003,3.8,99,96,2,1,1,1,4,0,0,0,0,0,63,1,6,Matches
Neto,br BRA,GK,35-298,2.0,62,42,19,4,0,0,0,0,0,0,0,0,40,1,0,Matches
Luis Sinisterra,co COL,"FW,MF",25-330,2.6,93,92,0,0,0,1,7,0,0,0,0,0,73,1,4,Matches
Philip Billing,dk DEN,MF,28-336,2.0,102,91,10,1,1,1,10,1,6,2,2,1,70,1,2,Matches
Max Aarons,eng ENG,DF,25-129,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
Daniel Jebbison,eng ENG,FW,21-273,0.9,34,34,0,0,0,0,1,0,0,0,0,0,28,0,1,Matches
Ben Winterburn,eng ENG,"FW,MF",20-251,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Julio Soler,ar ARG,FW,20-086,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Remy Rees-Dottin,eng ENG,FW,19-068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Zain Silcott-Duberry,ms MSR,FW,19-308,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
Squad Total,,,25.9,36.0,15871,14194,1612,404,56,71,792,649,221,163,17,4,12136,65,296,
Opponent Total,,,27.2,36.0,17075,15131,1906,533,65,56,586,776,180,103,41,4,13267,38,357,
