Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Collins,IRL,DF,24-014,36.0,1886,1803,78,64,3,5,8,11,0,0,0,0,1619,5,8
Mbeumo,CMR,FW,25-280,35.9,1247,1098,142,37,12,8,192,15,85,68,2,0,831,7,46
Flekken,NED,GK,31-335,34.4,1641,1307,327,127,0,5,0,0,0,0,0,0,1199,7,0
Lewis-Potter,ENG,"DF,FW",24-081,32.5,1196,1046,142,8,5,7,74,128,5,2,0,0,923,8,27
Damsgaard,DEN,"MF,FW",24-315,30.5,1428,1280,140,31,22,5,135,9,55,48,0,0,1038,8,32
Wissa,COD,FW,28-253,30.4,548,513,32,3,4,1,20,2,1,0,0,0,418,3,22
Nørgaard,DEN,MF,31-065,29.3,1341,1306,29,18,4,4,16,10,0,0,0,0,1087,6,24
Sepp van den Berg,NED,DF,23-145,26.7,1183,1084,98,17,0,2,7,61,0,0,0,0,1007,1,7
Janelt,GER,MF,27-004,25.0,1057,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
Schade,GER,FW,23-168,23.8,506,448,57,0,1,4,36,54,0,0,0,0,298,1,19
Pinnock,JAM,DF,31-350,21.3,1080,954,126,15,0,0,9,39,0,0,0,0,924,0,8
Ajer,NOR,DF,27-027,15.6,626,554,71,2,0,3,14,69,0,0,0,0,489,1,16
Yarmoliuk,UKR,MF,21-074,14.3,674,666,7,3,3,8,16,4,0,0,0,0,582,1,11
Roerslev,DEN,DF,25-324,12.2,536,471,63,2,0,1,31,61,0,0,0,0,422,2,11
Jensen,DEN,MF,29-133,9.3,456,382,70,15,2,4,31,37,13,10,0,0,344,4,7
Kayode,ITA,DF,20-308,4.2,176,131,45,0,0,0,9,45,0,0,0,0,129,0,1
Carvalho,POR,"FW,MF",22-257,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7
Mee,ENG,DF,35-235,2.0,120,108,12,5,0,1,0,4,0,0,0,0,93,0,1
Thiago,BRA,FW,23-322,1.6,47,46,1,0,0,0,1,0,0,0,0,0,34,0,0
Hákon Rafn Valdimarsson,ISL,GK,23-213,1.6,70,50,20,4,0,0,0,0,0,0,0,0,46,0,0
Maghoma,ENG,"MF,FW",24-006,1.3,84,83,1,1,0,0,3,0,0,0,0,0,76,0,2
Henry,ENG,DF,27-310,0.9,32,24,8,0,0,0,0,8,0,0,0,0,21,0,2
Yunus Emre Konak,TUR,"FW,MF",19-124,0.5,36,35,1,0,0,0,0,1,0,0,0,0,26,0,1
Jisoo,KOR,DF,20-141,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0
Onyeka,NGA,MF,27-133,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Nunes,BRA,"FW,MF",19-175,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Meghoma,ENG,DF,18-320,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Trevitt,ENG,MF,22-063,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
