Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Pickford,ENG,GK,31-068,36.0,1505,1094,402,179,0,6,0,0,0,0,0,0,1001,9,0
Tarkowski,ENG,DF,32-176,32.5,1290,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
Mykolenko,UKR,DF,25-350,32.2,1243,991,249,13,2,3,93,236,0,0,0,0,925,3,22
Idrissa Gana Gueye,SEN,MF,35-230,32.0,1323,1290,26,7,2,7,7,6,0,0,0,0,1143,7,22
Doucouré,MLI,MF,32-133,27.6,870,851,14,5,0,2,23,0,0,0,0,0,694,5,27
Branthwaite,ENG,DF,22-321,27.1,1139,1083,50,37,1,17,5,3,0,0,0,0,936,6,6
Ndiaye,SEN,FW,25-069,25.4,676,649,25,5,2,2,38,5,10,4,0,2,547,2,21
Harrison,ENG,FW,28-175,21.8,629,561,61,22,4,2,126,8,30,26,0,1,395,7,33
Calvert-Lewin,ENG,FW,28-059,17.7,284,282,2,0,0,1,6,1,0,0,0,0,179,0,12
Young,ENG,"DF,FW",39-309,19.0,914,703,205,21,3,4,70,167,15,8,6,0,642,6,19
Garner,ENG,"MF,DF",24-062,15.7,702,595,102,16,2,2,53,39,21,14,4,2,525,5,22
O'Brien,IRL,DF,23-364,15.5,650,541,107,3,0,1,18,100,0,0,0,0,509,2,12
Lindstrøm,DEN,FW,25-074,13.8,428,383,42,11,1,0,71,6,25,12,8,2,297,3,18
McNeil,ENG,"MF,FW",25-173,14.4,584,487,93,29,7,5,98,5,42,29,5,4,431,4,16
Mangala,BEL,MF,27-057,14.0,490,485,4,3,0,1,6,0,0,0,0,0,437,1,10
Beto,GNB,FW,27-103,15.1,234,230,4,0,1,1,4,0,1,0,0,0,132,0,12
Keane,ENG,DF,32-123,10.5,346,335,7,3,0,12,1,0,0,0,0,0,285,4,6
Alcaraz,ARG,"FW,MF",22-165,7.4,251,239,11,2,1,2,10,5,3,2,1,0,200,1,10
Iroegbunam,ENG,MF,21-318,6.4,158,156,0,0,0,0,1,0,0,0,0,0,115,2,5
Broja,ALB,FW,23-246,3.7,73,72,0,0,0,0,1,0,0,0,0,0,53,1,1
Patterson,SCO,DF,23-210,3.9,176,134,42,0,1,0,14,42,0,0,0,0,130,0,0
Coleman,IRL,DF,36-215,2.2,82,63,18,0,0,0,3,18,0,0,0,0,60,1,1
Dixon,ENG,DF,20-139,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Armstrong,ENG,MF,18-115,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0
Chermiti,POR,"FW,MF",20-355,0.5,11,11,0,0,0,0,1,0,0,0,0,0,6,0,0
Holgate,ENG,"FW,DF",28-204,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
