Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
O'Shea,IRL,DF,26-071,32.7,1474,1375,94,25,0,13,7,62,0,0,0,0,1146,5,12,Matches
Delap,ENG,FW,22-095,28.4,353,346,5,0,8,1,5,2,0,0,0,0,216,2,16,Matches
Davis,ENG,DF,25-122,28.5,1194,905,284,54,3,4,148,153,77,53,13,0,854,5,19,Matches
Morsy,EGY,MF,33-246,28.6,1332,1279,47,46,2,5,12,0,0,0,0,0,1150,6,22,Matches
Hutchinson,ENG,"MF,FW",21-196,26.7,807,734,66,1,4,2,70,5,4,4,0,0,628,7,38,Matches
Greaves,ENG,DF,24-244,22.5,1004,927,75,28,0,0,1,23,0,0,0,0,861,2,4,Matches
Cajuste,SWE,MF,25-277,20.1,707,646,61,23,1,5,9,38,0,0,0,0,583,0,11,Matches
Muric,KVX,GK,26-188,18.0,633,485,143,49,0,3,0,0,0,0,0,0,454,5,0,Matches
Tuanzebe,COD,DF,27-181,17.0,697,558,139,24,0,1,7,115,0,0,0,0,581,0,13,Matches
Burgess,AUS,DF,29-205,17.1,774,710,60,28,1,1,0,0,0,0,0,0,626,4,7,Matches
Johnson,ENG,"DF,FW",25-110,15.0,416,333,82,11,2,4,37,58,13,11,1,0,298,1,23,Matches
Phillips,ENG,MF,29-163,13.7,551,510,40,27,1,6,20,2,11,8,2,1,436,1,9,Matches
Szmodics,IRL,"FW,MF",29-232,10.9,194,184,10,1,0,0,13,0,6,6,0,0,144,0,12,Matches
Woolfenden,ENG,DF,26-205,13.2,562,547,13,9,0,2,0,1,0,0,0,0,496,2,2,Matches
Palmer,ENG,GK,28-277,12.0,394,261,133,42,0,0,0,0,0,0,0,0,271,0,1,Matches
Burns,WAL,"FW,DF",30-172,10.3,253,244,9,1,0,1,46,8,0,0,0,0,153,0,24,Matches
Clarke,ENG,"FW,MF",24-172,12.1,360,342,17,2,1,3,13,7,6,5,0,0,276,1,18,Matches
Enciso,PAR,"FW,MF",21-111,8.9,232,197,34,8,4,0,19,2,12,10,1,0,161,1,10,Matches
Chaplin,ENG,"MF,FW",28-087,8.5,274,244,30,3,10,0,9,1,0,0,0,0,200,0,5,Matches
Broadhead,WAL,"MF,FW",27-039,6.7,196,186,10,0,3,1,9,2,3,3,0,0,149,0,11,Matches
Walton,ENG,GK,29-186,6.0,226,159,67,17,0,0,0,0,0,0,0,0,152,0,0,Matches
Jaden Philogene Bidace,ENG,"FW,DF",23-095,5.3,131,129,1,0,0,1,13,1,0,0,0,0,95,1,5,Matches
Taylor,IRL,MF,26-325,9.2,394,384,10,2,2,3,6,0,3,3,0,0,328,0,5,Matches
Clarke,ENG,DF,24-073,4.2,236,211,25,2,1,0,5,23,0,0,0,0,190,0,4,Matches
Hirst,SCO,FW,26-088,5.8,107,106,0,0,0,0,3,0,0,0,0,0,60,1,5,Matches
Townsend,ENG,DF,32-071,3.7,127,98,28,4,1,0,12,20,4,3,1,0,80,1,3,Matches
Ogbene,IRL,FW,28-013,2.6,43,43,0,0,0,0,4,0,0,0,0,0,32,0,5,Matches
Luongo,AUS,MF,32-231,2.2,57,55,1,1,0,0,1,0,0,0,0,0,43,1,1,Matches
Godfrey,ENG,DF,27-119,1.8,57,49,8,1,0,0,0,7,0,0,0,0,47,0,3,Matches
Ali Al Hamadi,IRQ,FW,23-074,1.5,30,30,0,0,0,0,0,0,0,0,0,0,25,0,1,Matches
Harness,ENG,MF,29-079,0.5,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
Edmundson,ENG,DF,27-256,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
Total,,,26.6,36.0,13833,12295,1492,409,44,56,469,530,139,106,18,1,10746,46,291,
Total,,,27.0,36.0,20800,19176,1583,432,82,95,761,646,247,135,31,6,17413,41,279,
