Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Unnamed: 5_level_0 Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Unnamed: 20_level_0 Matches
Virgil van Dijk,nl NED,DF,33-309,36.0,2825,2603,220,82,1,22,1,8,0,0,0,0,2587,2,9,Matches
Mohamed Salah,eg EGY,FW,32-332,35.5,1196,1165,25,7,17,3,74,18,0,0,0,0,848,6,56,Matches
Ryan Gravenberch,nl NED,MF,22-362,33.4,1823,1787,30,14,8,7,6,10,0,0,0,0,1619,6,14,Matches
Alexis Mac Allister,ar ARG,MF,26-140,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31,Matches
Ibrahima Konaté,fr FRA,DF,25-353,26.8,1784,1737,44,40,1,5,0,4,0,0,0,0,1611,3,9,Matches
Andrew Robertson,sct SCO,DF,31-063,26.6,1807,1512,289,48,4,5,139,184,57,39,11,0,1495,6,34,Matches
Trent Alexander-Arnold,eng ENG,DF,26-218,25.8,1915,1610,295,60,11,31,145,186,49,32,10,1,1411,10,36,Matches
Dominik Szoboszlai,hu HUN,MF,24-200,26.3,1250,1139,110,18,5,12,36,36,14,9,4,0,1056,1,25,Matches
Luis Díaz,co COL,FW,28-120,25.6,842,824,16,2,2,8,31,13,1,0,0,0,711,2,23,Matches
Alisson,br BRA,GK,32-223,25.9,857,746,109,38,1,1,0,0,0,0,0,0,712,2,1,Matches
Cody Gakpo,nl NED,FW,26-006,19.8,592,574,16,4,3,4,69,11,1,0,0,0,449,2,10,Matches
Curtis Jones,eng ENG,"MF,DF",24-103,17.7,1007,949,56,10,2,2,6,27,1,0,0,0,938,2,10,Matches
Diogo Jota,pt POR,FW,28-160,13.0,296,291,3,0,1,2,8,1,0,0,0,0,207,2,13,Matches
Caoimhín Kelleher,ie IRL,GK,26-171,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1,Matches
Darwin Núñez,uy URU,FW,25-323,11.9,221,216,4,0,1,6,2,2,0,0,0,0,155,1,13,Matches
Kostas Tsimikas,gr GRE,DF,29-001,8.3,605,495,108,10,1,1,61,59,39,31,5,0,507,2,9,Matches
Joe Gomez,eng ENG,DF,27-355,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2,Matches
Conor Bradley,nir NIR,DF,21-308,7.0,467,397,68,13,0,2,6,55,0,0,0,0,391,2,11,Matches
Jarell Quansah,eng ENG,DF,22-104,4.5,322,300,22,10,0,1,2,12,0,0,0,0,293,0,2,Matches
Harvey Elliott,eng ENG,"MF,FW",22-039,3.1,229,210,16,2,1,3,11,7,5,2,1,0,186,3,4,Matches
Wataru Endo,jp JPN,MF,32-093,2.6,159,156,3,1,0,0,0,2,0,0,0,0,148,0,2,Matches
Federico Chiesa,it ITA,FW,27-200,0.5,26,25,1,0,0,0,2,1,0,0,0,0,22,0,1,Matches
Vitezslav Jaros,cz CZE,GK,23-294,0.1,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Jayden Danns,eng ENG,MF,19-117,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,28.0,36.0,20563,18897,1608,426,66,123,687,651,238,139,67,1,17292,58,316,
Opponent Total,,,26.9,36.0,15149,13486,1571,449,58,71,471,542,136,79,21,4,11988,92,297,
