Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Unnamed: 5_level_0 Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Unnamed: 20_level_0 Matches
Joško Gvardiol,hr CRO,DF,23-110,34.4,2625,2429,189,36,6,9,22,146,0,0,0,0,2381,7,28,Matches
Erling Haaland,no NOR,FW,24-296,28.6,353,344,7,0,1,0,3,1,0,0,0,0,234,2,8,Matches
Bernardo Silva,pt POR,"MF,FW",30-276,27.7,1643,1521,121,52,3,5,56,43,13,3,0,0,1433,1,33,Matches
Ederson,br BRA,GK,31-269,23.8,839,745,94,26,1,2,0,0,0,0,0,0,741,0,1,Matches
Mateo Kovačić,hr CRO,MF,31-007,23.7,1797,1763,30,29,15,8,0,0,0,0,0,0,1660,4,14,Matches
Rúben Dias,pt POR,DF,27-364,23.2,2180,2102,75,40,0,8,3,2,0,0,0,0,2038,3,14,Matches
İlkay Gündoğan,de GER,MF,34-201,22.8,1576,1470,101,30,7,3,57,4,43,28,4,1,1408,5,19,Matches
Rico Lewis,eng ENG,"DF,MF",20-173,21.0,1312,1185,127,25,3,0,6,102,0,0,0,0,1201,0,22,Matches
Manuel Akanji,ch SUI,DF,29-298,20.4,1620,1584,35,18,4,9,11,10,0,0,0,0,1519,1,5,Matches
Sávio,br BRA,"FW,MF",21-033,19.4,851,819,32,4,5,6,84,9,18,10,2,0,688,0,33,Matches
Phil Foden,eng ENG,"MF,FW",24-350,19.6,934,847,83,21,7,2,80,5,46,30,8,1,786,4,25,Matches
Kevin De Bruyne,be BEL,"MF,FW",33-319,18.1,1141,982,154,31,14,10,140,17,91,33,18,2,865,5,27,Matches
Matheus Nunes,pt POR,"DF,MF",26-259,16.6,1109,994,114,10,2,8,39,96,7,5,0,0,957,1,22,Matches
Jeremy Doku,be BEL,"FW,MF",22-351,16.0,734,729,3,0,8,0,56,1,2,0,0,0,582,2,29,Matches
Stefan Ortega,de GER,GK,32-188,12.2,459,388,70,21,0,2,0,0,0,0,0,0,373,1,1,Matches
Omar Marmoush,eg EGY,"FW,MF",26-095,11.2,260,234,24,4,2,0,25,1,14,8,3,0,203,2,3,Matches
Kyle Walker,eng ENG,DF,34-350,10.8,826,727,99,18,2,7,14,81,0,0,0,0,724,0,8,Matches
Nathan Aké,nl NED,DF,30-084,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,Matches
Nicolás González,es ESP,MF,23-130,7.2,560,540,19,17,1,0,0,2,0,0,0,0,520,1,3,Matches
Jack Grealish,eng ENG,"FW,MF",29-245,8.0,435,417,18,5,0,0,20,4,9,4,0,0,381,0,11,Matches
John Stones,eng ENG,"DF,MF",30-350,6.1,403,389,13,7,0,3,0,0,0,0,0,0,367,1,2,Matches
Nico O’Reilly,eng ENG,DF,20-053,5.9,353,311,41,5,1,0,8,36,0,0,0,0,305,1,3,Matches
Abdukodir Khusanov,uz UZB,DF,21-073,5.6,395,385,10,6,0,1,1,3,0,0,0,0,360,0,3,Matches
James Mcatee,eng ENG,"MF,FW",22-207,3.9,125,122,3,1,1,0,8,0,1,1,0,0,100,0,4,Matches
Jahmai Simpson-Pusey,eng ENG,DF,19-190,1.1,115,110,5,3,0,0,0,1,0,0,0,0,107,0,0,Matches
Rodri,es ESP,MF,28-325,0.7,61,60,1,1,0,0,0,0,0,0,0,0,57,0,0,Matches
Divin Mubama,eng ENG,FW,20-200,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Oscar Bobb,no NOR,FW,21-305,0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Vitor Reis,br BRA,DF,19-121,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,27.6,36.0,23264,21727,1494,423,83,83,634,571,244,122,35,4,20512,43,322,
Opponent Total,,,27.0,36.0,14500,13110,1310,309,63,83,425,491,121,80,18,8,11868,80,263,
