Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Kilman,ENG,DF,27,35.2,1835,1795,36,24,0,12,3,1,0,0,0,0,1588,4,9
Wan-Bissaka,ENG,DF,27,33.0,1680,1448,228,11,5,1,70,217,0,0,0,0,1355,4,58
Bowen,ENG,"FW,MF",28,31.0,738,649,83,5,7,4,104,2,44,28,15,0,524,6,40
Kudus,GHA,"FW,MF",24,27.7,818,803,13,4,2,13,76,3,1,0,0,0,682,2,29
Souček,CZE,MF,30,26.9,924,903,18,15,0,10,13,3,0,0,0,0,679,3,25
Paquetá,BRA,"MF,FW",27,26.0,1407,1319,80,35,18,12,28,12,4,1,3,0,1088,8,24
Palmieri,ITA,DF,30,23.5,1077,887,185,20,1,2,64,140,25,7,15,0,861,5,23
Areola,FRA,GK,32,24.1,953,686,262,70,0,3,0,0,0,0,0,0,661,5,3
Mavropanos,GRE,DF,27,21.7,1190,1128,58,39,1,23,2,15,0,0,0,0,1022,4,10
Álvarez,MEX,MF,27,18.4,912,890,15,11,3,11,6,3,0,0,0,0,784,7,10
Todibo,FRA,DF,25,18.3,949,913,33,28,0,3,3,5,0,0,0,0,832,3,7
Rodríguez,ARG,MF,31,12.0,534,520,14,13,1,5,4,1,0,0,0,0,449,0,13
Soler,ESP,"MF,FW",28,15.3,645,585,58,28,4,5,31,4,17,10,4,0,549,2,9
Fabiański,POL,GK,40,11.9,454,321,132,38,0,0,0,0,0,0,0,0,304,1,0
Antonio,JAM,FW,35,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14
Coufal,CZE,DF,32,10.6,513,421,90,9,0,0,23,81,0,0,0,0,399,2,11
Ward-Prowse,ENG,MF,30,10.0,677,614,58,26,0,8,42,1,30,17,11,1,595,5,4
Cresswell,ENG,DF,35,8.5,563,465,97,32,1,5,33,52,13,11,2,0,463,1,9
Summerville,NED,"FW,MF",23,8.7,254,241,13,2,3,0,21,2,8,6,0,0,194,0,13
Scarles,ENG,DF,19,6.6,333,302,28,3,1,1,13,25,0,0,0,0,260,3,5
Füllkrug,GER,FW,32,7.6,164,156,7,0,0,1,1,0,0,0,0,0,108,1,6
Ings,ENG,"FW,MF",32,3.2,92,86,5,0,1,0,3,0,0,0,0,0,63,1,4
Irving,SCO,MF,25,1.8,124,120,2,2,1,0,2,0,0,0,0,0,109,2,1
Ferguson,IRL,FW,20,1.7,37,35,1,0,1,1,0,0,0,0,0,0,28,1,0
Guilherme,BRA,"MF,FW",19,1.5,56,53,3,0,0,0,8,1,2,0,2,0,47,0,2
Orford,ENG,MF,19,0.5,38,36,2,2,0,0,1,0,0,0,0,0,33,0,0
Casey,ENG,DF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
