Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 19_level_0 Ast,Unnamed: 20_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 23_level_0 KP,Unnamed: 24_level_0 1/3,Unnamed: 25_level_0 PPA,Unnamed: 26_level_0 CrsPA,Unnamed: 27_level_0 PrgP,Unnamed: 28_level_0 Matches
Virgil van Dijk,nl NED,DF,33-309,36.0,2587,2825,91.6,47121,18459,1065,1108,96.1,1280,1340,95.5,217,325,66.8,1,0.7,0.9,0.3,12,271,7,0,182,Matches
Mohamed Salah,eg EGY,FW,32-332,35.5,848,1196,70.9,12637,3672,479,574,83.4,282,405,69.6,57,96,59.4,18,13.5,8.6,4.5,84,50,89,14,137,Matches
Ryan Gravenberch,nl NED,MF,22-362,33.4,1619,1823,88.8,24197,6074,882,955,92.4,623,679,91.8,60,98,61.2,4,2.9,3.3,1.1,25,141,33,1,171,Matches
Alexis Mac Allister,ar ARG,MF,26-140,28.9,1273,1524,83.5,20344,5748,658,729,90.3,493,558,88.4,89,160,55.6,5,4.7,5.6,0.3,45,122,35,2,177,Matches
Ibrahima Konaté,fr FRA,DF,25-353,26.8,1611,1784,90.3,29812,10243,558,595,93.8,955,1004,95.1,89,160,55.6,2,1.0,0.9,1.0,10,126,8,0,105,Matches
Andrew Robertson,sct SCO,DF,31-063,26.6,1495,1807,82.7,25170,8134,736,782,94.1,636,736,86.4,106,227,46.7,1,4.6,4.2,-3.6,40,146,29,17,167,Matches
Trent Alexander-Arnold,eng ENG,DF,26-218,25.8,1411,1915,73.7,26967,11045,618,687,90.0,578,758,76.3,191,393,48.6,6,6.7,7.1,-0.7,50,201,64,20,228,Matches
Dominik Szoboszlai,hu HUN,MF,24-200,26.3,1056,1250,84.5,16428,3385,576,645,89.3,343,389,88.2,86,120,71.7,6,7.2,5.8,-1.2,53,83,31,5,121,Matches
Luis Díaz,co COL,FW,28-120,25.6,711,842,84.4,11381,2479,380,428,88.8,245,285,86.0,58,70,82.9,5,5.0,4.4,0.0,55,48,44,6,106,Matches
Alisson,br BRA,GK,32-223,25.9,712,857,83.1,15729,10194,210,213,98.6,379,384,98.7,122,256,47.7,0,0.6,0.2,-0.6,1,12,0,0,1,Matches
Cody Gakpo,nl NED,FW,26-006,19.8,449,592,75.8,6446,1596,276,319,86.5,141,210,67.1,18,33,54.5,3,3.5,3.2,-0.5,34,22,27,8,52,Matches
Curtis Jones,eng ENG,"MF,DF",24-103,17.7,938,1007,93.1,13684,2819,541,560,96.6,340,367,92.6,34,46,73.9,3,1.0,1.5,2.0,20,73,18,0,99,Matches
Diogo Jota,pt POR,FW,28-160,13.0,207,296,69.9,3149,750,110,144,76.4,73,97,75.3,13,21,61.9,3,1.8,1.1,1.2,11,29,3,1,33,Matches
Caoimhín Kelleher,ie IRL,GK,26-171,10.0,289,382,75.7,6252,3968,99,99,100.0,147,147,100.0,43,135,31.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Darwin Núñez,uy URU,FW,25-323,11.9,155,221,70.1,2298,561,84,105,80.0,47,64,73.4,12,19,63.2,2,1.3,0.4,0.7,10,9,2,0,27,Matches
Kostas Tsimikas,gr GRE,DF,29-001,8.3,507,605,83.8,8637,2827,243,257,94.6,207,235,88.1,45,90,50.0,1,2.1,2.3,-1.1,16,41,11,4,71,Matches
Joe Gomez,eng ENG,DF,27-355,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
Conor Bradley,nir NIR,DF,21-308,7.0,391,467,83.7,5833,1521,227,248,91.5,146,166,88.0,11,32,34.4,1,0.5,0.6,0.5,5,20,3,1,27,Matches
Jarell Quansah,eng ENG,DF,22-104,4.5,293,322,91.0,5236,1760,110,113,97.3,163,176,92.6,17,27,63.0,0,0.1,0.2,-0.1,1,21,1,0,16,Matches
Harvey Elliott,eng ENG,"MF,FW",22-039,3.1,186,229,81.2,3185,753,100,109,91.7,62,78,79.5,18,26,69.2,1,0.9,0.6,0.1,6,20,5,0,32,Matches
Wataru Endo,jp JPN,MF,32-093,2.6,148,159,93.1,2295,527,76,81,93.8,58,61,95.1,8,8,100.0,0,0.1,0.1,-0.1,2,14,1,0,14,Matches
Federico Chiesa,it ITA,FW,27-200,0.5,22,26,84.6,257,63,16,17,94.1,4,6,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,0,0,2,Matches
Vitezslav Jaros,cz CZE,GK,23-294,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Jayden Danns,eng ENG,MF,19-117,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.0,36.0,17292,20563,84.1,294055,99150,8200,8939,91.7,7394,8350,88.6,1326,2392,55.4,62,57.6,51.2,4.4,482,1489,411,79,1803,
Opponent Total,,,26.9,36.0,11988,15149,79.1,205823,75091,5676,6369,89.1,4980,5772,86.3,1024,2136,47.9,25,25.8,22.2,-0.8,258,796,196,48,1026,
