Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Onana,CMR,GK,29,33.0,920,1259,73.1,21868,13211,218,220,99.1,511,516,99.0,186,513,36.3,0,0.2,0.2,-0.2,1,24,0,0,1
Fernandes,POR,MF,30,31.6,1598,2111,75.7,28431,10037,757,871,86.9,580,716,81.0,208,384,54.2,9,8.1,7.4,0.9,88,189,77,11,295
Mazraoui,MAR,DF,27,30.3,1475,1719,85.8,22224,7868,806,881,91.5,557,623,89.4,68,123,55.3,1,1.3,1.7,-0.3,18,123,19,5,110
Dalot,POR,DF,26,31.0,1336,1659,80.5,21497,6609,691,769,89.9,519,634,81.9,93,168,55.4,3,2.0,2.5,1.0,26,61,25,8,102
Matthijs de Ligt,NED,DF,25,23.6,1241,1380,89.9,21810,5955,454,482,94.2,728,771,94.4,53,108,49.1,0,0.3,0.3,-0.3,6,63,2,1,55
Garnacho,ARG,"MF,FW",20,24.2,646,820,78.8,9102,1176,403,456,88.4,182,222,82.0,31,52,59.6,2,4.5,2.8,-2.5,37,22,25,5,56
Manuel Ugarte Ribeiro,URU,MF,24,19.6,789,898,87.9,12860,2779,404,451,89.6,305,328,93.0,62,83,74.7,2,1.1,0.7,0.9,10,58,9,3,60
Højlund,DEN,FW,22,20.4,233,308,75.6,2529,456,167,205,81.5,40,57,70.2,4,5,80.0,0,1.3,0.8,-1.3,14,13,5,1,17
Martínez,ARG,DF,27,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1,1.1,1.3,-0.1,9,91,18,2,117
Mainoo,ENG,MF,20,17.7,701,812,86.3,9351,2279,440,477,92.2,184,211,87.2,31,44,70.5,0,1.6,1.4,-1.6,14,49,11,0,64
Diallo,CIV,"FW,MF",22,19.1,720,864,83.3,9979,2019,445,491,90.6,206,240,85.8,36,67,53.7,6,4.6,3.8,1.4,45,25,32,6,57
Maguire,ENG,DF,32,17.5,856,996,85.9,15850,5329,320,350,91.4,456,502,90.8,68,120,56.7,0,0.6,0.2,-0.6,7,44,3,0,46
Casemiro,BRA,MF,33,14.8,670,854,78.5,11089,3522,318,368,86.4,267,319,83.7,58,97,59.8,0,2.3,1.9,-2.3,20,68,20,6,70
Zirkzee,NED,"FW,MF",23,15.6,292,410,71.2,3600,901,196,251,78.1,61,82,74.4,9,18,50.0,1,1.5,1.1,-0.5,12,26,6,0,44
Yoro,FRA,DF,19,12.9,708,766,92.4,11513,3678,313,328,95.4,351,373,94.1,27,41,65.9,0,0.1,0.2,-0.1,2,44,5,1,52
Rashford,ENG,"FW,MF",27,10.9,253,343,73.8,3508,868,168,201,83.6,56,85,65.9,14,28,50.0,1,2.1,1.4,-1.1,15,13,16,8,21
Eriksen,DEN,MF,33,11.5,579,733,79.0,9765,3081,306,333,91.9,192,238,80.7,60,126,47.6,2,3.1,2.6,-1.1,28,54,13,6,55
Dorgu,DEN,DF,20,7.4,304,378,80.4,4091,981,202,226,89.4,86,116,74.1,6,17,35.3,0,0.4,1.1,-0.4,8,16,7,2,25
Mount,ENG,MF,26,5.4,162,199,81.4,2355,518,96,111,86.5,46,56,82.1,9,14,64.3,0,0.5,0.5,-0.5,7,15,5,1,25
Lindelöf,SWE,DF,30,5.8,224,242,92.6,3648,1014,94,103,91.3,118,123,95.9,8,11,72.7,0,0.1,0.1,-0.1,3,10,2,1,15
Amass,ENG,DF,18,3.8,149,181,82.3,1920,387,97,105,92.4,44,56,78.6,3,11,27.3,0,0.0,0.1,0.0,1,5,0,0,7
Evans,NIR,DF,37,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8
Bayındır,TUR,GK,27,3.0,77,129,59.7,2049,1097,10,10,100.0,45,48,93.8,22,69,31.9,0,0.0,0.0,0.0,0,1,0,0,0
Shaw,ENG,DF,29,3.0,210,247,85.0,3493,1268,107,114,93.9,84,95,88.4,16,27,59.3,0,0.7,0.8,-0.7,5,18,3,1,23
Fredricson,ENG,DF,20,1.8,110,122,90.2,1932,434,47,50,94.0,54,59,91.5,8,9,88.9,0,0.0,0.0,0.0,0,8,0,0,8
Malacia,NED,DF,25,1.1,49,55,89.1,642,260,31,33,93.9,13,14,92.9,2,2,100.0,0,0.0,0.0,0.0,1,7,1,0,3
Obi-Martin,DEN,FW,17,1.7,19,23,82.6,247,46,9,10,90.0,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Heaven,ENG,DF,18,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2
Collyer,ENG,MF,21,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5
Antony,BRA,"DF,MF",25,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6
McTominay,SCO,MF,28,0.2,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
