player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Martínez,ARG,GK,32,35,35,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Tielemans,BEL,MF,28,35,35,2997.0,33.3,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,3.1,2.3,6.9,9.2,39.0,234.0,48.0,0.09,0.21,0.3,0.09,0.3,0.09,0.21,0.3,0.07,0.28
Rogers,ENG,"FW,MF",22,35,35,2941.0,32.7,8.0,9.0,17.0,8.0,0.0,0.0,9.0,0.0,6.2,6.2,7.7,13.9,108.0,117.0,178.0,0.24,0.28,0.52,0.24,0.52,0.19,0.24,0.43,0.19,0.43
Konsa,ENG,DF,27,32,31,2756.0,30.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.3,17.0,77.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04
Watkins,ENG,FW,29,36,29,2423.0,26.9,16.0,7.0,23.0,14.0,2.0,2.0,2.0,0.0,15.1,13.5,3.0,16.6,54.0,29.0,152.0,0.59,0.26,0.85,0.52,0.78,0.56,0.11,0.67,0.5,0.62
Digne,FRA,DF,31,32,28,2351.0,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,4.7,5.5,23.0,57.0,142.0,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21
McGinn,SCO,"MF,FW",30,32,25,2073.0,23.0,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,2.9,2.6,3.4,6.0,31.0,99.0,73.0,0.04,0.17,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.26
Cash,POL,DF,27,25,22,1890.0,21.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,1.1,1.4,46.0,39.0,76.0,0.05,0.05,0.1,0.05,0.1,0.02,0.05,0.07,0.02,0.07
Torres,ESP,DF,28,22,21,1840.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,33.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Ramsey,ENG,"FW,MF",23,28,19,1595.0,17.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.6,1.6,2.3,3.9,60.0,68.0,110.0,0.06,0.17,0.23,0.06,0.23,0.09,0.13,0.22,0.09,0.22
Kamara,FRA,MF,25,24,18,1553.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.9,1.7,17.0,78.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1
Onana,BEL,MF,23,24,18,1468.0,16.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,2.1,0.3,2.4,24.0,63.0,15.0,0.18,0.0,0.18,0.18,0.18,0.13,0.02,0.15,0.13,0.15
Bailey,JAM,"FW,MF",27,23,14,1138.0,12.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,57.0,35.0,121.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26
Mings,ENG,DF,32,14,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,7.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08
Maatsen,NED,DF,23,27,8,959.0,10.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,2.7,3.5,27.0,40.0,91.0,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33
Carlos,BRA,DF,32,10,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Asensio,ESP,MF,29,11,7,609.0,6.8,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,4.3,2.7,0.8,3.5,18.0,37.0,26.0,0.44,0.15,0.59,0.44,0.59,0.63,0.12,0.75,0.4,0.52
Disasi,FRA,DF,27,7,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
