Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Kerkez,HUN,DF,21,36,36,3164,35.2,2,5,7,2,0,0,4,0,0.5,0.5,3.8,4.3,98,150,181,0.06,0.14,0.20,0.06,0.20,0.02,0.11,0.12,0.01,0.12
Semenyo,GHA,FW,25,35,34,3023,33.6,9,5,14,9,0,0,9,0,9.5,9.5,5.8,15.3,137,107,270,0.27,0.15,0.42,0.27,0.42,0.28,0.17,0.46,0.28,0.46
Zabarnyi,UKR,DF,22,34,33,2929,32.5,0,0,0,0,0,0,4,1,1.1,1.1,0.6,1.6,26,129,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Cook,ENG,"MF,DF",28,35,31,2906,32.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,155,51,0.03,0.09,0.12,0.03,0.12,0.03,0.13,0.16,0.03,0.16
Arrizabalaga,ESP,GK,30,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kluivert,NED,"MF,FW",26,32,27,2206,24.5,12,6,18,6,6,6,8,0,10.0,5.3,4.8,10.1,77,100,162,0.49,0.24,0.73,0.24,0.49,0.41,0.20,0.61,0.22,0.41
Christie,SCO,MF,30,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23
Evanilson,BRA,FW,25,29,26,2148,23.9,10,1,11,10,0,1,1,1,11.7,11.0,1.6,12.6,28,25,94,0.42,0.04,0.46,0.42,0.46,0.49,0.07,0.56,0.46,0.53
Huijsen,ESP,DF,20,30,25,2324,25.8,3,1,4,3,0,0,9,0,1.9,1.9,2.0,3.8,40,128,10,0.12,0.04,0.15,0.12,0.15,0.07,0.08,0.15,0.07,0.15
Ouattara,BFA,FW,23,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62
Adams,USA,MF,26,26,19,1785,19.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.5,13,69,9,0.00,0.15,0.15,0.00,0.15,0.08,0.05,0.13,0.08,0.13
Tavernier,ENG,"FW,MF",26,27,18,1760,19.6,3,5,8,3,0,0,5,0,5.3,5.3,2.9,8.2,49,109,118,0.15,0.26,0.41,0.15,0.41,0.27,0.15,0.42,0.27,0.42
Smith,ENG,DF,34,23,18,1478,16.4,0,0,0,0,0,0,7,0,0.7,0.7,0.3,1.0,12,43,32,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Senesi,ARG,DF,28,16,12,1029,11.4,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,54,6,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
Brooks,WAL,"FW,MF",27,27,8,853,9.5,2,0,2,2,0,0,3,0,2.2,2.2,1.8,4.0,29,34,75,0.21,0.00,0.21,0.21,0.21,0.23,0.19,0.42,0.23,0.42
Scott,ENG,MF,21,19,8,754,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19
Hill,ENG,DF,23,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11
Araujo,MEX,DF,23,11,6,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,14,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Travers,IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ünal,TUR,"FW,MF",28,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82
Neto,BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sinisterra,COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00
Billing,DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82
Aarons,ENG,DF,25,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jebbison,ENG,FW,21,14,0,83,0.9,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,2,3,11,0.00,0.00,0.00,0.00,0.00,0.73,0.21,0.94,0.73,0.94
Winterburn,ENG,"FW,MF",20,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Soler,ARG,FW,20,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rees-Dottin,ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Silcott-Duberry,MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adu-Adjei,ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
