Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
Moisés Caicedo,ec ECU,"MF,DF",23-192,36,36,3171.0,35.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.8,0.8,3.0,3.8,40.0,204.0,35.0,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
Cole Palmer,eng ENG,MF,23-007,35,34,3011.0,33.5,15.0,8.0,23.0,11.0,4.0,5.0,6.0,0.0,17.2,13.2,10.0,23.3,111.0,203.0,175.0,0.45,0.24,0.69,0.33,0.57,0.51,0.3,0.81,0.4,0.7,Matches
Levi Colwill,eng ENG,DF,22-076,33,33,2969.0,33.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.3,1.3,1.1,2.5,14.0,126.0,11.0,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Marc Cucurella,es ESP,DF,26-295,34,31,2808.0,31.2,4.0,1.0,5.0,4.0,0.0,0.0,10.0,1.0,2.6,2.6,2.1,4.7,35.0,113.0,113.0,0.13,0.03,0.16,0.13,0.16,0.08,0.07,0.15,0.08,0.15,Matches
Enzo Fernández,ar ARG,MF,24-116,34,30,2767.0,30.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,6.1,6.1,6.7,12.8,59.0,207.0,122.0,0.2,0.23,0.42,0.2,0.42,0.2,0.22,0.42,0.2,0.42,Matches
Robert Sánchez,es ESP,GK,27-176,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolas Jackson,sn SEN,FW,23-327,30,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,12.3,12.3,4.3,16.6,47.0,38.0,129.0,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Matches
Noni Madueke,eng ENG,FW,23-064,30,25,1858.0,20.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,4.2,13.3,144.0,66.0,214.0,0.34,0.15,0.48,0.34,0.48,0.44,0.2,0.64,0.44,0.64,Matches
Pedro Neto,pt POR,FW,25-065,33,22,2103.0,23.4,4.0,5.0,9.0,4.0,0.0,0.0,8.0,0.0,3.1,3.1,6.1,9.2,119.0,59.0,241.0,0.17,0.21,0.39,0.17,0.39,0.13,0.26,0.4,0.13,0.4,Matches
Malo Gusto,fr FRA,DF,21-359,30,19,1848.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.4,3.1,49.0,119.0,84.0,0.0,0.05,0.05,0.0,0.05,0.08,0.07,0.15,0.08,0.15,Matches
Jadon Sancho,eng ENG,FW,25-049,30,18,1703.0,18.9,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.7,5.8,100.0,88.0,221.0,0.16,0.21,0.37,0.16,0.37,0.11,0.19,0.31,0.11,0.31,Matches
Wesley Fofana,fr FRA,DF,24-147,14,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.06,Matches
Tosin Adarabioyo,eng ENG,DF,27-231,20,13,1229.0,13.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.2,1.1,5.0,37.0,1.0,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Trevoh Chalobah,eng ENG,DF,25-312,13,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,4.0,37.0,2.0,0.0,0.1,0.1,0.0,0.1,0.08,0.12,0.19,0.08,0.19,Matches
Roméo Lavia,be BEL,MF,21-127,14,11,758.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,3.0,31.0,7.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,Matches
Reece James,eng ENG,"DF,MF",25-156,17,10,883.0,9.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,6.0,55.0,12.0,0.1,0.0,0.1,0.1,0.1,0.04,0.06,0.09,0.04,0.09,Matches
Christopher Nkunku,fr FRA,FW,27-180,27,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,2.1,6.9,17.0,25.0,68.0,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
Filip Jørgensen,dk DEN,GK,23-027,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Axel Disasi,fr FRA,DF,27-063,6,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,16.0,2.0,0.25,0.0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
João Félix,pt POR,"FW,MF",25-184,12,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,21.0,26.0,30.0,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
Benoît Badiashile,fr FRA,DF,24-048,5,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-249,12,2,259.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,5.0,14.0,11.0,0.0,0.35,0.35,0.0,0.35,0.08,0.37,0.45,0.08,0.45,Matches
Joshua Acheampong,eng ENG,DF,19-008,4,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Renato Veiga,pt POR,"DF,MF",21-288,7,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Mykhailo Mudryk,ua UKR,FW,24-128,7,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,Matches
Tyrique George,eng ENG,FW,19-098,7,0,103.0,1.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,9.0,2.0,18.0,0.87,0.87,1.75,0.87,1.75,0.17,0.63,0.8,0.17,0.8,Matches
Marc Guiu,es ESP,FW,19-129,3,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Mathis Amougou,fr FRA,MF,19-115,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Shumaira Mheuka,eng ENG,MF,17-205,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,Matches
Aaron Anselmino,ar ARG,DF,20-014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Genesis Antwi,se SWE,MF,18-002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcus Bettinelli,eng ENG,GK,32-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cesare Casadei,it ITA,MF,22-123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuel Rak-Sakyi,eng ENG,MF,20-047,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ishé Samuels-Smith,eng ENG,DF,18-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.5,36,396,3240.0,36.0,59.0,45.0,104.0,55.0,4.0,5.0,98.0,2.0,65.9,62.0,51.0,112.9,827.0,1537.0,1520.0,1.64,1.25,2.89,1.53,2.78,1.83,1.42,3.25,1.72,3.14,
Opponent Total,,,27.3,36,396,3240.0,36.0,43.0,33.0,76.0,38.0,5.0,6.0,90.0,2.0,45.8,41.1,34.1,75.2,561.0,1132.0,1116.0,1.19,0.92,2.11,1.06,1.97,1.27,0.95,2.22,1.14,2.09,
