Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Henderson,ENG,GK,28,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell,ENG,DF,25,36,36,3002.0,33.4,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,5.8,7.2,56.0,66.0,169.0,0.0,0.12,0.12,0.0,0.12,0.04,0.18,0.21,0.04,0.21
Muñoz,COL,DF,28,35,35,3048.0,33.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,4.9,4.9,5.4,10.3,57.0,93.0,199.0,0.12,0.15,0.27,0.12,0.27,0.14,0.16,0.3,0.14,0.3
Guéhi,ENG,DF,24,34,34,3059.0,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,2.0,2.0,1.7,3.7,22.0,134.0,10.0,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11
Lacroix,FRA,DF,25,33,33,2936.0,32.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.4,3.4,0.8,4.2,8.0,63.0,7.0,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13
Mateta,FRA,FW,27,35,32,2577.0,28.6,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,12.7,11.1,3.2,14.3,41.0,51.0,120.0,0.49,0.07,0.56,0.42,0.49,0.44,0.11,0.55,0.39,0.5
Eze,ENG,"MF,FW",26,32,30,2517.0,28.0,7.0,8.0,15.0,6.0,1.0,2.0,1.0,0.0,10.2,8.7,5.3,13.9,67.0,94.0,150.0,0.25,0.29,0.54,0.21,0.5,0.37,0.19,0.55,0.31,0.5
Sarr,SEN,MF,27,36,28,2559.0,28.4,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,9.8,9.8,7.8,17.6,71.0,81.0,175.0,0.25,0.18,0.42,0.25,0.42,0.34,0.27,0.62,0.34,0.62
Lerma,COL,"MF,DF",30,31,24,2094.0,23.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.1,1.1,1.5,2.6,12.0,94.0,26.0,0.0,0.04,0.04,0.0,0.04,0.05,0.07,0.11,0.05,0.11
Hughes,ENG,MF,30,31,22,1985.0,22.1,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,1.1,1.1,3.1,4.1,19.0,85.0,26.0,0.0,0.14,0.14,0.0,0.14,0.05,0.14,0.19,0.05,0.19
Richards,USA,DF,25,22,20,1742.0,19.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,0.1,1.4,6.0,37.0,2.0,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.07,0.07,0.07
Wharton,ENG,MF,20,20,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23
Kamada,JPN,MF,28,32,14,1454.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,1.9,3.0,24.0,83.0,54.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19
Chalobah,ENG,DF,25,12,12,1060.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,11.0,34.0,6.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.14,0.1,0.14
Nketiah,ENG,"FW,MF",25,27,8,925.0,10.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,4.8,4.8,1.6,6.4,39.0,17.0,72.0,0.1,0.1,0.19,0.1,0.19,0.47,0.16,0.62,0.47,0.62
Clyne,ENG,"DF,MF",34,13,5,483.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Doucouré,MLI,MF,25,13,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Devenny,NIR,MF,21,21,4,433.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,4.0,17.0,13.0,0.21,0.0,0.21,0.21,0.21,0.14,0.08,0.22,0.14,0.22
Édouard,FRA,"MF,FW",27,2,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34
Andersen,DEN,DF,28,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Riad,MAR,DF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chilwell,ENG,DF,28,7,0,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,2.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.39,0.43,0.04,0.43
Schlupp,GHA,"MF,DF",32,12,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28
Esse,ENG,MF,20,5,0,47.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,0.0,3.0,8.0,1.91,0.0,1.91,1.91,1.91,0.6,0.25,0.86,0.6,0.86
França,BRA,"FW,MF",21,2,0,26.0,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,3.46,0.0,3.46,3.46,3.46,0.43,0.0,0.43,0.43,0.43
Ayew,GHA,"FW,MF",33,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17
Kporha,ENG,DF,18,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agbinone,ENG,MF,19,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79
Ward,ENG,DF,35,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahamada,FRA,MF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding,ENG,DF,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnstone,ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh,ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews,ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney,ENG,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turner,USA,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umeh-Chibueze,IRL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
