Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pickford,ENG,GK,31-068,36,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Tarkowski,ENG,DF,32-176,33,33,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.9,4.2,9.0,75.0,3.0,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches
Mykolenko,UKR,DF,25-350,33,33,2902.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.6,2.1,31.0,107.0,92.0,0.03,0.03,0.06,0.03,0.06,0.01,0.05,0.07,0.01,0.07,Matches
Idrissa Gana Gueye,SEN,MF,35-230,35,33,2883.0,32.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.7,2.8,26.0,136.0,24.0,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.09,0.03,0.09,Matches
Doucouré,MLI,MF,32-133,31,30,2485.0,27.6,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,3.9,3.9,2.3,6.2,42.0,80.0,92.0,0.11,0.07,0.18,0.11,0.18,0.14,0.08,0.22,0.14,0.22,Matches
Branthwaite,ENG,DF,22-321,29,27,2438.0,27.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.7,1.8,9.0,64.0,2.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.07,0.04,0.07,Matches
Ndiaye,SEN,FW,25-069,31,27,2282.0,25.4,7.0,0.0,7.0,5.0,2.0,2.0,3.0,0.0,5.2,3.6,1.6,5.2,81.0,52.0,115.0,0.28,0.0,0.28,0.2,0.2,0.21,0.06,0.27,0.14,0.21,Matches
Harrison,ENG,FW,28-175,32,23,1960.0,21.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.7,7.2,71.0,48.0,121.0,0.05,0.0,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches
Calvert-Lewin,ENG,FW,28-059,24,19,1589.0,17.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,6.3,6.3,0.6,6.9,22.0,19.0,108.0,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
Young,ENG,"DF,FW",39-309,30,18,1712.0,19.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.3,0.3,2.1,2.3,21.0,85.0,29.0,0.05,0.16,0.21,0.05,0.21,0.01,0.11,0.12,0.01,0.12,Matches
Garner,ENG,"MF,DF",24-062,19,15,1414.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,12.0,47.0,24.0,0.0,0.06,0.06,0.0,0.06,0.02,0.09,0.1,0.02,0.1,Matches
