player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Leno,GER,GK,33,36,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Iwobi,NGA,"FW,MF",29,36,34,2886.0,32.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,4.6,4.6,7.0,11.7,140.0,206.0,234.0,0.28,0.19,0.47,0.28,0.47,0.15,0.22,0.36,0.15,0.36
Robinson,USA,DF,27,34,33,2989.0,33.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.1,4.8,114.0,123.0,265.0,0.0,0.3,0.3,0.0,0.3,0.02,0.12,0.15,0.02,0.15
Bassey,NGA,DF,25,34,33,2984.0,33.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.1,1.2,39.0,114.0,15.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03
Jiménez,MEX,FW,34,36,28,2314.0,25.7,11.0,3.0,14.0,8.0,3.0,3.0,4.0,0.0,11.4,9.0,3.3,12.3,33.0,58.0,123.0,0.43,0.12,0.54,0.31,0.43,0.44,0.13,0.57,0.35,0.48
Andersen,DEN,DF,28,27,27,2403.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.3,1.3,16.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Lukić,SRB,MF,28,28,26,2169.0,24.1,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,1.2,1.2,2.6,3.8,37.0,92.0,29.0,0.0,0.08,0.08,0.0,0.08,0.05,0.11,0.16,0.05,0.16
Berge,NOR,MF,27,29,25,2174.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.6,0.8,28.0,119.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03
Pereira,BRA,MF,29,32,24,1953.0,21.7,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.5,2.7,4.5,7.2,29.0,103.0,80.0,0.09,0.18,0.28,0.09,0.28,0.16,0.21,0.37,0.13,0.33
Emile Smith Rowe,ENG,MF,24,32,24,1948.0,21.6,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,4.4,4.4,1.3,5.7,52.0,121.0,121.0,0.28,0.14,0.42,0.28,0.42,0.2,0.06,0.27,0.2,0.27
Tete,NED,DF,29,20,19,1594.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.2,33.0,55.0,49.0,0.0,0.11,0.11,0.0,0.11,0.07,0.05,0.12,0.07,0.12
Castagne,BEL,DF,29,24,17,1649.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,17.0,62.0,67.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09
Traoré,ESP,"FW,MF",29,34,16,1620.0,18.0,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,3.9,3.9,4.7,8.6,91.0,64.0,148.0,0.11,0.33,0.44,0.11,0.44,0.22,0.26,0.48,0.22,0.48
Diop,FRA,DF,28,21,15,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,6.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04
Wilson,WAL,"FW,MF",28,23,11,1077.0,12.0,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,4.0,4.0,1.1,5.1,18.0,49.0,89.0,0.42,0.08,0.5,0.42,0.5,0.34,0.09,0.43,0.34,0.43
Muniz,BRA,FW,24,31,8,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,5.8,5.8,0.7,6.5,6.0,27.0,31.0,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61
Sessegnon,ENG,"FW,DF",24,14,7,552.0,6.1,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,2.6,15.0,20.0,56.0,0.65,0.33,0.98,0.65,0.98,0.27,0.16,0.42,0.27,0.42
Nelson,ENG,FW,25,11,5,487.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,45.0,35.0,63.0,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39
Cuenca,ESP,DF,25,6,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Cairney,SCO,MF,34,23,2,510.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,1.0,1.2,15.0,48.0,32.0,0.18,0.0,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21
Willian,BRA,"FW,MF",36,10,2,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,11.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.28,0.1,0.28
King,ENG,MF,18,6,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.26,0.44,0.69,0.26,0.69
Reed,ENG,MF,30,12,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27
Godo,ENG,"FW,DF",22,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21
Vinícius,BRA,"MF,FW",30,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
Stansfield,ENG,MF,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amissah,ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benda,GER,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
