Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
Bruno Guimarães,br BRA,MF,27-178,36,36,3091.0,34.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,4.0,4.0,5.8,9.8,54.0,257.0,88.0,0.15,0.17,0.32,0.15,0.32,0.12,0.17,0.28,0.12,0.28,Matches
Dan Burn,eng ENG,DF,33-004,35,35,3150.0,35.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.8,1.8,0.9,2.7,9.0,63.0,12.0,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.08,0.05,0.08,Matches
Alexander Isak,se SWE,FW,25-234,33,33,2666.0,29.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0,20.2,17.1,4.3,21.4,82.0,84.0,206.0,0.78,0.2,0.98,0.64,0.84,0.68,0.15,0.83,0.58,0.72,Matches
Fabian Schär,ch SUI,DF,33-144,32,31,2754.0,30.6,4.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,2.4,2.4,0.4,2.8,14.0,108.0,19.0,0.13,0.0,0.13,0.13,0.13,0.08,0.01,0.09,0.08,0.09,Matches
Valentino Livramento,eng ENG,DF,22-182,35,30,2660.0,29.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2.5,2.8,74.0,150.0,102.0,0.0,0.03,0.03,0.0,0.03,0.01,0.09,0.09,0.01,0.09,Matches
Joelinton,br BRA,"MF,FW",28-272,29,29,2393.0,26.6,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,3.9,3.9,2.5,6.4,40.0,116.0,110.0,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
Jacob Murphy,eng ENG,FW,30-078,33,29,2229.0,24.8,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0,5.7,5.7,8.8,14.6,73.0,77.0,225.0,0.32,0.48,0.81,0.32,0.81,0.23,0.36,0.59,0.23,0.59,Matches
Sandro Tonali,it ITA,MF,25-005,34,26,2450.0,27.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,4.3,4.3,1.4,5.8,33.0,117.0,49.0,0.15,0.07,0.22,0.15,0.22,0.16,0.05,0.21,0.16,0.21,Matches
Nick Pope,eng ENG,GK,33-024,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Gordon,eng ENG,FW,24-078,32,26,2299.0,25.5,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,8.0,6.4,4.9,11.4,113.0,95.0,203.0,0.23,0.2,0.43,0.2,0.39,0.31,0.19,0.51,0.25,0.44,Matches
Lewis Hall,eng ENG,DF,20-247,27,24,2189.0,24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,4.3,4.7,41.0,123.0,80.0,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19,Matches
Harvey Barnes,eng ENG,FW,27-155,31,15,1593.0,17.7,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0,6.9,6.9,4.0,10.9,89.0,78.0,186.0,0.51,0.23,0.73,0.51,0.73,0.39,0.22,0.61,0.39,0.61,Matches
Kieran Trippier,eng ENG,DF,34-236,24,14,1281.0,14.2,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.3,1.3,25.0,111.0,53.0,0.0,0.21,0.21,0.0,0.21,0.01,0.09,0.09,0.01,0.09,Matches
Joe Willock,eng ENG,"MF,FW",25-266,30,11,1026.0,11.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,1.9,3.5,36.0,38.0,82.0,0.0,0.18,0.18,0.0,0.18,0.14,0.17,0.31,0.14,0.31,Matches
Martin Dúbravka,sk SVK,GK,36-118,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sean Longstaff,eng ENG,MF,27-195,25,8,798.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,4.0,40.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches
Lloyd Kelly,eng ENG,DF,26-219,10,4,303.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,0.0,9.0,5.0,0.0,0.3,0.3,0.0,0.3,0.12,0.14,0.26,0.12,0.26,Matches
Sven Botman,nl NED,DF,25-121,6,4,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Emil Krafth,se SWE,DF,30-284,11,2,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,Matches
Callum Wilson,eng ENG,FW,33-075,16,1,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
