Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Sels,BEL,GK,33,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milenković,SRB,DF,27,35,35,3150.0,35.0,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,1.0,4.6,3.0,49.0,6.0,0.11,0.06,0.17,0.11,0.17,0.1,0.03,0.13,0.1,0.13
Murillo,BRA,DF,22,34,34,3008.0,33.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.4,1.4,1.1,2.5,20.0,103.0,5.0,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07
Aina,NGA,DF,28,33,33,2823.0,31.4,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.6,0.6,1.1,1.8,63.0,103.0,59.0,0.06,0.03,0.1,0.06,0.1,0.02,0.04,0.06,0.02,0.06
Wood,NZL,FW,33,34,33,2779.0,30.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0,12.3,10.0,2.5,12.5,14.0,36.0,88.0,0.65,0.1,0.74,0.55,0.65,0.4,0.08,0.48,0.32,0.4
Gibbs-White,ENG,MF,25,32,32,2631.0,29.2,6.0,8.0,14.0,6.0,0.0,0.0,11.0,1.0,5.2,5.2,4.8,9.9,66.0,158.0,126.0,0.21,0.27,0.48,0.21,0.48,0.18,0.16,0.34,0.18,0.34
Anderson,ENG,MF,22,35,31,2556.0,28.4,2.0,6.0,8.0,2.0,0.0,0.0,8.0,0.0,1.9,1.9,3.1,5.0,47.0,133.0,87.0,0.07,0.21,0.28,0.07,0.28,0.07,0.11,0.18,0.07,0.18
Elanga,SWE,"FW,MF",23,36,29,2322.0,25.8,6.0,10.0,16.0,6.0,0.0,0.0,1.0,0.0,4.2,4.2,5.3,9.5,91.0,56.0,202.0,0.23,0.39,0.62,0.23,0.62,0.16,0.2,0.37,0.16,0.37
Williams,WAL,DF,24,33,26,2414.0,26.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,2.3,2.3,1.5,3.8,65.0,85.0,95.0,0.04,0.11,0.15,0.04,0.15,0.09,0.06,0.14,0.09,0.14
Hudson-Odoi,ENG,"FW,MF",24,29,25,2152.0,23.9,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.5,2.5,2.7,5.2,127.0,66.0,186.0,0.21,0.08,0.29,0.21,0.29,0.1,0.11,0.22,0.1,0.22
Domínguez,ARG,"MF,FW",26,32,21,1807.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.5,1.5,1.3,2.8,14.0,75.0,30.0,0.0,0.05,0.05,0.0,0.05,0.08,0.06,0.14,0.08,0.14
Yates,ENG,MF,27,33,18,1891.0,21.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,2.3,2.3,1.2,3.5,17.0,48.0,15.0,0.1,0.05,0.14,0.1,0.14,0.11,0.06,0.16,0.11,0.16
Moreno,ESP,"DF,MF",31,15,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.3,1.4,26.0,34.0,34.0,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13
Morato,BRA,DF,23,25,6,899.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Silva,POR,"FW,MF",25,29,5,845.0,9.4,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,2.9,4.9,20.0,18.0,58.0,0.32,0.11,0.43,0.32,0.43,0.22,0.31,0.52,0.22,0.52
Sangaré,CIV,MF,27,11,5,452.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,1.0,21.0,3.0,0.0,0.2,0.2,0.0,0.2,0.0,0.08,0.08,0.0,0.08
Ward-Prowse,ENG,MF,30,9,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.1,1.2,1.0,16.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26
Danilo,BRA,"MF,FW",24,7,5,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awoniyi,NGA,FW,27,26,3,416.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,0.1,2.2,6.0,7.0,20.0,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48
Sosa,PAR,"FW,MF",25,19,1,295.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,12.0,6.0,17.0,0.31,0.0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45
Boly,CIV,DF,34,6,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
