Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Nathan Collins,ie IRL,DF,24-013,36,3240.0,90.0,100.0,36.0,36,90.0,36,0,,0,1.53,63.0,53.0,10.0,0.28,,55.0,53.4,1.6,0.05,,Matches
Bryan Mbeumo,cm CMR,FW,25-279,36,3234.0,90.0,99.8,35.9,36,90.0,33,0,,0,1.53,63.0,51.0,12.0,0.33,30.33,54.5,52.6,1.9,0.05,4.35,Matches
Mark Flekken,nl NED,GK,31-334,35,3095.0,88.0,95.5,34.4,35,88.0,34,0,,0,1.57,63.0,51.0,12.0,0.35,1.59,51.9,52.0,0.0,0.0,-1.03,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-080,36,2929.0,81.0,90.4,32.5,34,85.0,25,2,17.0,0,1.53,55.0,45.0,10.0,0.31,0.31,49.4,48.0,1.4,0.04,-0.01,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",24-314,36,2742.0,76.0,84.6,30.5,32,83.0,10,4,23.0,0,1.53,55.0,37.0,18.0,0.59,2.04,49.0,43.2,5.9,0.19,0.96,Matches
Yoane Wissa,cd COD,FW,28-252,33,2739.0,83.0,84.5,30.4,32,85.0,21,1,25.0,0,1.55,53.0,41.0,12.0,0.39,0.75,46.5,42.4,4.0,0.13,0.57,Matches
Christian Nørgaard,dk DEN,MF,31-064,32,2639.0,82.0,81.5,29.3,32,82.0,20,0,,0,1.66,52.0,41.0,11.0,0.38,0.52,46.3,41.7,4.6,0.16,0.61,Matches
Sepp van den Berg,nl NED,DF,23-144,29,2406.0,83.0,74.3,26.7,27,88.0,23,2,18.0,1,1.62,51.0,45.0,6.0,0.22,-0.21,43.8,41.8,2.0,0.08,0.12,Matches
Vitaly Janelt,de GER,MF,27-003,32,2254.0,70.0,69.6,25.0,27,79.0,10,5,25.0,0,1.34,38.0,38.0,0.0,0.0,-0.91,35.5,36.9,-1.4,-0.05,-0.33,Matches
Kevin Schade,de GER,FW,23-167,36,2140.0,59.0,66.0,23.8,24,79.0,6,12,21.0,0,1.53,42.0,30.0,12.0,0.5,0.67,38.2,28.5,9.7,0.41,1.06,Matches
