Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Moisés Caicedo,ec ECU,"MF,DF",23-192,36,3171.0,88.0,97.9,35.2,36,88.0,31,0,,0,1.75,60.0,42.0,18.0,0.51,-0.79,65.0,43.9,21.2,0.6,2.0,Matches
Cole Palmer,eng ENG,MF,23-007,35,3011.0,86.0,92.9,33.5,34,88.0,24,1,32.0,0,1.8,61.0,41.0,20.0,0.6,0.99,62.9,42.7,20.3,0.61,0.67,Matches
Levi Colwill,eng ENG,DF,22-076,33,2969.0,90.0,91.6,33.0,33,90.0,32,0,,2,1.7,54.0,41.0,13.0,0.39,-1.6,55.9,42.1,13.8,0.42,-1.66,Matches
Marc Cucurella,es ESP,DF,26-295,34,2808.0,83.0,86.7,31.2,31,88.0,25,3,24.0,0,1.82,58.0,38.0,20.0,0.64,0.85,60.0,38.7,21.3,0.68,0.95,Matches
Enzo Fernández,ar ARG,MF,24-116,34,2767.0,81.0,85.4,30.7,30,89.0,24,4,25.0,0,1.68,54.0,37.0,17.0,0.55,0.17,55.8,36.6,19.2,0.62,0.46,Matches
Robert Sánchez,es ESP,GK,27-176,30,2700.0,90.0,83.3,30.0,30,90.0,30,0,,6,1.8,50.0,34.0,16.0,0.53,0.03,51.9,37.0,14.9,0.5,-0.37,Matches
Nicolas Jackson,sn SEN,FW,23-327,30,2220.0,74.0,68.5,24.7,28,76.0,5,2,41.0,1,1.8,42.0,23.0,19.0,0.77,0.77,43.0,28.4,14.5,0.59,0.1,Matches
Noni Madueke,eng ENG,FW,23-064,30,1858.0,62.0,57.3,20.6,25,72.0,5,5,14.0,1,1.9,36.0,28.0,8.0,0.39,-0.33,41.3,28.0,13.3,0.65,0.21,Matches
Pedro Neto,pt POR,FW,25-065,33,2103.0,64.0,64.9,23.4,22,82.0,15,11,27.0,1,1.64,38.0,25.0,13.0,0.56,0.08,37.4,27.4,10.0,0.43,-0.37,Matches
Malo Gusto,fr FRA,DF,21-359,30,1848.0,62.0,57.0,20.5,19,84.0,14,11,23.0,1,1.57,40.0,26.0,14.0,0.68,0.36,40.5,26.6,13.9,0.68,0.28,Matches
