Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Dara O'Shea,ie IRL,DF,26-070,33,2942.0,89.0,90.8,32.7,33,89.0,32,0,,1,0.64,33.0,70.0,-37.0,-1.13,0.38,30.4,63.4,-32.9,-1.01,0.69,Matches
Liam Delap,eng ENG,FW,22-094,35,2552.0,73.0,78.8,28.4,32,78.0,3,3,16.0,0,0.63,25.0,57.0,-32.0,-1.13,0.18,25.2,52.0,-26.8,-0.95,0.58,Matches
Leif Davis,eng ENG,DF,25-121,31,2563.0,83.0,79.1,28.5,30,85.0,25,1,10.0,0,0.55,28.0,64.0,-36.0,-1.26,-0.47,27.1,57.5,-30.4,-1.07,0.02,Matches
Sam Morsy,eg EGY,MF,33-245,31,2576.0,83.0,79.5,28.6,29,88.0,23,2,16.0,2,0.68,27.0,62.0,-35.0,-1.22,-0.27,26.5,54.7,-28.2,-0.99,0.42,Matches
Omari Hutchinson,eng ENG,"MF,FW",21-195,29,2403.0,83.0,74.2,26.7,28,85.0,16,1,24.0,1,0.59,24.0,56.0,-32.0,-1.2,-0.12,23.7,48.1,-24.5,-0.92,0.6,Matches
Jacob Greaves,eng ENG,DF,24-243,23,2025.0,88.0,62.5,22.5,23,88.0,22,0,,2,0.43,18.0,48.0,-30.0,-1.33,-0.44,18.0,42.4,-24.3,-1.08,-0.03,Matches
Jens Cajuste,se SWE,MF,25-276,28,1813.0,65.0,56.0,20.1,23,76.0,3,5,14.0,3,0.71,23.0,42.0,-19.0,-0.94,0.51,21.7,41.3,-19.6,-0.97,0.22,Matches
Arijanet Muric,xk KVX,GK,26-187,18,1620.0,90.0,50.0,18.0,18,90.0,18,0,,8,0.67,17.0,33.0,-16.0,-0.89,0.56,17.5,35.2,-17.7,-0.98,0.17,Matches
Axel Tuanzebe,cd COD,DF,27-180,20,1530.0,77.0,47.2,17.0,18,83.0,10,2,14.0,0,0.7,16.0,32.0,-16.0,-0.94,0.43,14.9,29.4,-14.6,-0.86,0.41,Matches
Cameron Burgess,au AUS,DF,29-204,18,1541.0,86.0,47.6,17.1,16,90.0,16,2,51.0,4,0.72,19.0,37.0,-18.0,-1.05,0.22,16.2,33.9,-17.7,-1.03,0.07,Matches
Ben Johnson,eng ENG,"DF,FW",25-109,23,1354.0,59.0,41.8,15.0,14,85.0,10,9,19.0,8,0.74,17.0,36.0,-19.0,-1.26,-0.17,12.8,36.7,-23.9,-1.59,-0.89,Matches
Kalvin Phillips,eng ENG,MF,29-162,19,1237.0,65.0,38.2,13.7,14,82.0,6,5,19.0,6,0.68,12.0,29.0,-17.0,-1.24,-0.11,9.8,26.7,-16.8,-1.23,-0.25,Matches
Sammie Szmodics,ie IRL,"FW,MF",29-231,19,979.0,52.0,30.2,10.9,13,70.0,0,6,12.0,2,0.68,11.0,17.0,-6.0,-0.55,0.88,11.1,22.7,-11.6,-1.06,0.01,Matches
Luke Woolfenden,eng ENG,DF,26-204,15,1187.0,79.0,36.6,13.2,12,90.0,11,3,36.0,11,0.47,12.0,28.0,-16.0,-1.21,-0.07,9.2,25.7,-16.5,-1.25,-0.28,Matches
Alex Palmer,eng ENG,GK,28-276,12,1080.0,90.0,33.3,12.0,12,90.0,12,0,,0,0.5,13.0,28.0,-15.0,-1.25,-0.12,9.9,22.9,-13.0,-1.08,-0.01,Matches
Wes Burns,wls WAL,"FW,DF",30-171,18,926.0,51.0,28.6,10.3,12,67.0,0,6,20.0,3,0.67,7.0,23.0,-16.0,-1.56,-0.54,9.6,23.2,-13.6,-1.32,-0.35,Matches
Jack Clarke,eng ENG,"FW,MF",24-171,30,1090.0,36.0,33.6,12.1,11,66.0,1,19,19.0,3,0.63,14.0,28.0,-14.0,-1.16,0.02,11.6,25.7,-14.1,-1.17,-0.14,Matches
Julio Enciso,py PAR,"FW,MF",21-110,12,799.0,67.0,24.7,8.9,11,72.0,2,1,12.0,0,0.5,9.0,16.0,-7.0,-0.79,0.5,8.5,15.7,-7.1,-0.8,0.36,Matches
Conor Chaplin,eng ENG,"MF,FW",28-086,20,768.0,38.0,23.7,8.5,9,71.0,1,11,12.0,6,0.45,7.0,17.0,-10.0,-1.17,-0.01,8.0,16.5,-8.5,-1.0,0.1,Matches
Nathan Broadhead,wls WAL,"MF,FW",27-038,16,605.0,38.0,18.7,6.7,6,74.0,1,10,16.0,7,0.5,11.0,10.0,1.0,0.15,1.62,8.4,10.6,-2.1,-0.32,0.92,Matches
Christian Walton,eng ENG,GK,29-185,6,540.0,90.0,16.7,6.0,6,90.0,6,0,,26,0.67,5.0,16.0,-11.0,-1.83,-0.8,4.8,12.7,-7.9,-1.31,-0.29,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",23-094,10,474.0,47.0,14.6,5.3,5,81.0,2,5,14.0,1,0.4,3.0,17.0,-14.0,-2.66,-1.75,4.5,9.5,-4.9,-0.94,0.16,Matches
Jack Taylor,ie IRL,MF,26-324,30,826.0,28.0,25.5,9.2,4,79.0,0,26,20.0,1,0.53,7.0,20.0,-13.0,-1.42,-0.34,6.4,15.4,-9.0,-0.98,0.12,Matches
Harry Clarke,eng ENG,DF,24-072,7,379.0,54.0,11.7,4.2,4,85.0,3,3,14.0,5,0.43,4.0,9.0,-5.0,-1.19,-0.02,4.3,9.1,-4.8,-1.13,-0.06,Matches
George Hirst,sct SCO,FW,26-087,24,522.0,22.0,16.1,5.8,3,74.0,0,21,14.0,0,0.54,9.0,12.0,-3.0,-0.52,0.77,5.4,13.2,-7.8,-1.34,-0.32,Matches
Conor Townsend,eng ENG,DF,32-070,6,335.0,56.0,10.3,3.7,3,87.0,2,3,25.0,26,0.83,5.0,6.0,-1.0,-0.27,1.0,3.0,8.0,-5.0,-1.35,-0.31,Matches
Chiedozie Ogbene,ie IRL,FW,28-012,5,238.0,48.0,7.3,2.6,3,63.0,0,2,25.0,2,0.6,4.0,3.0,1.0,0.38,1.67,1.7,2.3,-0.6,-0.24,0.89,Matches
Massimo Luongo,au AUS,MF,32-230,9,196.0,22.0,6.0,2.2,2,68.0,0,7,9.0,11,0.67,1.0,6.0,-5.0,-2.3,-1.2,0.7,6.6,-5.9,-2.71,-1.74,Matches
