Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Joško Gvardiol,hr CRO,DF,23-110,35,3097.0,88.0,95.6,34.4,34,90.0,31,1,45.0,1,1.86,65.0,40.0,25.0,0.73,1.36,61.9,40.9,21.0,0.61,2.31,Matches
Erling Haaland,no NOR,FW,24-296,29,2570.0,89.0,79.3,28.6,29,89.0,25,0,,1,1.69,54.0,38.0,16.0,0.56,-0.51,51.8,38.7,13.1,0.46,-0.24,Matches
Bernardo Silva,pt POR,"MF,FW",30-276,31,2491.0,80.0,76.9,27.7,27,90.0,27,4,15.0,5,1.71,44.0,36.0,8.0,0.29,-1.63,44.5,36.8,7.7,0.28,-0.99,Matches
Ederson,br BRA,GK,31-269,24,2140.0,89.0,66.0,23.8,24,89.0,23,0,,4,1.92,44.0,25.0,19.0,0.8,0.39,44.5,26.3,18.2,0.76,0.76,Matches
Mateo Kovačić,hr CRO,MF,31-007,30,2132.0,71.0,65.8,23.7,24,82.0,12,6,26.0,2,1.9,48.0,28.0,20.0,0.84,0.52,43.8,30.2,13.6,0.58,0.2,Matches
Rúben Dias,pt POR,DF,27-364,25,2091.0,84.0,64.5,23.2,23,90.0,23,2,11.0,0,2.04,45.0,20.0,25.0,1.08,1.15,41.7,26.4,15.3,0.66,0.43,Matches
İlkay Gündoğan,de GER,MF,34-201,31,2050.0,66.0,63.3,22.8,23,84.0,12,8,14.0,4,1.87,48.0,28.0,20.0,0.88,0.58,39.9,33.2,6.7,0.29,-0.58,Matches
Rico Lewis,eng ENG,"DF,MF",20-173,28,1893.0,68.0,58.4,21.0,21,85.0,14,7,16.0,7,1.82,41.0,27.0,14.0,0.67,0.0,37.0,27.2,9.8,0.46,-0.1,Matches
Manuel Akanji,ch SUI,DF,29-298,24,1834.0,76.0,56.6,20.4,21,86.0,18,3,12.0,2,1.96,41.0,27.0,14.0,0.69,0.05,39.2,26.7,12.5,0.61,0.24,Matches
Sávio,br BRA,"FW,MF",21-033,28,1749.0,62.0,54.0,19.4,21,79.0,7,7,13.0,7,1.64,32.0,25.0,7.0,0.36,-0.67,36.1,20.6,15.5,0.8,0.63,Matches
Phil Foden,eng ENG,"MF,FW",24-350,27,1768.0,65.0,54.6,19.6,20,81.0,10,7,22.0,4,1.48,30.0,24.0,6.0,0.31,-0.8,31.2,28.4,2.8,0.14,-0.81,Matches
Kevin De Bruyne,be BEL,"MF,FW",33-319,26,1628.0,63.0,50.2,18.1,18,84.0,7,8,16.0,5,1.73,40.0,19.0,21.0,1.16,0.99,33.0,20.0,13.0,0.72,0.43,Matches
Matheus Nunes,pt POR,"DF,MF",26-259,24,1494.0,62.0,46.1,16.6,17,86.0,14,7,5.0,9,2.0,28.0,18.0,10.0,0.6,-0.12,27.4,22.0,5.4,0.33,-0.34,Matches
Jeremy Doku,be BEL,"FW,MF",22-351,27,1442.0,53.0,44.5,16.0,15,81.0,6,12,19.0,4,1.81,32.0,13.0,19.0,1.19,0.94,30.5,13.3,17.3,1.08,1.03,Matches
Stefan Ortega,de GER,GK,32-188,13,1100.0,85.0,34.0,12.2,12,90.0,12,1,20.0,23,1.69,23.0,18.0,5.0,0.41,-0.39,19.1,19.0,0.1,0.01,-0.76,Matches
Omar Marmoush,eg EGY,"FW,MF",26-095,14,1005.0,72.0,31.0,11.2,12,81.0,4,2,15.0,0,1.93,21.0,12.0,9.0,0.81,0.2,19.4,12.4,7.0,0.63,0.18,Matches
Kyle Walker,eng ENG,DF,34-350,15,970.0,65.0,29.9,10.8,9,89.0,8,6,29.0,2,1.4,13.0,21.0,-8.0,-0.74,-2.01,15.4,19.3,-3.9,-0.36,-1.24,Matches
