Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Onana,CMR,GK,29-042,33,2970,90,91.7,33.0,33,90,33,0,,0,1.18,38,43,-5,-0.15,+1.85,45.0,46.0,-1.0,-0.03,+0.73,Matches
Fernandes,POR,MF,30-248,34,2848,84,87.9,31.6,33,85,27,1,32,1,1.15,39,42,-3,-0.09,+1.74,45.3,44.1,+1.2,+0.04,+1.07,Matches
Mazraoui,MAR,DF,27-181,35,2729,78,84.2,30.3,32,83,19,3,24,0,1.11,23,42,-19,-0.63,-2.04,37.4,44.7,-7.3,-0.24,-0.95,Matches
Dalot,POR,DF,26-057,32,2788,87,86.0,31.0,31,89,30,1,32,0,1.09,34,45,-11,-0.36,-0.36,39.7,46.1,-6.3,-0.20,-0.81,Matches
Matthijs de Ligt,NED,DF,25-275,29,2123,73,65.5,23.6,25,82,16,4,19,1,1.28,32,36,-4,-0.17,+0.39,30.2,37.4,-7.2,-0.30,-0.62,Matches
Garnacho,ARG,"MF,FW",20-317,35,2178,62,67.2,24.2,23,81,14,12,26,0,1.03,26,35,-9,-0.37,-0.20,35.5,34.8,+0.7,+0.03,+0.37,Matches
Manuel Ugarte Ribeiro,URU,MF,24-033,28,1764,63,54.4,19.6,22,75,8,6,20,2,1.21,24,32,-8,-0.41,-0.23,20.9,28.6,-7.6,-0.39,-0.65,Matches
Højlund,DEN,FW,22-099,30,1834,61,56.6,20.4,21,77,6,9,24,2,1.00,16,30,-14,-0.69,-0.88,23.7,28.7,-5.1,-0.25,-0.36,Matches
Martínez,ARG,DF,27-116,20,1751,88,54.0,19.5,20,88,17,0,,2,1.35,25,27,-2,-0.10,+0.44,29.7,29.7,-0.1,0.00,+0.19,Matches
Mainoo,ENG,MF,20-025,23,1596,69,49.3,17.7,19,76,8,4,39,1,0.96,17,27,-10,-0.56,-0.51,25.9,25.1,+0.8,+0.05,+0.27,Matches
Diallo,CIV,"FW,MF",22-307,24,1721,72,53.1,19.1,18,86,12,6,28,2,1.04,26,29,-3,-0.16,+0.32,28.6,30.2,-1.6,-0.09,+0.01,Matches
Maguire,ENG,DF,32-070,25,1578,63,48.7,17.5,17,81,11,8,26,3,1.04,18,26,-8,-0.46,-0.29,23.2,25.4,-2.2,-0.13,-0.07,Matches
Casemiro,BRA,MF,33-080,22,1335,61,41.2,14.8,16,75,6,6,22,14,1.27,16,20,-4,-0.27,+0.06,19.7,22.1,-2.4,-0.16,-0.12,Matches
Zirkzee,NED,"FW,MF",23-357,32,1402,44,43.3,15.6,14,72,4,18,22,0,1.19,26,24,+2,+0.13,+0.76,22.8,24.4,-1.6,-0.10,-0.02,Matches
Yoro,FRA,DF,19-182,21,1165,55,36.0,12.9,12,78,5,9,26,0,0.81,17,24,-7,-0.54,-0.37,18.1,19.4,-1.3,-0.10,-0.01,Matches
Rashford,ENG,"FW,MF",27-195,15,978,65,30.2,10.9,12,74,4,3,31,1,1.27,15,9,+6,+0.55,+1.23,15.2,14.5,+0.7,+0.06,+0.22,Matches
Eriksen,DEN,MF,33-089,22,1036,47,32.0,11.5,11,80,5,11,14,11,1.05,15,16,-1,-0.09,+0.32,16.8,17.9,-1.1,-0.09,0.00,Matches
