Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Sels,BEL,GK,33,36,3240.0,90.0,100.0,36.0,36,90.0,36,0,,0,1.72,56.0,44.0,12.0,0.33,,42.4,46.7,-4.4,-0.12,
Milenković,SRB,DF,27,35,3150.0,90.0,97.2,35.0,35,90.0,35,0,,0,1.74,55.0,43.0,12.0,0.34,0.34,41.1,45.5,-4.4,-0.13,-0.22
Murillo,BRA,DF,22,34,3008.0,88.0,92.8,33.4,34,88.0,31,0,,0,1.71,48.0,42.0,6.0,0.18,-2.15,38.1,44.1,-6.0,-0.18,-0.83
Aina,NGA,DF,28,33,2823.0,86.0,87.1,31.4,33,86.0,27,0,,0,1.79,53.0,37.0,16.0,0.51,1.37,38.7,37.3,1.5,0.05,1.3
Wood,NZL,FW,33,34,2779.0,82.0,85.8,30.9,33,83.0,12,1,28.0,0,1.74,50.0,35.0,15.0,0.49,1.07,35.9,37.3,-1.4,-0.05,0.53
Gibbs-White,ENG,MF,25,32,2631.0,82.0,81.2,29.2,32,82.0,12,0,,0,1.75,47.0,33.0,14.0,0.48,0.77,33.8,38.1,-4.2,-0.14,-0.13
Anderson,ENG,MF,22,35,2556.0,73.0,78.9,28.4,31,79.0,12,4,27.0,0,1.77,47.0,36.0,11.0,0.39,0.26,32.2,37.3,-5.1,-0.18,-0.28
Elanga,SWE,"FW,MF",23,36,2322.0,65.0,71.7,25.8,29,75.0,11,7,22.0,0,1.72,43.0,33.0,10.0,0.39,0.19,30.9,35.4,-4.5,-0.17,-0.19
Williams,WAL,DF,24,33,2414.0,73.0,74.5,26.8,26,88.0,21,7,17.0,3,1.79,45.0,29.0,16.0,0.6,1.03,32.0,35.3,-3.3,-0.12,-0.01
Hudson-Odoi,ENG,"FW,MF",24,29,2152.0,74.0,66.4,23.9,25,81.0,8,4,32.0,1,1.76,38.0,22.0,16.0,0.67,1.0,27.9,26.7,1.3,0.05,0.52
Domínguez,ARG,"MF,FW",26,32,1807.0,56.0,55.8,20.1,21,73.0,5,11,26.0,3,1.78,29.0,25.0,4.0,0.2,-0.3,23.0,29.0,-5.9,-0.3,-0.4
Yates,ENG,MF,27,33,1891.0,57.0,58.4,21.0,18,83.0,13,15,27.0,2,1.7,25.0,27.0,-2.0,-0.1,-1.03,23.5,27.1,-3.6,-0.17,-0.12
Moreno,ESP,"DF,MF",31,15,955.0,64.0,29.5,10.6,11,79.0,3,4,23.0,12,1.4,11.0,16.0,-5.0,-0.47,-1.14,10.8,13.6,-2.9,-0.27,-0.21
Morato,BRA,DF,23,25,899.0,36.0,27.7,10.0,6,84.0,4,19,21.0,7,2.12,19.0,13.0,6.0,0.6,0.37,13.3,13.8,-0.5,-0.05,0.1
Silva,POR,"FW,MF",25,29,845.0,29.0,26.1,9.4,5,68.0,0,24,21.0,6,1.72,16.0,16.0,0.0,0.0,-0.45,14.3,12.5,1.8,0.19,0.42
Sangaré,CIV,MF,27,11,452.0,41.0,14.0,5.0,5,74.0,1,6,14.0,5,1.45,9.0,5.0,4.0,0.8,0.54,7.2,6.3,0.9,0.18,0.35
Ward-Prowse,ENG,MF,30,9,400.0,44.0,12.3,4.4,5,75.0,2,4,6.0,9,1.56,4.0,7.0,-3.0,-0.68,-1.15,4.4,5.3,-0.9,-0.21,-0.1
Danilo,BRA,"MF,FW",24,7,267.0,38.0,8.2,3.0,5,47.0,0,2,16.0,5,2.0,8.0,3.0,5.0,1.69,1.47,3.1,4.6,-1.5,-0.52,-0.43
Awoniyi,NGA,FW,27,26,416.0,16.0,12.8,4.6,3,64.0,0,23,10.0,7,1.92,5.0,10.0,-5.0,-1.08,-1.62,5.7,6.5,-0.8,-0.18,-0.07
Sosa,PAR,"FW,MF",25,19,295.0,16.0,9.1,3.3,1,67.0,0,18,13.0,11,1.58,3.0,5.0,-2.0,-0.61,-1.04,3.5,4.6,-1.0,-0.31,-0.21
Boly,CIV,DF,34,6,150.0,25.0,4.6,1.7,1,90.0,1,5,12.0,22,2.17,3.0,1.0,2.0,1.2,0.91,2.6,2.7,0.0,-0.03,0.1
Toffolo,ENG,DF,29,4,137.0,34.0,4.2,1.5,1,90.0,1,3,16.0,18,2.5,2.0,2.0,0.0,0.0,-0.35,1.3,2.9,-1.6,-1.05,-0.97
Eric da Silva Moreira,GER,"MF,DF",19,2,30.0,15.0,0.9,0.3,0,,0,2,15.0,7,1.5,0.0,0.0,0.0,0.0,-0.34,0.1,0.3,-0.2,-0.53,-0.41
Abbott,ENG,DF,19,0,,,,,0,,0,0,,6,,,,,,,,,,,
Hennessey,WAL,GK,38,0,,,,,0,,0,0,,5,,,,,,,,,,,
Miguel,BRA,GK,26,0,,,,,0,,0,0,,31,,,,,,,,,,,
Omobamidele,IRL,DF,22,0,,,,,0,,0,0,,4,,,,,,,,,,,
