Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Walker-Peters,ENG,DF,28,33,2918.0,88.0,90.1,32.4,33,88.0,29,0,,2,0.3,23.0,77.0,-54.0,-1.67,-0.83,26.6,74.2,-47.7,-1.47,-1.11
Fernandes,POR,MF,20,34,2729.0,80.0,84.2,30.3,32,83.0,17,2,30.0,0,0.35,24.0,62.0,-38.0,-1.25,2.09,25.6,64.2,-38.6,-1.27,0.57
Harwood-Bellis,ENG,DF,23,33,2744.0,83.0,84.7,30.5,31,87.0,27,2,28.0,0,0.36,20.0,63.0,-43.0,-1.41,1.13,25.7,64.2,-38.4,-1.26,0.65
Bednarek,POL,DF,29,30,2531.0,84.0,78.1,28.1,30,84.0,26,0,,0,0.37,19.0,57.0,-38.0,-1.35,1.06,23.8,56.5,-32.6,-1.16,0.91
Ramsdale,ENG,GK,27,28,2520.0,90.0,77.8,28.0,28,90.0,28,0,,0,0.39,20.0,62.0,-42.0,-1.5,0.38,23.2,59.9,-36.7,-1.31,0.23
Downes,ENG,MF,26,25,1971.0,79.0,60.8,21.9,23,85.0,16,2,13.0,2,0.36,13.0,45.0,-32.0,-1.46,0.31,19.4,41.8,-22.4,-1.02,0.87
Aribo,NGA,"MF,DF",28,31,1954.0,63.0,60.3,21.7,20,80.0,8,11,32.0,5,0.35,17.0,54.0,-37.0,-1.7,-0.3,19.4,52.4,-33.0,-1.52,-0.41
Dibling,ENG,"FW,MF",19,32,1807.0,56.0,55.8,20.1,19,76.0,8,13,27.0,1,0.28,16.0,48.0,-32.0,-1.59,-0.02,19.2,45.8,-26.6,-1.33,0.08
Manning,IRL,"DF,MF",28,24,1462.0,61.0,45.1,16.2,18,77.0,5,6,14.0,5,0.29,12.0,35.0,-23.0,-1.42,0.31,14.0,35.3,-21.3,-1.31,0.09
Ugochukwu,FRA,MF,21,25,1570.0,63.0,48.5,17.4,17,77.0,4,8,33.0,5,0.44,12.0,38.0,-26.0,-1.49,0.18,12.9,37.4,-24.5,-1.4,-0.09
Stephens,ENG,DF,31,18,1299.0,72.0,40.1,14.4,16,81.0,11,2,6.0,4,0.56,8.0,26.0,-18.0,-1.25,0.56,11.5,28.4,-16.8,-1.17,0.32
Sugawara,JPN,"DF,MF",24,29,1467.0,51.0,45.3,16.3,15,75.0,5,14,24.0,4,0.34,12.0,44.0,-32.0,-1.96,-0.69,16.3,37.9,-21.6,-1.32,0.07
Sulemana,GHA,"FW,MF",23,24,1265.0,53.0,39.0,14.1,15,74.0,5,9,16.0,2,0.29,10.0,33.0,-23.0,-1.64,-0.09,9.4,30.1,-20.7,-1.47,-0.19
Armstrong,ENG,"FW,MF",28,20,1248.0,62.0,38.5,13.9,15,75.0,4,5,25.0,4,0.3,7.0,35.0,-28.0,-2.02,-0.71,12.8,32.4,-19.6,-1.41,-0.09
Archer,ENG,FW,23,33,1398.0,42.0,43.1,15.5,13,71.0,0,20,24.0,2,0.27,10.0,33.0,-23.0,-1.48,0.18,14.5,36.3,-21.7,-1.4,-0.07
Bree,ENG,DF,27,16,985.0,62.0,30.4,10.9,12,77.0,6,4,15.0,14,0.31,8.0,29.0,-21.0,-1.92,-0.48,8.1,28.5,-20.4,-1.87,-0.73
Onuachu,NGA,FW,30,24,1029.0,43.0,31.8,11.4,11,72.0,4,13,18.0,3,0.38,11.0,25.0,-14.0,-1.22,0.53,10.5,23.1,-12.6,-1.1,0.38
Wood-Gordon,ENG,DF,22,9,624.0,69.0,19.3,6.9,7,77.0,5,2,42.0,14,0.11,2.0,16.0,-14.0,-2.02,-0.54,5.5,16.2,-10.7,-1.54,-0.22
Smallbone,IRL,MF,25,16,647.0,40.0,20.0,7.2,6,72.0,2,10,21.0,2,0.25,4.0,21.0,-17.0,-2.36,-0.98,5.8,18.4,-12.7,-1.76,-0.5
McCarthy,ENG,GK,35,5,450.0,90.0,13.9,5.0,5,90.0,5,0,,31,0.0,3.0,13.0,-10.0,-2.0,-0.48,4.8,10.8,-6.1,-1.21,0.17
Lallana,ENG,MF,37,14,361.0,26.0,11.1,4.0,5,51.0,0,9,12.0,6,0.5,3.0,8.0,-5.0,-1.25,0.38,4.2,7.9,-3.8,-0.94,0.47
Brereton,CHI,FW,26,10,449.0,45.0,13.9,5.0,4,78.0,2,6,23.0,4,0.2,2.0,10.0,-8.0,-1.6,-0.02,5.0,11.0,-6.0,-1.2,0.19
Fraser,SCO,"FW,DF",31,8,306.0,38.0,9.4,3.4,4,60.0,0,4,17.0,5,0.25,4.0,10.0,-6.0,-1.76,-0.2,5.6,10.2,-4.6,-1.35,0.01
Welington,BRA,"DF,MF",24,8,302.0,38.0,9.3,3.4,4,64.0,0,4,11.0,3,0.75,3.0,6.0,-3.0,-0.89,0.76,1.2,6.6,-5.5,-1.63,-0.29
Stewart,SCO,FW,28,10,289.0,29.0,8.9,3.2,3,45.0,0,7,22.0,0,0.3,4.0,8.0,-4.0,-1.25,0.37,2.1,7.7,-5.6,-1.75,-0.43
Lumley,ENG,GK,30,3,270.0,90.0,8.3,3.0,3,90.0,3,0,,5,0.33,2.0,7.0,-5.0,-1.67,-0.09,2.8,9.1,-6.3,-2.09,-0.79
Armel Bella Kotchap,GER,DF,23,4,331.0,83.0,10.2,3.7,2,90.0,2,2,76.0,8,0.0,2.0,13.0,-11.0,-2.99,-1.57,2.5,10.2,-7.7,-2.08,-0.8
Taylor,ENG,DF,31,7,266.0,38.0,8.2,3.0,2,90.0,2,5,17.0,6,0.14,2.0,10.0,-8.0,-2.71,-1.22,3.2,7.4,-4.2,-1.43,-0.07
Grønbaek,DEN,"FW,MF",23,4,143.0,36.0,4.4,1.6,2,66.0,0,2,6.0,2,0.75,2.0,3.0,-1.0,-0.63,1.0,0.8,4.8,-4.1,-2.56,-1.26
Cornet,CIV,FW,28,2,72.0,36.0,2.2,0.8,1,45.0,0,1,27.0,3,0.0,0.0,4.0,-4.0,-5.0,-3.49,0.2,1.7,-1.5,-1.86,-0.51
Edozie,ENG,"DF,FW",22,2,65.0,33.0,2.0,0.7,0,,0,2,33.0,0,0.0,0.0,0.0,0.0,0.0,1.62,1.4,0.3,1.1,1.46,2.88
Robinson,ENG,"MF,FW",18,2,36.0,18.0,1.1,0.4,0,,0,2,18.0,1,0.0,0.0,1.0,-1.0,-2.5,-0.93,0.1,1.3,-1.2,-2.89,-1.55
Amo-Ameyaw,ENG,"FW,DF",18,2,28.0,14.0,0.9,0.3,0,,0,2,14.0,7,0.0,0.0,0.0,0.0,0.0,1.6,0.3,1.1,-0.8,-2.5,-1.15
Edwards,ENG,DF,22,1,12.0,12.0,0.4,0.1,0,,0,1,12.0,2,0.0,0.0,1.0,-1.0,-7.5,-5.94,0.0,0.3,-0.3,-2.19,-0.84
Alcaraz,ARG,MF,22,1,10.0,10.0,0.3,0.1,0,,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,1.59,0.3,0.0,0.3,2.92,4.3
O'Brien-Whitmarsh,IRL,FW,na,0,,,,,0,,0,0,,1,,,,,,,,,,,
