player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Raya,ESP,GK,29,36.0,1420,839,1335,85,0,0,1420,1,1,100.0,0,0.0,888,4389,2637,0,0,0,1,0,815,0
Saliba,FRA,DF,24,33.3,2790,186,1113,1552,141,18,2790,19,12,63.2,6,31.6,1731,7537,4112,16,17,1,19,8,2113,6
Rice,ENG,MF,26,29.4,1839,71,302,863,693,77,1839,28,13,46.4,14,50.0,977,6149,3274,88,54,16,36,29,1204,92
Partey,GHA,"MF,DF",31,29.1,2057,69,435,1129,505,30,2057,35,24,68.6,9,25.7,1167,6257,3355,33,38,3,23,16,1464,48
Magalhães,BRA,DF,27,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11
Trossard,BEL,FW,30,27.0,1202,15,124,379,717,152,1202,77,33,42.9,34,44.2,773,4745,2130,79,52,29,60,47,898,216
Timber,NED,DF,23,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104
Ødegaard,NOR,MF,26,24.7,1621,7,117,687,832,111,1620,56,23,41.1,31,55.4,1120,7115,3656,89,80,24,36,38,1281,146
Martinelli,BRA,"FW,MF",23,23.7,917,16,90,234,607,173,917,106,32,30.2,58,54.7,618,4565,2428,116,30,60,49,34,698,276
Havertz,GER,"FW,MF",25,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110
Saka,ENG,"FW,MF",23,18.1,912,6,53,203,665,151,911,87,39,44.8,36,41.4,586,3963,2274,89,30,46,33,38,663,241
Merino,ESP,"MF,FW",28,16.6,761,36,137,320,314,75,761,22,9,40.9,9,40.9,378,1465,716,10,13,4,23,25,492,92
Lewis-Skelly,ENG,DF,18,14.0,829,23,156,452,235,14,829,28,12,42.9,9,32.1,479,2446,1511,32,23,5,12,8,567,36
White,ENG,DF,27,11.3,682,47,191,313,182,22,682,5,0,0.0,4,80.0,322,1272,725,16,13,4,8,4,407,33
Calafiori,ITA,DF,22,10.4,630,30,161,251,222,29,630,13,9,69.2,3,23.1,291,1572,839,21,12,3,12,5,377,29
Nwaneri,ENG,"FW,MF",18,9.1,496,3,43,160,298,40,496,55,32,58.2,17,30.9,334,2641,1243,44,23,16,21,17,362,102
Jorginho,ITA,MF,33,7.8,519,9,92,303,130,3,519,4,1,25.0,2,50.0,302,1498,874,12,13,0,10,9,388,6
Kiwior,POL,DF,25,10.5,707,75,233,417,57,4,707,4,3,75.0,1,25.0,408,1651,924,5,5,1,3,1,530,1
Jesus,BRA,FW,28,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57
Sterling,ENG,"FW,MF",30,4.9,247,2,8,52,190,37,247,25,9,36.0,9,36.0,178,1278,690,25,9,15,11,14,188,73
Zinchenko,UKR,"DF,MF",28,5.1,413,13,77,207,130,18,413,4,3,75.0,0,0.0,235,1151,509,10,5,3,3,4,287,12
Tierney,SCO,"DF,FW",27,2.2,136,5,22,47,67,4,136,3,1,33.3,1,33.3,60,248,125,5,3,1,1,0,92,22
Butler-Oyedeji,ENG,FW,22,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Tomiyasu,JPN,DF,26,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0
Nelson,ENG,FW,25,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
