Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Martínez,ARG,GK,32-254,34.0,1393,1055,1374,19,0,0,1393,1,1,100.0,0,0.0,851,4362,2756,0,0,0,1,0,756,0
Tielemans,BEL,MF,28-007,33.3,2361,100,472,1357,557,42,2360,60,31,51.7,18,30.0,1275,5522,2541,39,26,9,30,29,1654,48
Rogers,ENG,"FW,MF",22-292,32.7,1296,42,192,568,562,136,1296,156,65,41.7,71,45.5,753,5344,3059,108,64,33,109,71,907,178
Konsa,ENG,DF,27-203,30.6,1790,237,852,847,100,20,1790,18,8,44.4,7,38.9,1045,5214,2599,17,12,2,17,10,1248,11
Watkins,ENG,FW,29-135,26.9,660,18,50,239,381,158,658,39,9,23.1,26,66.7,389,2146,1089,54,21,37,59,48,520,152
Digne,FRA,DF,31-298,26.1,1527,97,541,457,539,28,1527,19,9,47.4,9,47.4,683,2983,1346,23,14,4,17,16,820,142
McGinn,SCO,"MF,FW",30-208,23.0,1007,29,159,535,323,52,1007,45,18,40.0,13,28.9,551,2800,1202,31,16,6,34,26,704,73
Cash,POL,DF,27-280,21.0,1051,78,388,409,265,38,1051,36,15,41.7,16,44.4,517,3192,1629,46,34,4,18,9,585,76
Torres,ESP,DF,28-118,20.4,1353,219,657,623,79,16,1353,17,15,88.2,2,11.8,841,5542,3614,33,20,0,4,4,965,4
Ramsey,ENG,"FW,MF",23-351,17.7,755,12,145,270,355,72,755,45,25,55.6,12,26.7,491,3389,1739,60,31,20,42,22,570,110
Kamara,FRA,MF,25-172,17.3,1020,93,316,588,123,9,1020,25,8,32.0,9,36.0,530,2611,1187,17,11,1,10,15,689,7
Onana,BEL,MF,23-271,16.3,913,70,252,537,140,22,913,18,12,66.7,3,16.7,497,2603,1400,24,22,1,11,9,612,15
Bailey,JAM,"FW,MF",27-278,12.6,539,18,76,155,318,69,539,57,22,38.6,24,42.1,344,2540,1334,57,22,33,35,25,386,121
Mings,ENG,DF,32-062,12.4,794,146,405,346,47,17,794,3,2,66.7,1,33.3,484,2662,1365,7,13,1,3,1,532,1
Maatsen,NED,DF,23-065,10.7,798,47,217,294,297,41,798,23,11,47.8,12,52.2,429,2209,1037,27,15,11,20,21,486,91
Carlos,BRA,DF,32-060,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0
Asensio,ESP,MF,29-113,6.8,312,4,30,136,154,25,310,15,8,53.3,5,33.3,188,1136,580,18,19,4,8,8,210,26
Disasi,FRA,DF,27-064,5.4,334,32,130,178,29,6,334,15,9,60.0,6,40.0,207,1268,621,10,8,2,3,2,223,5
Bogarde,NED,"DF,MF",21-129,5.3,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,12,6,1,6,8,212,9
García,ESP,"DF,MF",22-096,3.5,256,8,38,108,112,2,256,18,5,27.8,12,66.7,159,1262,673,26,13,2,10,6,168,28
Durán,COL,FW,21-152,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44
Rashford,ENG,FW,27-195,4.9,227,2,14,58,159,30,226,22,9,40.9,13,59.1,127,892,471,22,10,15,8,1,149,42
Barkley,ENG,MF,31-160,6.3,446,16,70,265,117,18,446,11,8,72.7,3,27.3,263,1433,657,15,14,2,7,8,314,10
Jaden Philogene Bidace,ENG,"FW,MF",23-095,3.7,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,7,5,7,7,3,83,17
Malen,NED,FW,26-125,3.3,120,2,8,32,86,23,120,10,3,30.0,5,50.0,71,543,312,11,6,7,8,6,79,25
Olsen,SWE,GK,35-126,2.0,83,73,82,1,0,0,83,0,0,,0,,44,226,109,0,0,0,0,0,41,0
Nedeljković,SRB,DF,19-149,1.4,66,4,15,32,19,0,66,2,1,50.0,1,50.0,27,101,33,1,0,0,1,0,32,0
Buendía,ARG,"MF,FW",28-140,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6
