Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
Jordan Pickford,eng ENG,GK,31-067,36.0,1608,1045,1540,69,0,0,1608,0,0,,0,,923,5644,3341,0,0,0,2,0,812,0,Matches
James Tarkowski,eng ENG,DF,32-175,32.5,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3,Matches
Vitaliy Mykolenko,ua UKR,DF,25-349,32.2,1571,118,488,671,424,30,1571,20,8,40.0,9,45.0,655,2674,1442,31,27,1,21,11,799,92,Matches
Idrissa Gana Gueye,sn SEN,MF,35-229,32.0,1680,70,401,966,322,20,1680,36,17,47.2,17,47.2,800,3676,1634,26,27,4,32,33,966,24,Matches
Abdoulaye Doucouré,ml MLI,MF,32-132,27.6,1116,31,220,518,393,60,1116,44,24,54.5,20,45.5,590,2926,1390,42,25,8,36,35,720,92,Matches
Jarrad Branthwaite,eng ENG,DF,22-320,27.1,1457,207,759,640,66,26,1457,6,3,50.0,2,33.3,714,3901,2340,9,13,2,8,4,847,2,Matches
Iliman Ndiaye,sn SEN,FW,25-068,25.4,1005,34,204,413,436,77,1003,138,63,45.7,64,46.4,579,4529,2226,81,41,30,49,43,617,115,Matches
Jack Harrison,eng ENG,FW,28-174,21.8,909,31,147,322,448,66,909,73,23,31.5,42,57.5,504,3051,1599,71,35,16,52,40,588,121,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-058,17.7,504,22,40,210,259,85,504,25,10,40.0,13,52.0,274,1401,444,22,8,16,74,33,409,108,Matches
Ashley Young,eng ENG,"DF,FW",39-308,19.0,1098,58,344,471,289,9,1098,17,5,29.4,9,52.9,442,2204,1239,21,25,1,9,1,562,29,Matches
James Garner,eng ENG,"MF,DF",24-061,15.7,861,37,206,440,223,9,861,18,6,33.3,12,66.7,417,1851,696,12,15,1,15,7,470,24,Matches
Jake O'Brien,ie IRL,DF,23-363,15.5,805,69,321,352,135,18,805,10,4,40.0,5,50.0,356,1594,743,7,6,2,5,5,428,24,Matches
Jesper Lindstrøm,dk DEN,FW,25-073,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81,Matches
Dwight McNeil,eng ENG,"MF,FW",25-172,14.4,705,5,70,307,346,24,705,41,22,53.7,18,43.9,419,2536,1086,37,31,5,25,29,480,76,Matches
Orel Mangala,be BEL,MF,27-056,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,Matches
Beto,gw GNB,FW,27-102,15.1,464,24,46,201,223,79,464,33,17,51.5,14,42.4,238,1084,396,12,10,9,66,34,335,72,Matches
Michael Keane,eng ENG,DF,32-122,10.5,468,96,266,184,20,16,468,1,0,0.0,1,100.0,209,831,277,1,1,0,1,2,263,3,Matches
Carlos Alcaraz,ar ARG,"FW,MF",22-164,7.4,339,12,56,150,142,17,339,17,9,52.9,6,35.3,193,1169,612,16,19,2,12,13,223,20,Matches
Tim Iroegbunam,eng ENG,MF,21-317,6.4,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9,Matches
Armando Broja,al ALB,FW,23-245,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26,Matches
Nathan Patterson,sct SCO,DF,23-209,3.9,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18,Matches
Séamus Coleman,ie IRL,DF,36-214,2.2,105,12,41,45,20,2,105,5,4,80.0,1,20.0,46,274,155,1,1,0,1,1,54,3,Matches
Roman Dixon,eng ENG,DF,20-138,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,Matches
Harrison Armstrong,eng ENG,MF,18-114,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches
Youssef Chermiti,pt POR,"FW,MF",20-354,0.5,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6,Matches
Mason Holgate,eng ENG,"FW,DF",28-203,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
Squad Total,,,28.8,36.0,18332,2317,6560,7433,4540,688,18330,611,269,44.0,295,48.3,9011,48135,23888,461,344,114,500,371,10618,968,
Opponent Total,,,27.0,36.0,24522,2281,7845,10971,5917,888,24520,689,301,43.7,318,46.2,14347,75333,40115,682,492,188,518,376,16820,1528,
