Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Vardy,ENG,FW,38-123,30.5,575,29,60,266,256,108,573,21,9,42.9,10,47.6,276,1438,680,28,13,15,34,13,371,116
Justin,ENG,DF,27-080,30.7,1832,136,638,832,373,38,1832,30,9,30.0,13,43.3,826,3485,1726,39,26,4,31,15,1024,94
Faes,BEL,DF,27-041,29.3,1795,294,896,839,68,27,1795,6,5,83.3,1,16.7,1045,4793,2788,12,13,2,16,6,1192,1
Victor Bernth Kristiansen,DEN,DF,22-149,26.6,1586,113,565,713,321,15,1586,17,8,47.1,8,47.1,802,3843,1808,39,25,5,13,12,874,75
Hermansen,DEN,GK,24-307,26.5,1147,831,1106,43,0,0,1147,1,1,100.0,0,0.0,734,3625,1904,0,0,0,1,0,625,0
Ndidi,NGA,MF,28-149,24.9,1350,117,449,666,248,61,1350,33,13,39.4,18,54.5,650,2678,1082,18,23,2,35,33,798,75
Bilal El Khannouss,MAR,MF,21-004,23.2,1211,18,173,623,427,33,1211,55,31,56.4,21,38.2,701,4320,1966,72,43,12,36,36,812,84
Soumaré,FRA,MF,26-076,22.1,1345,64,356,847,155,18,1345,44,27,61.4,13,29.5,800,3679,1907,32,16,4,22,21,941,22
Winks,ENG,MF,29-101,17.1,1158,49,275,746,151,1,1158,12,3,25.0,8,66.7,696,3268,1522,19,13,0,13,8,827,11
Coady,ENG,DF,32-078,17.0,1088,205,607,462,20,8,1088,2,1,50.0,1,50.0,714,3100,1651,3,3,1,4,2,800,0
Ayew,GHA,"FW,MF",33-245,16.5,732,19,94,374,287,49,731,60,24,40.0,30,50.0,439,2993,1316,43,32,9,54,38,491,79
Mavididi,ENG,FW,26-348,17.9,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138
Vestergaard,DEN,DF,32-284,15.5,1092,196,572,497,28,10,1092,4,4,100.0,0,0.0,672,2932,1458,3,3,0,2,0,757,2
Buonanotte,ARG,"FW,MF",20-142,16.7,865,26,128,444,306,39,865,82,28,34.1,49,59.8,474,2979,1347,39,26,9,54,39,524,72
Okoli,ITA,DF,23-305,12.5,806,152,451,325,35,10,806,0,0,,0,,468,2318,1106,3,6,0,10,2,484,2
Thomas,ENG,DF,23-338,10.5,681,40,250,327,108,8,681,5,2,40.0,3,60.0,329,1268,513,4,7,2,10,2,380,15
Skipp,ENG,MF,24-240,11.7,582,27,133,362,91,8,582,12,7,58.3,5,41.7,336,1360,637,16,7,3,11,7,406,19
Bobby De Cordova-Reid,JAM,FW,32-101,8.3,272,15,49,114,109,16,272,10,0,0.0,8,80.0,174,816,389,14,5,6,11,10,188,48
Stolarczyk,POL,GK,24-146,8.0,318,237,313,6,0,0,318,0,0,,0,,181,783,483,0,0,0,1,0,179,0
McAteer,IRL,"FW,MF",23-173,7.6,322,18,63,121,144,25,322,21,4,19.0,13,61.9,194,1230,487,16,11,8,16,13,213,59
Abdul Fatawu Issahaku,GHA,FW,21-067,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60
Daka,ZAM,"FW,MF",26-217,7.3,239,9,41,109,94,28,239,15,2,13.3,10,66.7,134,687,309,10,7,5,19,10,158,34
Pereira,POR,DF,31-220,3.8,255,14,78,141,37,5,255,8,5,62.5,2,25.0,132,389,147,3,3,2,2,0,143,5
Ward,WAL,GK,31-326,1.5,55,40,55,0,0,0,55,1,0,0.0,1,100.0,44,176,107,0,0,0,0,0,35,0
Choudhury,BAN,"MF,DF",27-225,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6
Coulibaly,FRA,DF,25-359,1.2,76,8,27,31,20,4,76,1,0,0.0,1,100.0,48,288,169,4,2,1,4,0,36,2
Monga,,"FW,MF",,0.7,34,1,7,13,15,3,34,5,2,40.0,2,40.0,24,262,119,4,1,2,2,2,18,5
Édouard,FRA,FW,27-118,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2
Evans,,FW,,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1
Alves,ENG,FW,20-100,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1
Golding,ENG,MF,18-356,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
