Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Raya,ESP,GK,29-241,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Saliba,FRA,DF,24-051,33.3,2,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches
Rice,ENG,MF,26-120,29.4,3,44,11,25.0,1.5,0.37,0.07,0.27,19.3,2,0,0,3.3,3.3,0.07,-0.3,-0.3,Matches
Partey,GHA,"MF,DF",31-335,29.1,4,23,7,30.4,0.79,0.24,0.17,0.57,19.5,0,0,0,2.0,2.0,0.09,2.0,2.0,Matches
Magalhães,BRA,DF,27-146,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4,Matches
Trossard,BEL,FW,30-161,27.0,8,70,21,30.0,2.59,0.78,0.11,0.38,15.9,0,0,0,7.1,7.1,0.1,0.9,0.9,Matches
Timber,NED,DF,23-331,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Ødegaard,NOR,MF,26-148,24.7,2,46,14,30.4,1.86,0.57,0.02,0.07,18.9,3,1,1,4.7,3.9,0.09,-2.7,-2.9,Matches
Martinelli,BRA,"FW,MF",23-330,23.7,8,49,22,44.9,2.07,0.93,0.16,0.36,13.1,0,0,0,6.4,6.4,0.13,1.6,1.6,Matches
Havertz,GER,"FW,MF",25-337,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
Saka,ENG,"FW,MF",23-251,18.1,6,62,21,33.9,3.43,1.16,0.08,0.24,15.6,1,1,1,6.7,5.9,0.1,-0.7,-0.9,Matches
Merino,ESP,"MF,FW",28-326,16.6,7,35,13,37.1,2.11,0.78,0.2,0.54,10.7,0,0,0,5.6,5.6,0.16,1.4,1.4,Matches
Lewis-Skelly,ENG,DF,18-230,14.0,1,2,1,50.0,0.14,0.07,0.5,1.0,14.3,0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
White,ENG,DF,27-218,11.3,0,8,2,25.0,0.71,0.18,0.0,0.0,18.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Calafiori,ITA,DF,22-360,10.4,2,10,6,60.0,0.96,0.58,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,Matches
Nwaneri,ENG,"FW,MF",18-054,9.1,4,22,8,36.4,2.41,0.88,0.18,0.5,18.2,1,0,0,1.1,1.1,0.05,2.9,2.9,Matches
Jorginho,ITA,MF,33-145,7.8,0,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kiwior,POL,DF,25-088,10.5,1,3,1,33.3,0.29,0.1,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Jesus,BRA,FW,28-041,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
Sterling,ENG,"FW,MF",30-157,4.9,0,10,0,0.0,2.06,0.0,0.0,,15.0,2,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
Zinchenko,UKR,"DF,MF",28-150,5.1,0,6,0,0.0,1.18,0.0,0.0,,18.0,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Tierney,SCO,"DF,FW",27-343,2.2,0,1,0,0.0,0.46,0.0,0.0,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Butler-Oyedeji,ENG,FW,22-130,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Tomiyasu,JPN,DF,26-190,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Nelson,ENG,FW,25-155,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Total,,,26.6,36.0,64,509,167,32.8,14.14,4.64,0.12,0.37,15.0,10,2,2,57.0,55.5,0.11,7.0,6.5,
Total,,,27.0,36.0,33,338,110,32.5,9.39,3.06,0.09,0.27,18.0,11,3,3,32.3,29.9,0.09,0.7,0.1,
