Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Martínez,ARG,GK,32,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tielemans,BEL,MF,28,33.3,3,38,12,31.6,1.14,0.36,0.08,0.25,20.3,0,0,1,3.1,2.3,0.06,-0.1,0.7
Rogers,ENG,"FW,MF",22,32.7,8,53,19,35.8,1.62,0.58,0.15,0.42,15.9,0,0,0,6.2,6.2,0.12,1.8,1.8
Konsa,ENG,DF,27,30.6,1,9,3,33.3,0.29,0.1,0.11,0.33,9.1,0,0,0,0.9,0.9,0.1,0.1,0.1
Watkins,ENG,FW,29,26.9,16,79,34,43.0,2.93,1.26,0.18,0.41,12.1,0,2,2,15.1,13.5,0.17,0.9,0.5
Digne,FRA,DF,31,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
McGinn,SCO,"MF,FW",30,23.0,1,26,5,19.2,1.13,0.22,0.04,0.2,16.2,1,0,0,2.9,2.6,0.1,-1.9,-1.6
Cash,POL,DF,27,21.0,1,11,5,45.5,0.52,0.24,0.09,0.2,18.5,0,0,0,0.4,0.4,0.03,0.6,0.6
Torres,ESP,DF,28,20.4,0,8,2,25.0,0.39,0.1,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Ramsey,ENG,"FW,MF",23,17.7,1,19,4,21.1,1.07,0.23,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Kamara,FRA,MF,25,17.3,0,9,2,22.2,0.52,0.12,0.0,0.0,19.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Onana,BEL,MF,23,16.3,3,17,6,35.3,1.04,0.37,0.18,0.5,14.7,0,0,0,2.1,2.1,0.12,0.9,0.9
Bailey,JAM,"FW,MF",27,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7
Mings,ENG,DF,32,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Maatsen,NED,DF,23,10.7,1,17,5,29.4,1.6,0.47,0.06,0.2,22.3,0,0,0,0.8,0.8,0.05,0.2,0.2
Carlos,BRA,DF,32,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Asensio,ESP,MF,29,6.8,3,18,8,44.4,2.66,1.18,0.17,0.38,19.0,1,0,2,4.3,2.7,0.15,-1.3,0.3
Disasi,FRA,DF,27,5.4,0,2,0,0.0,0.37,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Bogarde,NED,"DF,MF",21,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0
García,ESP,"DF,MF",22,3.5,0,2,0,0.0,0.57,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Durán,COL,FW,21,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
Rashford,ENG,FW,27,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3
Barkley,ENG,MF,31,6.3,3,15,5,33.3,2.36,0.79,0.2,0.6,14.0,0,0,0,1.7,1.7,0.11,1.3,1.3
Jaden Philogene Bidace,ENG,"FW,MF",23,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Malen,NED,FW,26,3.3,3,15,9,60.0,4.61,2.76,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8
Olsen,SWE,GK,35,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nedeljković,SRB,DF,19,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Buendía,ARG,"MF,FW",28,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
