Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Nathan Collins,ie IRL,DF,24-013,36.0,2,17,6,35.3,0.47,0.17,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Bryan Mbeumo,cm CMR,FW,25-279,35.9,18,75,32,42.7,2.09,0.89,0.17,0.41,17.8,6,5,5,11.0,7.1,0.09,7.0,5.9,Matches
Mark Flekken,nl NED,GK,31-334,34.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-080,32.5,1,27,14,51.9,0.83,0.43,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",24-314,30.5,2,34,7,20.6,1.12,0.23,0.06,0.29,17.5,3,0,0,2.7,2.7,0.08,-0.7,-0.7,Matches
Yoane Wissa,cd COD,FW,28-252,30.4,18,85,38,44.7,2.79,1.25,0.21,0.47,13.4,0,0,0,17.0,17.0,0.2,1.0,1.0,Matches
Christian Nørgaard,dk DEN,MF,31-064,29.3,5,35,12,34.3,1.19,0.41,0.14,0.42,14.3,0,0,0,3.9,3.9,0.11,1.1,1.1,Matches
Sepp van den Berg,nl NED,DF,23-144,26.7,0,17,5,29.4,0.64,0.19,0.0,0.0,10.5,0,0,0,1.8,1.8,0.11,-1.8,-1.8,Matches
Vitaly Janelt,de GER,MF,27-003,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
Kevin Schade,de GER,FW,23-167,23.8,11,52,25,48.1,2.19,1.05,0.21,0.44,11.6,0,0,0,8.0,8.0,0.15,3.0,3.0,Matches
Ethan Pinnock,jm JAM,DF,31-349,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9,Matches
Kristoffer Ajer,no NOR,DF,27-026,15.6,0,8,3,37.5,0.51,0.19,0.0,0.0,10.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Yehor Yarmoliuk,ua UKR,MF,21-073,14.3,0,9,2,22.2,0.63,0.14,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Mads Roerslev,dk DEN,DF,25-323,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Mathias Jensen,dk DEN,MF,29-132,9.3,0,6,1,16.7,0.65,0.11,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Michael Kayode,it ITA,DF,20-307,4.2,0,2,0,0.0,0.47,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Fabio Carvalho,pt POR,"FW,MF",22-256,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
Ben Mee,eng ENG,DF,35-234,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thiago,br BRA,FW,23-321,1.6,0,1,0,0.0,0.61,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Hákon Rafn Valdimarsson,is ISL,GK,23-212,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Edmond-Paris Maghoma,eng ENG,"MF,FW",24-005,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Rico Henry,eng ENG,DF,27-309,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yunus Emre Konak,tr TUR,"FW,MF",19-123,0.5,0,1,0,0.0,2.14,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Kim Jisoo,kr KOR,DF,20-140,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,27-132,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gustavo Nunes,br BRA,"FW,MF",19-174,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Meghoma,eng ENG,DF,18-319,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Trevitt,eng ENG,MF,22-062,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.6,36.0,62,411,162,39.4,11.42,4.5,0.14,0.35,15.0,10,5,5,55.0,51.2,0.13,7.0,5.8,
Opponent Total,,,27.1,36.0,50,612,193,31.5,17.0,5.36,0.08,0.25,17.4,12,1,1,53.4,52.6,0.09,-3.4,-3.6,
