player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Verbruggen,NED,GK,22,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan Paul van Hecke,NED,DF,24,30.9,1,16,5,31.3,0.52,0.16,0.06,0.2,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Baleba,CMR,MF,21,27.6,3,41,11,26.8,1.49,0.4,0.07,0.27,25.3,1,0,0,3.0,3.0,0.07,0.0,0.0
Mitoma,JPN,"FW,MF",27,28.1,9,54,25,46.3,1.92,0.89,0.17,0.36,13.9,0,0,0,8.8,8.8,0.16,0.2,0.2
Estupiñán,ECU,DF,27,25.7,1,23,7,30.4,0.9,0.27,0.04,0.14,24.5,3,0,0,1.1,1.1,0.05,-0.1,-0.1
Dunk,ENG,DF,33,23.1,0,12,3,25.0,0.52,0.13,0.0,0.0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8
Welbeck,ENG,FW,34,22.6,10,53,20,37.7,2.35,0.89,0.17,0.45,15.5,8,1,1,8.9,8.1,0.15,1.1,0.9
Pedro,BRA,"FW,MF",23,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,1.1,0.0
Hinshelwood,ENG,"DF,MF",20,19.4,2,14,6,42.9,0.72,0.31,0.14,0.33,14.3,0,0,0,1.5,1.5,0.1,0.5,0.5
Ayari,SWE,MF,21,20.5,1,26,7,26.9,1.27,0.34,0.04,0.14,18.8,2,0,0,2.3,2.3,0.09,-1.3,-1.3
Veltman,NED,DF,33,18.5,0,6,1,16.7,0.32,0.05,0.0,0.0,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Rutter,FRA,"MF,FW",23,18.4,5,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4
Minteh,GAM,"FW,MF",20,18.5,6,31,15,48.4,1.67,0.81,0.19,0.4,14.1,0,0,0,4.0,4.0,0.13,2.0,2.0
O'Riley,DEN,MF,24,10.1,1,21,6,28.6,2.09,0.6,0.05,0.17,17.0,2,0,0,2.0,2.0,0.1,-1.0,-1.0
Adingra,CIV,"FW,MF",23,11.0,2,26,7,26.9,2.37,0.64,0.08,0.29,16.4,0,0,0,2.2,2.2,0.09,-0.2,-0.2
Lamptey,GHA,DF,24,9.6,2,6,2,33.3,0.63,0.21,0.33,1.0,18.5,0,0,0,0.4,0.4,0.06,1.6,1.6
Igor,BRA,DF,27,10.0,0,1,0,0.0,0.1,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Webster,ENG,DF,30,7.9,0,1,1,100.0,0.13,0.13,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Wieffer,NED,"MF,DF",25,9.3,1,8,4,50.0,0.86,0.43,0.13,0.25,12.9,0,0,0,0.7,0.7,0.09,0.3,0.3
Gruda,GER,"MF,FW",20,6.0,1,6,3,50.0,1.0,0.5,0.17,0.33,16.7,2,0,0,1.0,1.0,0.16,0.0,0.0
Kadioglu,TUR,"DF,MF",25,4.3,1,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6
Gómez,PAR,MF,22,5.0,0,6,0,0.0,1.19,0.0,0.0,,19.4,2,0,0,0.7,0.7,0.12,-0.7,-0.7
Milner,ENG,MF,39,1.9,0,2,0,0.0,1.07,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Enciso,PAR,"MF,FW",21,3.3,0,20,11,55.0,6.12,3.37,0.0,0.0,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0
Ferguson,IRL,FW,20,2.7,1,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5
Steele,ENG,GK,34,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
March,ENG,"FW,MF",30,1.9,0,2,0,0.0,1.07,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Gilmour,SCO,MF,23,1.1,0,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
Cashin,IRL,DF,23,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moder,POL,MF,26,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sarmiento,ECU,MF,22,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
