player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
O'Shea,IRL,DF,26,32.7,0,20,2,10.0,0.61,0.06,0.0,0.0,13.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Delap,ENG,FW,22,28.4,12,65,29,44.6,2.29,1.02,0.15,0.34,15.9,0,2,2,9.3,7.7,0.12,2.7,2.3
Davis,ENG,DF,25,28.5,1,14,2,14.3,0.49,0.07,0.07,0.5,20.4,2,0,0,0.9,0.9,0.06,0.1,0.1
Morsy,EGY,MF,33,28.6,1,10,2,20.0,0.35,0.07,0.1,0.5,26.3,0,0,0,0.4,0.4,0.04,0.6,0.6
Hutchinson,ENG,"MF,FW",21,26.7,3,38,17,44.7,1.42,0.64,0.08,0.18,20.9,4,0,0,2.4,2.4,0.06,0.6,0.6
Greaves,ENG,DF,24,22.5,1,9,4,44.4,0.4,0.18,0.11,0.25,9.3,0,0,0,1.3,1.3,0.14,-0.3,-0.3
Cajuste,SWE,MF,25,20.1,1,10,1,10.0,0.5,0.05,0.1,1.0,21.3,0,0,0,0.5,0.5,0.05,0.5,0.5
Muric,KVX,GK,26,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tuanzebe,COD,DF,27,17.0,0,4,0,0.0,0.24,0.0,0.0,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Burgess,AUS,DF,29,17.1,0,10,2,20.0,0.58,0.12,0.0,0.0,9.6,0,0,0,1.1,1.1,0.11,-1.1,-1.1
Johnson,ENG,"DF,FW",25,15.0,1,7,3,42.9,0.47,0.2,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1
Phillips,ENG,MF,29,13.7,0,11,2,18.2,0.8,0.15,0.0,0.0,24.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4
Szmodics,IRL,"FW,MF",29,10.9,4,21,12,57.1,1.93,1.1,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,0.6,0.6
Woolfenden,ENG,DF,26,13.2,0,1,0,0.0,0.08,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0
Palmer,ENG,GK,28,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Burns,WAL,"FW,DF",30,10.3,0,7,1,14.3,0.68,0.1,0.0,0.0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Clarke,ENG,"FW,MF",24,12.1,0,14,2,14.3,1.16,0.17,0.0,0.0,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0
Enciso,PAR,"FW,MF",21,8.9,2,28,10,35.7,3.15,1.13,0.07,0.2,23.2,1,0,0,1.5,1.5,0.05,0.5,0.5
Chaplin,ENG,"MF,FW",28,8.5,1,12,3,25.0,1.41,0.35,0.08,0.33,18.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2
Broadhead,WAL,"MF,FW",27,6.7,1,10,6,60.0,1.49,0.89,0.1,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5
Walton,ENG,GK,29,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jaden Philogene Bidace,ENG,"FW,DF",23,5.3,2,12,5,41.7,2.28,0.95,0.17,0.4,16.4,0,0,0,2.0,2.0,0.17,0.0,0.0
Taylor,IRL,MF,26,9.2,1,19,4,21.1,2.07,0.44,0.05,0.25,23.9,0,0,0,0.7,0.7,0.04,0.3,0.3
Clarke,ENG,DF,24,4.2,0,1,1,100.0,0.24,0.24,0.0,0.0,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Hirst,SCO,FW,26,5.8,3,12,6,50.0,2.07,1.03,0.25,0.5,11.6,0,0,0,1.9,1.9,0.16,1.1,1.1
Townsend,ENG,DF,32,3.7,0,1,0,0.0,0.27,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Ogbene,IRL,FW,28,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luongo,AUS,MF,32,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Godfrey,ENG,DF,27,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Al Hamadi,IRQ,FW,23,1.5,0,4,0,0.0,2.69,0.0,0.0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Harness,ENG,MF,29,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Edmundson,ENG,DF,27,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
