Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Virgil van Dijk,NED,DF,33-309,36.0,3,27,8,29.6,0.75,0.22,0.11,0.38,13.1,1,0,0,2.2,2.2,0.08,0.8,0.8
Salah,EGY,FW,32-332,35.5,28,112,47,42.0,3.16,1.33,0.17,0.4,14.7,1,9,9,24.0,17.0,0.15,4.0,2.0
Gravenberch,NED,MF,22-362,33.4,0,19,5,26.3,0.57,0.15,0.0,0.0,24.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Alexis Mac Allister,ARG,MF,26-140,28.9,5,38,13,34.2,1.32,0.45,0.13,0.38,18.1,1,0,0,2.8,2.8,0.07,2.2,2.2
Konaté,FRA,DF,25-353,26.8,1,19,3,15.8,0.71,0.11,0.05,0.33,10.5,0,0,0,1.7,1.7,0.09,-0.7,-0.7
Robertson,SCO,DF,31-063,26.6,0,15,2,13.3,0.56,0.08,0.0,0.0,14.9,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Alexander-Arnold,ENG,DF,26-218,25.8,3,44,8,18.2,1.71,0.31,0.07,0.38,23.4,3,0,0,1.9,1.9,0.04,1.1,1.1
Szoboszlai,HUN,MF,24-200,26.3,5,64,21,32.8,2.43,0.8,0.08,0.24,18.9,3,0,0,7.2,7.2,0.11,-2.2,-2.2
Díaz,COL,FW,28-120,25.6,13,67,29,43.3,2.62,1.13,0.19,0.45,13.3,0,0,0,11.3,11.3,0.17,1.7,1.7
Alisson,BRA,GK,32-223,25.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gakpo,NED,FW,26-006,19.8,10,53,22,41.5,2.68,1.11,0.19,0.45,14.9,0,0,0,6.9,6.9,0.13,3.1,3.1
Jones,ENG,"MF,DF",24-103,17.7,3,32,13,40.6,1.81,0.73,0.09,0.23,16.9,0,0,0,4.2,4.2,0.13,-1.2,-1.2
Jota,POR,FW,28-160,13.0,6,49,13,26.5,3.78,1.0,0.12,0.46,12.5,0,0,0,7.6,7.6,0.15,-1.6,-1.6
Kelleher,IRL,GK,26-171,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Núñez,URU,FW,25-323,11.9,5,33,12,36.4,2.76,1.0,0.15,0.42,14.3,0,0,0,5.3,5.3,0.16,-0.3,-0.3
Tsimikas,GRE,DF,29-001,8.3,0,4,2,50.0,0.48,0.24,0.0,0.0,16.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Gomez,ENG,DF,27-355,5.8,0,3,2,66.7,0.52,0.35,0.0,0.0,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Bradley,NIR,DF,21-308,7.0,0,9,3,33.3,1.28,0.43,0.0,0.0,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Quansah,ENG,DF,22-104,4.5,0,1,0,0.0,0.22,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Elliott,ENG,"MF,FW",22-039,3.1,0,14,2,14.3,4.58,0.65,0.0,0.0,18.0,1,0,0,0.9,0.9,0.06,-0.9,-0.9
Endo,JPN,MF,32-093,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Chiesa,ITA,FW,27-200,0.5,0,4,2,50.0,7.83,3.91,0.0,0.0,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Jaros,CZE,GK,23-294,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Danns,ENG,MF,19-117,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
