Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Gvardiol,CRO,DF,23-111,34.4,5,39,11,28.2,1.13,0.32,0.13,0.45,13.1,0,0,0,4.4,4.1,0.11,0.6,0.9,Matches
Haaland,NOR,FW,24-297,28.6,21,100,54,54.0,3.5,1.89,0.19,0.35,12.2,1,2,3,20.9,18.5,0.19,0.1,0.5,Matches
Silva,POR,"MF,FW",30-277,27.7,3,31,10,32.3,1.12,0.36,0.1,0.3,12.5,0,0,0,3.6,3.6,0.12,-0.6,-0.6,Matches
Ederson,BRA,GK,31-270,23.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kovačić,CRO,MF,31-008,23.7,6,44,12,27.3,1.86,0.51,0.14,0.5,22.8,0,0,0,1.9,1.9,0.04,4.1,4.1,Matches
Dias,POR,DF,28-000,23.2,0,21,7,33.3,0.9,0.3,0.0,0.0,19.4,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
Gündoğan,GER,MF,34-202,22.8,0,25,5,20.0,1.1,0.22,0.0,0.0,18.3,2,0,0,2.7,2.7,0.11,-2.7,-2.7,Matches
Lewis,ENG,"DF,MF",20-174,21.0,1,10,2,20.0,0.48,0.1,0.1,0.5,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
Akanji,SUI,DF,29-299,20.4,0,14,2,14.3,0.69,0.1,0.0,0.0,15.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Sávio,BRA,"FW,MF",21-034,19.4,1,55,21,38.2,2.83,1.08,0.02,0.05,17.6,1,0,0,5.0,5.0,0.09,-4.0,-4.0,Matches
Foden,ENG,"MF,FW",24-351,19.6,7,54,16,29.6,2.75,0.81,0.13,0.44,18.6,2,0,0,5.2,5.2,0.1,1.8,1.8,Matches
Kevin De Bruyne,BEL,"MF,FW",33-320,18.1,4,54,15,27.8,2.99,0.83,0.07,0.27,21.8,8,0,0,4.2,4.2,0.08,-0.2,-0.2,Matches
Nunes,POR,"DF,MF",26-260,16.6,1,7,3,42.9,0.42,0.18,0.14,0.33,18.3,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
Doku,BEL,"FW,MF",22-352,16.0,3,24,9,37.5,1.5,0.56,0.13,0.33,18.2,0,0,0,1.0,1.0,0.04,2.0,2.0,Matches
Ortega,GER,GK,32-189,12.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marmoush,EGY,"FW,MF",26-096,11.2,6,40,16,40.0,3.58,1.43,0.15,0.38,17.8,5,0,0,4.9,4.9,0.12,1.1,1.1,Matches
Walker,ENG,DF,34-351,10.8,0,5,2,40.0,0.46,0.19,0.0,0.0,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Aké,NED,DF,30-085,7.5,0,3,0,0.0,0.4,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
González,ESP,MF,23-131,7.2,0,7,0,0.0,0.97,0.0,0.0,,19.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Grealish,ENG,"FW,MF",29-246,8.0,1,15,5,33.3,1.87,0.62,0.07,0.2,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Stones,ENG,"DF,MF",30-351,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,5.1,0,0,0,0.4,0.4,0.22,1.6,1.6,Matches
O’Reilly,ENG,DF,20-054,5.9,2,8,3,37.5,1.36,0.51,0.25,0.67,15.4,0,0,0,1.3,1.3,0.16,0.7,0.7,Matches
Khusanov,UZB,DF,21-074,5.6,0,1,0,0.0,0.18,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Mcatee,ENG,"MF,FW",22-208,3.9,3,12,4,33.3,3.09,1.03,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,0.2,0.2,Matches
Simpson-Pusey,ENG,DF,19-191,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodri,ESP,MF,28-326,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mubama,ENG,FW,20-201,0.3,0,1,0,0.0,3.21,0.0,0.0,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Bobb,NOR,FW,21-306,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reis,BRA,DF,19-122,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Total,,,27.6,36.0,66,572,199,34.8,15.89,5.53,0.11,0.32,16.9,19,2,3,63.6,61.2,0.11,2.4,2.8,
Total,,,27.0,36.0,41,330,119,36.1,9.17,3.31,0.11,0.31,15.5,5,4,4,45.3,42.2,0.13,-4.3,-5.2,
