Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Matz Sels,be BEL,GK,33-076,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nikola Milenković,rs SRB,DF,27-213,35.0,4,26,7,26.9,0.74,0.2,0.15,0.57,12.1,0,0,0,3.6,3.6,0.14,0.4,0.4,Matches
Murillo,br BRA,DF,22-313,33.4,2,24,6,25.0,0.72,0.18,0.08,0.33,22.2,3,0,0,1.4,1.4,0.06,0.6,0.6,Matches
Ola Aina,ng NGA,DF,28-217,31.4,2,10,2,20.0,0.32,0.06,0.2,1.0,25.9,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
Chris Wood,nz NZL,FW,33-157,30.9,20,60,31,51.7,1.94,1.0,0.28,0.55,13.7,0,3,3,12.3,10.0,0.17,7.7,7.0,Matches
Morgan Gibbs-White,eng ENG,MF,25-106,29.2,6,58,19,32.8,1.98,0.65,0.1,0.32,17.5,4,0,0,5.2,5.2,0.09,0.8,0.8,Matches
Elliot Anderson,eng ENG,MF,22-188,28.4,2,38,7,18.4,1.34,0.25,0.05,0.29,19.3,0,0,0,1.9,1.9,0.05,0.1,0.1,Matches
Anthony Elanga,se SWE,"FW,MF",23-016,25.8,6,41,21,51.2,1.59,0.81,0.15,0.29,17.3,5,0,0,4.2,4.2,0.1,1.8,1.8,Matches
Neco Williams,wls WAL,DF,24-030,26.8,1,37,7,18.9,1.38,0.26,0.03,0.14,20.2,1,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",24-187,23.9,5,37,17,45.9,1.55,0.71,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,Matches
Nicolás Domínguez,ar ARG,"MF,FW",26-319,20.1,0,20,9,45.0,1.0,0.45,0.0,0.0,18.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
Ryan Yates,eng ENG,MF,27-173,21.0,2,33,9,27.3,1.57,0.43,0.06,0.22,19.6,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
Álex Moreno,es ESP,"DF,MF",31-339,10.6,0,6,0,0.0,0.57,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Morato,br BRA,DF,23-317,10.0,0,2,1,50.0,0.2,0.1,0.0,0.0,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Jota Silva,pt POR,"FW,MF",25-285,9.4,3,22,7,31.8,2.34,0.75,0.14,0.43,14.5,0,0,0,2.0,2.0,0.09,1.0,1.0,Matches
Ibrahim Sangaré,ci CIV,MF,27-162,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
James Ward-Prowse,eng ENG,MF,30-193,4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Danilo,br BRA,"MF,FW",24-014,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Taiwo Awoniyi,ng NGA,FW,27-274,4.6,1,10,4,40.0,2.16,0.87,0.1,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
Ramón Sosa,py PAR,"FW,MF",25-255,3.3,1,11,5,45.5,3.36,1.53,0.09,0.2,18.6,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
Willy Boly,ci CIV,DF,34-099,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Harry Toffolo,eng ENG,DF,29-267,1.5,0,1,0,0.0,0.66,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Eric da Silva Moreira,de GER,"MF,DF",19-010,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.9,36.0,55,440,155,35.2,12.22,4.31,0.12,0.34,17.6,14,3,3,42.4,40.0,0.09,12.6,12.0,
Opponent Total,,,27.0,36.0,44,506,155,30.6,14.06,4.31,0.08,0.26,16.8,11,3,3,46.7,44.4,0.09,-2.7,-3.4,
