Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Pedro Porro,es ESP,DF,25-242,28.0,2,39,8,20.5,1.39,0.29,0.05,0.25,23.1,4,0,0,1.6,1.6,0.04,0.4,0.4,Matches
Dejan Kulusevski,se SWE,"MF,FW",25-018,26.5,7,47,17,36.2,1.77,0.64,0.15,0.41,14.7,0,0,0,4.2,4.2,0.09,2.8,2.8,Matches
Dominic Solanke,eng ENG,FW,27-241,23.5,8,59,24,40.7,2.51,1.02,0.14,0.33,12.1,0,0,0,10.1,10.1,0.17,-2.1,-2.1,Matches
Brennan Johnson,wls WAL,FW,23-355,23.1,11,53,20,37.7,2.29,0.86,0.21,0.55,11.4,0,0,0,9.8,9.8,0.19,1.2,1.2,Matches
Guglielmo Vicario,it ITA,GK,28-218,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Son Heung-min,kr KOR,FW,32-309,22.6,7,54,24,44.4,2.39,1.06,0.11,0.25,16.9,1,1,2,7.1,5.5,0.1,-0.1,0.5,Matches
Destiny Udogie,it ITA,DF,22-166,20.4,0,5,1,20.0,0.25,0.05,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
James Maddison,eng ENG,MF,28-171,20.1,9,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,3.2,3.2,Matches
Pape Matar Sarr,sn SEN,MF,22-241,20.2,3,34,13,38.2,1.69,0.64,0.09,0.23,21.0,0,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
Rodrigo Bentancur,uy URU,MF,27-322,17.4,2,22,5,22.7,1.27,0.29,0.09,0.4,17.4,0,0,0,1.3,1.3,0.06,0.7,0.7,Matches
Djed Spence,eng ENG,DF,24-277,18.8,1,10,3,30.0,0.53,0.16,0.1,0.33,23.9,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Cristian Romero,ar ARG,DF,27-016,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches
Archie Gray,eng ENG,"DF,MF",19-062,17.5,0,1,1,100.0,0.06,0.06,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Yves Bissouma,ml MLI,MF,28-256,14.9,2,11,4,36.4,0.74,0.27,0.18,0.5,23.4,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
Radu Drăgușin,ro ROU,DF,23-099,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Ben Davies,wls WAL,DF,32-019,13.5,0,5,1,20.0,0.37,0.07,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Lucas Bergvall,se SWE,MF,19-100,13.5,0,12,2,16.7,0.89,0.15,0.0,0.0,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Micky van de Ven,nl NED,DF,24-024,10.6,0,6,2,33.3,0.57,0.19,0.0,0.0,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
