Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Max Kilman,eng ENG,DF,27-355,35.2,0,13,2,15.4,0.37,0.06,0.0,0.0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
Aaron Wan-Bissaka,eng ENG,DF,27-168,33.0,2,16,5,31.3,0.48,0.15,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-144,31.0,11,79,33,41.8,2.55,1.06,0.13,0.3,17.3,1,1,1,8.3,7.6,0.1,2.7,2.4,Matches
Mohammed Kudus,gh GHA,"FW,MF",24-284,27.7,4,71,20,28.2,2.56,0.72,0.06,0.2,15.8,0,0,0,6.7,6.7,0.09,-2.7,-2.7,Matches
Tomáš Souček,cz CZE,MF,30-075,26.9,9,53,15,28.3,1.97,0.56,0.17,0.6,11.8,0,0,0,6.6,6.6,0.13,2.4,2.4,Matches
Lucas Paquetá,br BRA,"MF,FW",27-259,26.0,4,38,3,7.9,1.46,0.12,0.05,0.67,19.6,4,2,2,5.2,3.6,0.09,-1.2,-1.6,Matches
Emerson Palmieri,it ITA,DF,30-283,23.5,2,16,7,43.8,0.68,0.3,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0,Matches
Alphonse Areola,fr FRA,GK,32-075,24.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Konstantinos Mavropanos,gr GRE,DF,27-153,21.7,0,18,5,27.8,0.83,0.23,0.0,0.0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
Edson Álvarez,mx MEX,MF,27-201,18.4,0,11,1,9.1,0.6,0.05,0.0,0.0,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Jean-Clair Todibo,fr FRA,DF,25-134,18.3,0,4,0,0.0,0.22,0.0,0.0,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Guido Rodríguez,ar ARG,MF,31-031,12.0,0,8,1,12.5,0.67,0.08,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Carlos Soler,es ESP,"MF,FW",28-131,15.3,1,24,7,29.2,1.57,0.46,0.04,0.14,19.1,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
Łukasz Fabiański,pl POL,GK,40-025,11.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michail Antonio,jm JAM,FW,35-046,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
Vladimír Coufal,cz CZE,DF,32-264,10.6,0,5,1,20.0,0.47,0.09,0.0,0.0,14.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
James Ward-Prowse,eng ENG,MF,30-193,10.0,0,11,4,36.4,1.1,0.4,0.0,0.0,20.6,3,0,0,1.1,1.1,0.1,-1.1,-1.1,Matches
Aaron Cresswell,eng ENG,DF,35-149,8.5,0,3,0,0.0,0.35,0.0,0.0,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Crysencio Summerville,nl NED,"FW,MF",23-195,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Oliver Scarles,eng ENG,DF,19-152,6.6,0,3,0,0.0,0.45,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Niclas Füllkrug,de GER,FW,32-093,7.6,3,14,5,35.7,1.84,0.66,0.21,0.6,10.2,0,0,0,2.0,2.0,0.14,1.0,1.0,Matches
Danny Ings,eng ENG,"FW,MF",32-294,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Andy Irving,sct SCO,MF,25-000,1.8,0,4,2,50.0,2.17,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Evan Ferguson,ie IRL,FW,20-206,1.7,0,5,1,20.0,2.88,0.58,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Luis Guilherme,br BRA,"MF,FW",19-093,1.5,0,3,1,33.3,1.96,0.65,0.0,0.0,14.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Lewis Orford,eng ENG,MF,19-084,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Kaelan Casey,eng ENG,DF,20-197,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.9,36.0,39,447,126,28.2,12.42,3.5,0.08,0.29,16.3,14,3,3,44.8,42.5,0.1,-5.8,-6.5,
Opponent Total,,,26.9,36.0,56,556,174,31.3,15.44,4.83,0.1,0.3,17.0,18,3,3,57.0,54.7,0.1,-1.0,-1.7,
