id,player_name,team,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
1,David Raya,Arsenal,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1263,178,29.9,29.9,147,68,49.1,402,53,13.2,66,1.74,17.2
4,Emiliano Martínez,Aston Villa,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7
5,Robin Olsen,Aston Villa,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60,40,3,7.5,0,0,8.6
8,Kepa Arrizabalaga,Bournemouth,0,4,0,41,0.28,2,0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6,54,1.74,16
9,Mark Travers,Bournemouth,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1,12.9
10,Neto,Bournemouth,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
13,Mark Flekken,Brentford,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5
14,Hákon Rafn Valdimarsson,Brentford,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0,4.7
17,Bart Verbruggen,Brighton,1,4,2,51,0.31,-5,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9
18,Jason Steele,Brighton,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50,43,22,2,9.1,3,1.5,15.4
21,Robert Sánchez,Chelsea,0,4,0,35.4,0.26,1.4,0.05,95,391,24.3,1099,178,32.4,32.9,78,44.9,39.1,337,40,11.9,56,1.87,14.9
22,Filip Jørgensen,Chelsea,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2
25,Dean Henderson,Crystal Palace,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,942,115,47.5,38.5,273,56,44.9,559,30,5.4,40,1.05,14.3
28,Jordan Pickford,Everton,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.5,15.2
31,Bernd Leno,Fulham,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3
34,Arijanet Muric,Ipswich Town,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2
35,Alex Palmer,Ipswich Town,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8,13,1,11.5
36,Christian Walton,Ipswich Town,0,0,0,17.1,0.4,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2
39,Mads Hermansen,Leicester City,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1
40,Jakub Stolarczyk,Leicester City,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.8,12.5
41,Danny Ward,Leicester City,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37,32,7,71.4,52,11,0,0,2,1.33,20.7
44,Alisson,Liverpool,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16
45,Caoimhín Kelleher,Liverpool,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29,18,61.1,42.8,113,6,5.3,9,0.9,14
46,Vitezslav Jaros,Liverpool,0,0,0,0,0.03,0,0.25,5,7,71.4,7,2,85.7,50.9,1,100,59,2,0,0,0,0,11
49,Ederson,Manchester City,0,3,1,27.8,0.37,3.8,0.16,65,146,44.5,771,92,17,27.6,68,22.1,31.8,204,11,5.4,43,1.81,17.8
50,Stefan Ortega,Manchester City,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3
53,André Onana,Manchester United,1,10,1,44,0.31,1,0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8
54,Altay Bayındır,Manchester United,0,0,1,10.1,0.59,1.1,0.27,13,62,21,128,12,34.4,34.1,24,75,53.8,56,4,7.1,7,1.75,12
57,Nick Pope,Newcastle United,0,3,2,34.8,0.28,1.8,0.06,72,257,28,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16
58,Martin Dúbravka,Newcastle United,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
61,Matz Sels,Nottingham Forest,1,5,0,49.1,0.29,3.1,0.08,244,698,35,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7
64,Aaron Ramsdale,Southampton,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36,190,77.4,55.9,457,25,5.5,20,0.67,11.7
65,Alex McCarthy,Southampton,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0,6.5
66,Joe Lumley,Southampton,0,1,0,7.7,0.39,0.7,0.22,15,50,30,135,14,34.1,30,15,26.7,24,56,2,3.6,7,2.33,18
69,Guglielmo Vicario,Tottenham,0,6,2,37.4,0.36,2.4,0.1,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3
70,Fraser Forster,Tottenham,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
71,Antonín Kinský,Tottenham,0,1,2,10.5,0.33,1.5,0.25,17,58,29.3,186,37,26.9,30.7,30,26.7,29.1,112,10,8.9,9,1.5,12.1
72,Brandon Austin,Tottenham,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29,15,5,33.3,2,2,12.4
75,Alphonse Areola,West Ham,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15
76,Łukasz Fabiański,West Ham,1,3,0,22.6,0.29,1.6,0.12,77,226,34.1,394,55,41.9,35.5,100,61,45.1,220,10,4.5,12,0.93,13.1
79,José Sá,Wolves,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5
80,Sam Johnstone,Wolves,0,5,1,13,0.29,-3,-0.43,52,129,40.3,252,28,45.6,36.6,25,56,43.2,104,8,7.7,11,1.57,13.4
81,Daniel Bentley,Wolves,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25,28.1,13,61.5,46.4,25,0,0,3,1.5,16.4
82,Tom King,Wolves,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,1,0,0,0,0,0
