id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
1,David Raya,Arsenal,3,0,0,1,10,0,0,1,0,41,13,0,100
2,William Saliba,Arsenal,2,1,0,28,17,1,0,1,0,154,61,36,62.9
3,Declan Rice,Arsenal,7,1,1,21,16,2,0,0,0,156,37,25,59.7
4,Thomas Partey,Arsenal,4,0,0,45,31,1,0,0,0,138,28,27,50.9
5,Leandro Trossard,Arsenal,4,1,1,27,46,6,0,0,0,104,6,24,20
6,Gabriel Magalhães,Arsenal,4,0,0,19,19,0,1,0,0,63,53,37,58.9
7,Jurriën Timber,Arsenal,7,0,0,31,29,6,0,0,0,94,22,20,52.4
8,Martin Ødegaard,Arsenal,4,0,0,12,23,1,0,0,0,97,8,7,53.3
9,Gabriel Martinelli,Arsenal,1,0,0,16,21,8,0,0,0,78,17,39,30.4
10,Kai Havertz,Arsenal,5,0,0,38,23,14,0,0,0,41,63,78,44.7
11,Bukayo Saka,Arsenal,3,0,0,15,39,7,1,0,0,70,10,20,33.3
12,Mikel Merino,Arsenal,4,1,1,41,23,7,0,0,0,86,59,55,51.8
13,Myles Lewis-Skelly,Arsenal,3,2,0,11,47,0,0,1,0,53,11,10,52.4
14,Ben White,Arsenal,2,0,0,10,5,1,0,0,0,37,18,9,66.7
15,Riccardo Calafiori,Arsenal,4,0,0,16,6,3,0,0,0,35,22,14,61.1
16,Ethan Nwaneri,Arsenal,1,0,0,9,5,6,0,0,0,34,4,8,33.3
17,Jakub Kiwior,Arsenal,1,0,0,10,4,1,0,0,0,31,11,13,45.8
18,Jorginho,Arsenal,5,0,0,15,17,0,0,0,0,55,1,6,14.3
19,Raheem Sterling,Arsenal,1,0,0,12,8,4,0,0,0,16,1,3,25
20,Gabriel Jesus,Arsenal,4,0,0,14,10,9,0,0,0,28,9,18,33.3
21,Oleksandr Zinchenko,Arsenal,1,0,0,8,3,1,0,0,0,19,12,11,52.2
22,Kieran Tierney,Arsenal,0,0,0,1,2,2,0,0,0,6,5,5,50
23,Nathan Butler-Oyedeji,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Takehiro Tomiyasu,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Reiss Nelson,Arsenal,0,0,0,1,1,0,0,0,0,0,0,0,0
28,Emiliano Martínez,Aston Villa,5,1,0,2,6,0,0,0,0,34,10,1,90.9
29,Morgan Rogers,Aston Villa,10,0,0,50,51,2,1,0,0,119,13,52,20
30,Youri Tielemans,Aston Villa,4,0,0,41,56,0,0,0,0,145,22,18,55
31,Ezri Konsa,Aston Villa,1,0,0,9,47,1,0,0,0,97,31,23,57.4
32,Ollie Watkins,Aston Villa,2,0,0,29,33,16,2,0,0,43,52,71,42.3
33,Lucas Digne,Aston Villa,4,0,0,21,16,7,0,0,0,104,37,28,56.9
34,John McGinn,Aston Villa,7,0,0,43,69,3,1,0,0,100,17,12,58.6
35,Matty Cash,Aston Villa,7,0,0,27,20,1,0,2,0,81,20,20,50
36,Pau Torres,Aston Villa,2,0,0,8,7,0,0,0,0,62,18,29,38.3
37,Boubacar Kamara,Aston Villa,2,0,0,30,35,0,0,0,0,87,21,26,44.7
38,Amadou Onana,Aston Villa,4,0,0,32,30,0,0,0,0,72,32,21,60.4
39,Jacob Ramsey,Aston Villa,4,1,1,13,28,5,1,0,0,83,7,13,35
40,Leon Bailey,Aston Villa,3,0,0,12,18,3,1,0,0,59,6,9,40
41,Tyrone Mings,Aston Villa,1,0,0,4,11,0,0,0,0,38,27,22,55.1
42,Ian Maatsen,Aston Villa,2,0,0,11,9,3,0,1,0,67,10,6,62.5
43,Marco Asensio,Aston Villa,2,0,0,11,8,2,0,0,0,28,0,1,0
44,Diego Carlos,Aston Villa,1,0,0,11,1,1,0,0,0,36,11,10,52.4
45,Axel Disasi,Aston Villa,2,0,0,3,2,2,0,0,0,15,8,6,57.1
46,Lamare Bogarde,Aston Villa,2,0,0,8,11,0,0,0,0,13,6,6,50
47,Andrés García,Aston Villa,0,0,0,1,0,0,0,0,0,15,0,6,0
48,Jáder Durán,Aston Villa,3,1,0,14,15,5,0,0,0,19,19,19,50
49,Marcus Rashford,Aston Villa,0,0,0,1,3,1,0,0,0,14,1,8,11.1
50,Ross Barkley,Aston Villa,3,0,0,8,3,0,0,0,0,43,6,4,60
51,Jaden Philogene Bidace,Aston Villa,4,1,1,12,8,1,0,0,0,21,0,5,0
52,Donyell Malen,Aston Villa,0,0,0,1,5,2,0,0,0,9,4,4,50
53,Robin Olsen,Aston Villa,0,0,0,0,0,0,0,0,0,2,0,0,0
54,Kosta Nedeljković,Aston Villa,0,0,0,0,1,0,0,0,0,4,0,1,0
55,Emi Buendía,Aston Villa,1,0,0,4,6,0,0,0,0,8,0,2,0
58,Milos Kerkez,Bournemouth,4,0,0,30,50,3,0,0,0,169,28,49,36.4
59,Antoine Semenyo,Bournemouth,9,0,0,73,37,15,1,0,0,158,66,76,46.5
60,Illia Zabarnyi,Bournemouth,4,1,0,20,7,0,0,0,0,157,77,44,63.6
61,Lewis Cook,Bournemouth,8,1,0,49,10,3,0,1,0,187,41,34,54.7
62,Kepa Arrizabalaga,Bournemouth,3,0,0,2,6,0,0,2,0,56,7,1,87.5
63,Justin Kluivert,Bournemouth,8,0,0,47,33,5,1,0,0,78,8,28,22.2
64,Evanilson,Bournemouth,1,1,0,37,53,20,5,0,0,67,42,62,40.4
65,Ryan Christie,Bournemouth,9,0,0,43,31,1,0,0,0,182,20,28,41.7
66,Dean Huijsen,Bournemouth,10,0,0,31,10,2,0,0,0,105,68,44,60.7
67,Dango Ouattara,Bournemouth,3,0,0,16,19,14,0,0,0,92,45,63,41.7
68,Tyler Adams,Bournemouth,7,0,0,45,21,0,0,1,0,114,31,18,63.3
