id,player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
1,David Raya,Arsenal,1172,238,91,0,3,0,0,0,0,0,0,1040,3,0
2,William Saliba,Arsenal,2508,46,36,1,10,3,4,0,0,0,0,2413,5,4
3,Declan Rice,Arsenal,1436,208,71,5,17,164,4,108,94,3,0,1376,6,15
4,Thomas Partey,Arsenal,1819,95,27,6,4,12,62,0,0,0,0,1678,6,13
5,Leandro Trossard,Arsenal,917,29,5,7,5,86,7,10,9,0,0,711,8,41
6,Gabriel Magalhães,Arsenal,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
7,Jurriën Timber,Arsenal,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
8,Martin Ødegaard,Arsenal,1373,114,35,25,3,86,12,37,31,0,0,1237,12,27
9,Gabriel Martinelli,Arsenal,679,15,0,5,2,92,12,3,3,0,0,499,5,37
10,Kai Havertz,Arsenal,511,6,1,1,0,11,5,0,0,0,0,407,2,11
11,Bukayo Saka,Arsenal,644,83,7,4,2,117,12,64,56,0,2,552,4,21
12,Mikel Merino,Arsenal,567,5,4,5,1,13,1,0,0,0,0,451,5,12
13,Myles Lewis-Skelly,Arsenal,660,111,17,3,2,10,94,0,0,0,0,708,5,2
14,Ben White,Arsenal,583,107,20,1,7,17,83,0,0,0,0,580,2,7
15,Riccardo Calafiori,Arsenal,483,65,7,0,2,11,58,0,0,0,0,470,1,11
16,Ethan Nwaneri,Arsenal,386,36,3,3,1,54,4,27,18,0,0,342,3,14
17,Jakub Kiwior,Arsenal,704,31,10,3,1,2,4,0,0,0,0,673,1,1
18,Jorginho,Arsenal,466,8,7,4,1,1,0,0,0,0,0,411,0,5
19,Raheem Sterling,Arsenal,197,2,0,0,1,16,1,1,0,0,0,158,2,7
20,Gabriel Jesus,Arsenal,197,3,0,1,0,7,3,0,0,0,0,156,3,12
21,Oleksandr Zinchenko,Arsenal,399,49,14,2,3,13,33,1,0,0,0,382,3,3
22,Kieran Tierney,Arsenal,155,18,4,1,0,14,14,0,0,0,0,145,0,2
23,Nathan Butler-Oyedeji,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Takehiro Tomiyasu,Arsenal,4,0,0,0,0,0,0,0,0,0,0,3,0,0
25,Reiss Nelson,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Emiliano Martínez,Aston Villa,1117,263,91,0,2,0,0,0,0,0,0,1091,7,0
29,Morgan Rogers,Aston Villa,853,47,2,22,6,27,9,0,0,0,0,664,7,45
30,Youri Tielemans,Aston Villa,1847,207,98,24,8,119,2,85,63,8,1,1694,7,37
31,Ezri Konsa,Aston Villa,1538,134,84,6,0,5,34,0,0,0,0,1555,1,21
32,Ollie Watkins,Aston Villa,415,6,0,1,1,7,0,0,0,0,0,307,3,17
33,Lucas Digne,Aston Villa,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
34,John McGinn,Aston Villa,792,61,27,9,2,60,4,22,11,5,0,699,1,17
35,Matty Cash,Aston Villa,781,162,23,0,1,40,139,0,0,0,0,732,2,21
36,Pau Torres,Aston Villa,1248,117,67,4,12,3,3,0,0,0,0,1217,4,4
37,Boubacar Kamara,Aston Villa,904,27,25,5,0,1,0,0,0,0,0,825,0,8
38,Amadou Onana,Aston Villa,796,5,4,3,0,2,0,0,0,0,0,703,1,11
39,Jacob Ramsey,Aston Villa,581,2,0,3,3,12,2,0,0,0,0,497,3,15
40,Leon Bailey,Aston Villa,369,18,0,5,1,34,1,17,9,0,0,277,3,24
41,Tyrone Mings,Aston Villa,630,46,20,0,3,1,0,0,0,0,0,596,0,7
42,Ian Maatsen,Aston Villa,646,101,16,1,2,51,80,5,2,0,0,609,0,25
43,Marco Asensio,Aston Villa,271,39,14,2,1,38,0,23,11,1,0,242,3,8
44,Diego Carlos,Aston Villa,575,25,17,0,6,0,0,0,0,0,0,534,3,0
45,Axel Disasi,Aston Villa,258,20,9,1,0,1,11,0,0,0,0,243,2,5
46,Lamare Bogarde,Aston Villa,239,31,14,0,0,0,17,0,0,0,0,240,2,1
47,Andrés García,Aston Villa,176,25,0,0,0,18,25,0,0,0,0,174,0,5
48,Jáder Durán,Aston Villa,155,7,0,2,0,3,0,0,0,0,0,115,1,4
49,Marcus Rashford,Aston Villa,134,29,5,3,1,28,1,21,15,0,0,117,1,9
50,Ross Barkley,Aston Villa,381,13,11,0,3,1,1,0,0,0,0,337,1,9
